Site,Site Code,Zone,Zone Code,Point ID,Location of Measure,Type,Field User Description,Northing,Easting,Elevation,GlobalLati,GlobalLong,GlobalElli,LocalLatit,LocalLongi,LocalEllip,H_Prec_Obs,V_Prec_Obs,Date_Obs,Time_Obs
Moneystump Swamp,MSM,Transition,TR,MSM_TR_Macrophyte_Flux_Collar_1_B,Back corner,GHG Macrophyte Flux Collar,tr-collar-macro1-b,4254288.146,392908.202,0.488,NA,NA,NA,38.430443,76.226949,-33.410,0.012,0.018,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_Macrophyte_Flux_Collar_2_A,Front corner ,GHG Macrophyte Flux Collar,tr-collar-macro-2a,4254283.49,392918.37,0.517,NA,NA,NA,38.430398,76.226838,-34.428,0.029,0.054,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_Macrophyte_Flux_Collar_2_B,Back corner,GHG Macrophyte Flux Collar,tr-collar-macro-2b,4254283.4,392917.867,0.523,NA,NA,NA,38.430403,76.226836,-34.963,0.069,0.117,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_Macrophyte_Flux_Collar_3_A,Front corner ,GHG Macrophyte Flux Collar,tr-collar-macro-3a,4254276.194,392914.867,0.487,NA,NA,NA,38.430332,76.226871,-34.608,0.021,0.038,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_Macrophyte_Flux_Collar_3_B,Back corner,GHG Macrophyte Flux Collar,tr-collar-macro-3b,4254276.49,392915.033,0.491,NA,NA,NA,38.430338,76.226867,-33.837,0.022,0.039,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_Macrophyte_Flux_Collar_4_A,Front corner ,GHG Macrophyte Flux Collar,tr-collar-macro-4a,4254279.062,392908.666,0.502,NA,NA,NA,38.430361,76.226945,-34.768,0.019,0.031,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_Macrophyte_Flux_Collar_4_B,Back corner,GHG Macrophyte Flux Collar,tr-collar-macro-4b,4254279.358,392908.996,0.485,NA,NA,NA,38.430366,76.226947,-34.154,0.021,0.038,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_Macrophyte_Flux_Collar_5_A,Front corner ,GHG Macrophyte Flux Collar,tr-collar-macro-5a,4254284.208,392903.451,0.444,NA,NA,NA,38.430406,76.227009,-33.069,0.017,0.028,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_Macrophyte_Flux_Collar_5_B,Back corner,GHG Macrophyte Flux Collar,tr-collar-macro-5b,4254284.244,392902.972,0.485,NA,NA,NA,38.430403,76.227009,-34.830,0.016,0.029,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_Soil_Flux_Collar_1,Center,GHG Soil Flux Collar,tr-collar-soil-1,4254287.319,392908.477,0.453,NA,NA,NA,NA,NA,NA,NA,NA,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_Soil_Flux_Collar_2,Center,GHG Soil Flux Collar,tr-collar-soil-2,4254285.198,392903.012,0.472,NA,NA,NA,NA,NA,NA,NA,NA,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_Soil_Flux_Collar_3,Center,GHG Soil Flux Collar,tr-collar-soil-3,4254279.471,392908.146,0.422,NA,NA,NA,NA,NA,NA,NA,NA,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_Soil_Flux_Collar_4,Center,GHG Soil Flux Collar,tr-collar-soil-4,4254275.694,392914.62,0.462,NA,NA,NA,NA,NA,NA,NA,NA,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_Soil_Flux_Collar_5,Center,GHG Soil Flux Collar,tr-collar-soil-5,4254283.033,392917.533,0.507,NA,NA,NA,NA,NA,NA,NA,NA,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_LoggerBox,Pole Base ,Logger Box,tr-loggerbox,4254283.922,392906.837,0.509,NA,NA,NA,NA,NA,NA,0.019,0.03,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_Multiplexer,Pole Base ,Multiplexer Box,tr-multiplex,4254285.297,392908.978,0.486,NA,NA,NA,NA,NA,NA,0.013,0.022,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_Lysimeters_A,Center of Cluster,Porewater Lysimeter,tr-sip-a,4254286.715,392908.59,0.519,NA,NA,NA,NA,NA,NA,0.013,0.022,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_Lysimeters_B,Center of Cluster,Porewater Lysimeter,tr-sip-b,4254285.541,392906.035,0.562,NA,NA,NA,NA,NA,NA,0.015,0.026,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_Lysimeters_C,Center of Cluster,Porewater Lysimeter,tr-sip-c,4254282.087,392905.476,0.485,NA,NA,NA,NA,NA,NA,0.014,0.023,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_SamplingZone,Corner,Sampling Zone,tr-sampling-a,4254277.39,392921.536,0.428,NA,NA,NA,NA,NA,NA,0.022,0.036,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_SamplingZone,Corner,Sampling Zone,tr-sampling-b,4254273.297,392916.8,0.548,NA,NA,NA,NA,NA,NA,0.023,0.041,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_SamplingZone,Corner,Sampling Zone,tr-sampling-c,4254271.497,392920.648,0.523,NA,NA,NA,NA,NA,NA,0.027,0.053,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_SamplingZone,Corner,Sampling Zone,tr-sampling-d,4254274.621,392925.458,0.54,NA,NA,NA,NA,NA,NA,0.04,0.063,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_Teros,Teros cluster,Teros12,MSM_TR_TEROS_2&6,4254285.716,392907.624,0.501,NA,NA,NA,38.430414,76.226967,-33.636,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_Teros,Teros cluster,Teros12,MSM_TR_TEROS_4,4254285.898,392906.058,0.477,NA,NA,NA,38.430411,76.226962,-33.575,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_Teros,Teros cluster,Teros12,MSM_TR_TEROS_1&5,4254286.955,392907.839,0.49,NA,NA,NA,38.430415,76.226958,-33.694,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_Teros,Teros cluster,Teros12,MSM_TR_TEROS_3,4254285.438,392907.052,0.496,NA,NA,NA,38.430431,76.226951,-34.053,0.005,0.005,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_Tree_Plot,Plot corner,Tree Plot,MSM_TR_TP_1,NA,NA,NA,NA,NA,NA,38.430357,76.226782,-33.579,NA,NA,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_Tree_Plot,Plot corner,Tree Plot,MSM_TR_TP_2,NA,NA,NA,NA,NA,NA,38.430523,76.226976,-32.834,NA,NA,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_Tree_Plot,Plot corner,Tree Plot,MSM_TR_TP_3,NA,NA,NA,NA,NA,NA,38.430431,76.227097,-33.513,NA,NA,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_Tree_Plot,Plot corner,Tree Plot,MSM_TR_TP_4,NA,NA,NA,NA,NA,NA,38.430261,76.226897,-34.774,NA,NA,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_GasWells_A,Center of Cluster,GHG Soil Gas Well,tr-gas-a,4254286.548,392908.888,0.504,NA,NA,NA,NA,NA,NA,0.014,0.023,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_GasWells_B,Center of Cluster,GHG Soil Gas Well,tr-gas-b,4254286.199,392905.749,0.522,NA,NA,NA,NA,NA,NA,0.014,0.024,6/4/2025,NA
Moneystump Swamp,MSM,Transition,TR,MSM_TR_GasWells_C,Center of Cluster,GHG Soil Gas Well,tr-gas-c,4254282.339,392905.055,0.469,NA,NA,NA,NA,NA,NA,0.014,0.024,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_Macrophyte_Flux_Collar_1_A,Front corner ,GHG Macrophyte Flux Collar,wc-collar-1a,4254140.461,392865.178,0.334,NA,NA,NA,38.42910748,76.22741959,-34.609,0.01,0.015,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_Macrophyte_Flux_Collar_1_B,Back corner,GHG Macrophyte Flux Collar,wc-collar-1b,4254140.429,392864.712,0.325,NA,NA,NA,38.42910748,76.22741959,-34.609,0.01,0.014,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_Macrophyte_Flux_Collar_2_A,Front corner ,GHG Macrophyte Flux Collar,wc-collar-2a,4254141.671,392863.397,0.335,NA,NA,NA,38.42911804,76.22743985,-34.63,0.01,0.015,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_Macrophyte_Flux_Collar_2_B,Back corner,GHG Macrophyte Flux Collar,wc-collar-2b,4254141.611,392862.958,0.326,NA,NA,NA,38.42911804,76.22743985,-34.63,0.011,0.015,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_Macrophyte_Flux_Collar_3_A,Front corner ,GHG Macrophyte Flux Collar,wc-collar-3a,4254142.813,392861.718,0.333,NA,NA,NA,38.42912837,76.22745906,-34.591,0.01,0.015,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_Macrophyte_Flux_Collar_3_B,Back corner,GHG Macrophyte Flux Collar,wc-collar-3b,4254142.743,392861.278,0.314,NA,NA,NA,38.42912837,76.22745906,-34.591,0.01,0.015,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_Macrophyte_Flux_Collar_4_A,Front corner ,GHG Macrophyte Flux Collar,wc-collar-4a,4254145.787,392857.786,0.287,NA,NA,NA,38.42912837,76.22745906,-34.591,0.01,0.015,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_Macrophyte_Flux_Collar_4_B,Back corner,GHG Macrophyte Flux Collar,wc-collar-4b,4254145.721,392857.337,0.274,NA,NA,NA,38.42912837,76.22745906,-34.591,0.01,0.015,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_Macrophyte_Flux_Collar_5_A,Front corner ,GHG Macrophyte Flux Collar,wc-collar-5a,4254147.214,392855.973,0.321,NA,NA,NA,38.42916717,76.22752586,-34.562,0.01,0.014,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_Macrophyte_Flux_Collar_5_B,Back corner,GHG Macrophyte Flux Collar,wc-collar-5b,4254147.195,392855.515,0.328,NA,NA,NA,38.42916717,76.22752586,-34.562,0.01,0.015,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_GasWells_A,Center of Cluster,GHG Soil Gas Well,wc-gas-a,4254140.589,392863.518,0.322,NA,NA,NA,38.42910956,76.22743545,-34.614,0.01,0.014,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_GasWells_B,Center of Cluster,GHG Soil Gas Well,wc-gas-b,4254141.994,392861.758,0.355,NA,NA,NA,38.42912092,76.22745562,-34.575,0.01,0.015,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_GasWells_C,Center of Cluster,GHG Soil Gas Well,wc-gas-c,4254145.794,392856.294,0.344,NA,NA,NA,38.42915509,76.22751979,-34.621,0.01,0.014,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_LoggerBox,Pole Base ,Logger Box,wc-logger-pole,4254144.4,392859.337,0.357,NA,NA,NA,NA,NA,NA,0.01,0.015,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_PARsensor,Pole Base ,PAR Sensor,wc-par-pole,4254143.876,392860.207,0.328,NA,NA,NA,NA,NA,NA,0.01,0.015,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_SamplingZone,Corner,Sampling Zone,wc-sampling-a,4254135.016,392874.995,0.301,NA,NA,NA,NA,NA,NA,0.01,0.015,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_SamplingZone,Corner,Sampling Zone,wc-sampling-b,4254133.43,392877.879,0.267,NA,NA,NA,NA,NA,NA,0.01,0.015,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_SamplingZone,Corner,Sampling Zone,wc-sampling-c,4254123.951,392867.137,0.291,NA,NA,NA,NA,NA,NA,0.01,0.015,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_SamplingZone,Corner,Sampling Zone,wc-sampling-d,4254122.246,392869.766,0.277,NA,NA,NA,NA,NA,NA,0.01,0.015,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_Lysimeters_A,Center of Cluster,Porewater Lysimeter,wc-sip-a,4254141.086,392863.746,0.307,NA,NA,NA,38.42911313,76.22743394,-34.614,0.01,0.015,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_Lysimeters_B,Center of Cluster,Porewater Lysimeter,wc-sip-b,4254142.311,392862.138,0.34,NA,NA,NA,38.42912255,76.22745096,-34.571,0.01,0.015,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_Lysimeters_C,Center of Cluster,Porewater Lysimeter,wc-sip-c,4254146.181,392856.503,0.326,NA,NA,NA,38.42915714,76.22751654,-34.497,0.01,0.015,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_Teros,Teros cluster,Teros12,WC-Teros-1,4254142.687,392859.526,0.313,NA,NA,NA,38.4291277,76.22748317,-34.595,0.007,0.01,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_Teros,Teros cluster,Teros12,WC-Teros-2,4254144.119,392857.697,0.292,NA,NA,NA,38.42913927,76.2275023,-34.628,0.008,0.011,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_VegPlot_1,Front corner ,Ground Vegetation Plot,wc-veg1-a,4254129.749,392868.951,0.281,NA,NA,NA,NA,NA,NA,0.01,0.014,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_VegPlot_1,Back corner,Ground Vegetation Plot,wc-veg1-b,4254129.479,392867.646,0.302,NA,NA,NA,NA,NA,NA,0.01,0.014,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_VegPlot_2,Front corner ,Ground Vegetation Plot,wc-veg2-a,4254132.279,392864.863,0.288,NA,NA,NA,NA,NA,NA,0.01,0.014,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_VegPlot_2,Back corner,Ground Vegetation Plot,wc-veg2-b,4254132.114,392863.581,0.291,NA,NA,NA,NA,NA,NA,0.01,0.015,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_VegPlot_3,Front corner ,Ground Vegetation Plot,wc-veg3-a,4254134.408,392861.874,0.304,NA,NA,NA,NA,NA,NA,0.01,0.015,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_VegPlot_3,Back corner,Ground Vegetation Plot,wc-veg3-b,4254134.368,392860.586,0.286,NA,NA,NA,NA,NA,NA,0.01,0.015,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_VegPlot_4,Front corner ,Ground Vegetation Plot,wc-veg4-a,4254137.026,392858.475,0.287,NA,NA,NA,NA,NA,NA,0.01,0.014,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_VegPlot_4,Back corner,Ground Vegetation Plot,wc-veg4-b,4254136.839,392857.154,0.288,NA,NA,NA,NA,NA,NA,0.01,0.014,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_VegPlot_5,Front corner ,Ground Vegetation Plot,wc-veg5-a,4254138.972,392855.577,0.242,NA,NA,NA,NA,NA,NA,0.01,0.014,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_VegPlot_5,Back corner,Ground Vegetation Plot,wc-veg5-b,4254138.579,392854.332,0.26,NA,NA,NA,NA,NA,NA,0.01,0.014,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_PARsensor,Pole Base ,PAR Sensor,wc-weather-pole,4254145.067,392858.459,0.289,NA,NA,NA,NA,NA,NA,0.01,0.015,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_AQ600,Well Base,AquaTROLL 600,wc-well-base,4254143.719,392861.397,0.324,NA,NA,NA,38.42913674,76.22746098,-34.577,0.01,0.015,6/4/2025,NA
Moneystump Swamp,MSM,Wetland,WC,MSM_WC_AQ600,Well Top,AquaTROLL 600,wc-well-top,4254143.691,392861.307,1.256,NA,NA,NA,38.42913674,76.22746098,-34.577,0.01,0.015,6/4/2025,NA
Sweet Hall,SWH,Wetland,WC,SWH_WC_AQ600,Well Base,AquaTROLL 600,wcwellbase,4159417.16,332462.05,0.183755,NA,NA,NA,37.5666,-76.8970,-34.2257,0.014307,0.015777,2/18/2025,11:21:14 AM
Sweet Hall,SWH,Transition,TR,SWH_TR_AQ600,Well Base,AquaTROLL 600,trwellbottom,4159664.63,332511.74,0.468570,NA,NA,NA,37.5688,-76.8965,-33.9374,0.020840,0.031770,2/18/2025,1:18:25 PM
Sweet Hall,SWH,Swamp,SWAMP,SWH_SWAMP_AQ600,Well Base,AquaTROLL 600,swampawellbottom,4159858.33,332587.08,0.714962,NA,NA,NA,37.5706,-76.8957,-33.6890,0.016841,0.034841,2/18/2025,1:01:30 PM
Sweet Hall,SWH,Upland,UP,SWH_UP_AQ600,Well Base,AquaTROLL 600,upwellbase,4159892.16,332620.67,1.074645,NA,NA,NA,37.5709,-76.8953,-33.3294,0.035604,0.074296,2/18/2025,11:48:36 AM
