"","Site","Zone","Replicate","Date","Plot","TIMESTAMP","HM81_AIC","HM81_flux.estimate","HM81_p.value","HM81_r.squared","HM81_RMSE","lin_AIC","lin_flux.estimate","lin_flux.std.error","lin_int.estimate","lin_int.std.error","lin_p.value","lin_r.squared","lin_RMSE","poly_AIC","poly_r.squared","poly_RMSE","rob_AIC","rob_converged","rob_flux.estimate","rob_flux.std.error","rob_RMSE","TIMESTAMP_min","TIMESTAMP_max","qaqc_flag","Notes"
"55","GWI","TR","2","202505","GWI_TR_2_202505",2025-05-20 12:55:34.5,2588.61509744089,1.00114515392625,8.86567356798346e-126,0.861776520835674,20.8490073704115,2126.39608774426,0.658116020867494,0.00659142905239353,133687.286991909,1.15826432332827,1.75554308400596e-225,0.9719212479522,9.3968733529146,2117.45826927214,0.973146397902651,9.22165721739637,2126.62978905776,TRUE,0.656616001791789,0.00657947778912325,9.03199261945146,2025-05-20 12:53:10,2025-05-20 12:57:59,NA,""
"56","GWI","TR","2","202507","GWI_TR_2_202507",2025-07-23 11:08:34.5,NA,NA,NA,NA,NA,2210.70917773898,2.49541122499661,0.00762275286783263,128679.031372181,1.33949142472416,0,0.997319805184938,10.8671492524946,2105.30037108693,0.998162110804058,9.03036574180638,2210.96632555301,TRUE,2.49296141168084,0.00804309320324145,9.83454751978567,2025-07-23 11:06:10,2025-07-23 11:10:59,NA,"Veg scores in survey"
"57","GWI","TR","2","202509","GWI_TR_2_202509",2025-09-17 10:50:34.5,2636.80754494845,0.849356769860762,2.42996319707469e-134,0.879453921619866,22.6553667329519,2118.59512419976,0.768879644182941,0.00650336827938753,138103.482632185,1.14279003833684,4.07351747523835e-246,0.97981191273389,9.27133215013148,2062.262738067,0.983603793774794,8.38454436100292,2118.63619063249,TRUE,0.768937211336501,0.0065398732086873,8.4754563107962,2025-09-17 10:48:10,2025-09-17 10:52:59,NA,""
"58","GWI","TR","2","202511","GWI_TR_2_202511",2025-11-06 14:58:34.5,2011.88603854289,0.387159756423247,4.41953681032604e-136,0.882760537201381,7.71329831105748,1220.7140919547,0.267131973734958,0.00138299231272667,34421.0671787894,0.243023271969661,1.00967809688661e-306,0.992339789930445,1.9716215569411,1197.67402084456,0.993021752693079,1.88838100699888,1220.73836009291,TRUE,0.267199127834841,0.00140701202576398,1.96039841083346,2025-11-06 14:56:10,2025-11-06 15:00:59,NA,""
"59","GWI","TR","3","202505","GWI_TR_3_202505",2025-05-20 13:14:34.5,NA,NA,NA,NA,NA,2580.79979797934,2.53687170871135,0.0144287803802073,134075.880142428,2.5354655888262,4.64090274244542e-295,0.990769455239401,20.5699584706282,2580.32444352703,0.990910809860182,20.4830945744734,2581.71911378095,TRUE,2.53009012963369,0.0146668327301019,19.4673719325205,2025-05-20 13:12:10,2025-05-20 13:16:59,NA,""
"60","GWI","TR","3","202507","GWI_TR_3_202507",2025-07-23 11:25:34.5,2489.56690756825,0.639483957395362,2.0668622870285e-134,0.879589265807382,17.575987041848,2081.49925283544,0.5939930696159,0.00610044573980518,128623.384558533,1.07198736429553,1.96993712583644e-222,0.970518031492857,8.69691770291608,2048.03385309886,0.974091067178021,8.1813526185507,2081.62322329158,TRUE,0.595197932193835,0.00609503576148996,8.43766855433652,2025-07-23 11:23:10,2025-07-23 11:27:59,NA,"Veg scores in survey"
"61","GWI","TR","3","202509","GWI_TR_3_202509",2025-09-17 11:05:34.5,NA,NA,NA,NA,NA,2733.74645102276,0.918493619704594,0.0187825073280573,138242.865649619,3.30051464831298,1.63079396337961e-141,0.892511687246651,26.7767188585385,2615.13967270739,0.929571350824888,21.7502694993626,2734.7390456515,TRUE,0.931961864522229,0.0192127925800514,26.5891612379379,2025-09-17 11:03:10,2025-09-17 11:07:59,"low r squared, but checked and flux is okay","wobbly but okay flux"
"62","GWI","TR","3","202511","GWI_TR_3_202511",2025-11-06 15:05:34.5,1736.41012331193,0.236028780136825,1.38055648586449e-136,0.883703610267715,4.79698414855961,1194.5954941072,0.165937110562809,0.00132209477437637,34410.2789790789,0.232322186440409,1.88435638281173e-253,0.982045950134656,1.88480480584914,1156.06957674074,0.984494812980573,1.75766821316579,1194.84064406154,TRUE,0.165295012251428,0.00131198909875476,1.92137946584784,2025-11-06 15:03:10,2025-11-06 15:07:59,NA,""
"63","GWI","TR","4","202505","GWI_TR_4_202505",2025-05-20 13:38:34.5,NA,NA,NA,NA,NA,1933.64998322997,0.489504984475624,0.00472774954888309,100498.061360836,0.830773355607028,6.64679937564342e-230,0.973837826919268,6.73997450355946,1932.42352527656,0.97430510527926,6.70282676281616,1933.79838222508,TRUE,0.488865321933082,0.00482935451489231,6.34303670943758,2025-05-20 13:36:10,2025-05-20 13:40:59,NA,""
"64","GWI","TR","4","202507","GWI_TR_4_202507",2025-07-23 11:39:34.5,NA,NA,NA,NA,NA,2030.2682884381,0.220873625640948,0.00558471047622754,128187.5585185,0.981360923301314,2.06285790887344e-118,0.844507452053548,7.96167517554469,2010.42814781685,0.856778780295256,7.66772584056349,2030.28338372091,TRUE,0.221375269928283,0.00564575555909553,8.56192868707097,2025-07-23 11:37:10,2025-07-23 11:41:59,"low r squared, but checked and flux is okay","Veg scores in survey"
