"Sample_Name","Run_Number","Conc","Absorbance","Dilution","Unit","Test","Run_Time","NOx_flag","NH3_flag","PO4_flag"
"MSM_202307_RHZ_TR_SF_8",57,1.252567,0.699322,0,"mg N/L","Ammonia 2","1/19/2024 17:20","NOx reduction efficiency low","",""
"MSM_202307_RHZ_WC_Col_1",60,0.24931,0.149793,0,"mg N/L","Ammonia 2","1/19/2024 17:28","NOx reduction efficiency low","",""
"MSM_202307_RHZ_WC_Col_2",61,0.300217,0.177677,0,"mg N/L","Ammonia 2","1/19/2024 17:30","NOx reduction efficiency low","",""
"MSM_202307_RHZ_WC_Col_3",62,0.21866,0.133005,0,"mg N/L","Ammonia 2","1/19/2024 17:33","NOx reduction efficiency low","",""
"MSM_202307_RHZ_WC_Col_4",64,0.430102,0.248821,0,"mg N/L","Ammonia 2","1/19/2024 17:38","NOx reduction efficiency low","",""
"MSM_202307_RHZ_WC_Col_5",66,0.320659,0.188874,0,"mg N/L","Ammonia 2","1/19/2024 17:44","NOx reduction efficiency low","",""
"MSM_202307_RHZ_WC_Sip_A",67,0.230359,0.139413,0,"mg N/L","Ammonia 2","1/19/2024 17:46","NOx reduction efficiency low","",""
"MSM_202307_RHZ_WC_Sip_B",68,0.201389,0.123545,0,"mg N/L","Ammonia 2","1/19/2024 17:49","NOx reduction efficiency low","",""
"MSM_202307_RHZ_WC_Sip_C",69,0.359718,0.210269,0,"mg N/L","Ammonia 2","1/19/2024 17:52","NOx reduction efficiency low","",""
"MSM_202307_RHZ_TR_SF_1",48,0.00937,0.003553,0,"mg P/L","o-PHOS 0.3","1/19/2024 19:29","NOx reduction efficiency low","",""
"MSM_202307_RHZ_TR_SF_2",50,0.012088,0.004683,0,"mg P/L","o-PHOS 0.3","1/19/2024 19:32","NOx reduction efficiency low","",""
"MSM_202307_RHZ_TR_SF_3",52,0.008987,0.003393,0,"mg P/L","o-PHOS 0.3","1/19/2024 19:34","NOx reduction efficiency low","",""
"MSM_202307_RHZ_TR_SF_4",53,0.006091,0.00219,0,"mg P/L","o-PHOS 0.3","1/19/2024 19:36","NOx reduction efficiency low","",""
"MSM_202307_RHZ_TR_SF_5",54,0.009585,0.003642,0,"mg P/L","o-PHOS 0.3","1/19/2024 19:37","NOx reduction efficiency low","",""
"MSM_202307_RHZ_TR_SF_6",55,0.008196,0.003065,0,"mg P/L","o-PHOS 0.3","1/19/2024 19:38","NOx reduction efficiency low","",""
"MSM_202307_RHZ_TR_SF_7",56,0.008292,0.003104,0,"mg P/L","o-PHOS 0.3","1/19/2024 19:40","NOx reduction efficiency low","",""
"MSM_202307_RHZ_TR_SF_8",57,0.029923,0.012097,0,"mg P/L","o-PHOS 0.3","1/19/2024 19:41","NOx reduction efficiency low","",""
"MSM_202307_RHZ_WC_Col_1",60,0.018762,0.007457,0,"mg P/L","o-PHOS 0.3","1/19/2024 19:45","NOx reduction efficiency low","",""
"MSM_202307_RHZ_WC_Col_2",61,0.036015,0.014629,0,"mg P/L","o-PHOS 0.3","1/19/2024 19:47","NOx reduction efficiency low","",""
"MSM_202307_RHZ_WC_Col_3",62,0.024173,0.009706,0,"mg P/L","o-PHOS 0.3","1/19/2024 19:48","NOx reduction efficiency low","",""
"MSM_202307_RHZ_WC_Col_4",64,0.053127,0.021742,0,"mg P/L","o-PHOS 0.3","1/19/2024 19:51","NOx reduction efficiency low","",""
"MSM_202307_RHZ_WC_Col_5",66,0.025301,0.010175,0,"mg P/L","o-PHOS 0.3","1/19/2024 19:53","NOx reduction efficiency low","",""
"MSM_202307_RHZ_WC_Sip_A",67,0.029113,0.01176,0,"mg P/L","o-PHOS 0.3","1/19/2024 19:55","NOx reduction efficiency low","",""
"MSM_202307_RHZ_WC_Sip_B",68,0.030577,0.012368,0,"mg P/L","o-PHOS 0.3","1/19/2024 19:56","NOx reduction efficiency low","",""
"MSM_202307_RHZ_WC_Sip_C",69,0.040891,0.016656,0,"mg P/L","o-PHOS 0.3","1/19/2024 19:57","NOx reduction efficiency low","",""
