SO4_vial_no,Date,Month,Year,Campaign,Site,Zone,Rep,Depth,Tree,Sample Name
141,202210,October,2022,MonMon,MSM,WC,PPR,,10,141_202210_MSM_PPR_WC_10
142,202210,October,2022,MonMon,MSM,WC,PPR,,11,142_202210_MSM_PPR_WC_11
143,202210,October,2022,MonMon,MSM,WC,PPR,,12,143_202210_MSM_PPR_WC_12
15,202210,October,2022,MonMon,GCrew,WC,SipA,10cm,,15_202210_GCrew_WC_SipA_10cm
16,202210,October,2022,MonMon,GCrew,WC,SipA,20cm,,16_202210_GCrew_WC_SipA_20cm
17,202210,October,2022,MonMon,GCrew,WC,SipA,45cm,,17_202210_GCrew_WC_SipA_45cm
18,202210,October,2022,MonMon,GCrew,WC,SipB,10cm,,18_202210_GCrew_WC_SipB_10cm
19,202210,October,2022,MonMon,GCrew,WC,SipB,20cm,,19_202210_GCrew_WC_SipB_20cm
2,202210,October,2022,MonMon,Gcrew,UP,LysB,10cm,,2_202210_Gcrew_UP_LysB_10cm
20,202210,October,2022,MonMon,GCrew,WC,SipB,45cm,,20_202210_GCrew_WC_SipB_45cm
21,202210,October,2022,MonMon,GCrew,WC,SipC,10cm,,21_202210_GCrew_WC_SipC_10cm
22,202210,October,2022,MonMon,GCrew,WC,SipC,20cm,,22_202210_GCrew_WC_SipC_20cm
23,202210,October,2022,MonMon,GCrew,WC,SipC,45cm,,23_202210_GCrew_WC_SipC_45cm
24,202210,October,2022,MonMon,GCrew,SW,A,,,24_202210_GCrew_SW_A
25,202210,October,2022,MonMon,GCrew,SW,B,,,25_202210_GCrew_SW_B
26,202210,October,2022,MonMon,GCrew,SW,C,,,26_202210_GCrew_SW_C
27,202210,October,2022,MonMon,GWI,UP,LysA,10cm,,27_202210_GWI_UP_LysA_10cm
28,202210,October,2022,MonMon,GWI,UP,LysA,20cm,,28_202210_GWI_UP_LysA_20cm
29,202210,October,2022,MonMon,GWI,UP,LysA,45cm,,29_202210_GWI_UP_LysA_45cm
3,202210,October,2022,MonMon,GCrew,UP,LysB,20cm,,3_202210_GCrew_UP_LysB_20cm
30,202210,October,2022,MonMon,GWI,UP,LysB,10cm,,30_202210_GWI_UP_LysB_10cm
31,202210,October,2022,MonMon,GWI,UP,LysB,20cm,,31_202210_GWI_UP_LysB_20cm
32,202210,October,2022,MonMon,GWI,UP,LysC,10cm,,32_202210_GWI_UP_LysC_10cm
33,202210,October,2022,MonMon,GWI,UP,LysC,20cm,,33_202210_GWI_UP_LysC_20cm
34,202210,October,2022,MonMon,GWI,TR,LysA,10cm,,34_202210_GWI_TR_LysA_10cm
35,202210,October,2022,MonMon,GWI,TR,LysA,20cm,,35_202210_GWI_TR_LysA_20cm
36,202210,October,2022,MonMon,GWI,TR,LysA,45cm,,36_202210_GWI_TR_LysA_45cm
37,202210,October,2022,MonMon,GWI,TR,LysB,10cm,,37_202210_GWI_TR_LysB_10cm
38,202210,October,2022,MonMon,GWI,TR,LysB,20cm,,38_202210_GWI_TR_LysB_20cm
39,202210,October,2022,MonMon,GWI,TR,LysB,45cm,,39_202210_GWI_TR_LysB_45cm
4,202210,October,2022,MonMon,GCrew,UP,LysB,45cm,,4_202210_GCrew_UP_LysB_45cm
40,202210,October,2022,MonMon,GWI,TR,LysC,10cm,,40_202210_GWI_TR_LysC_10cm
41,202210,October,2022,MonMon,GWI,TR,LysC,20cm,,41_202210_GWI_TR_LysC_20cm
42,202210,October,2022,MonMon,GWI,TR,LysC,45cm,,42_202210_GWI_TR_LysC_45cm
43,202210,October,2022,MonMon,GWI,WC,SipA,10cm,,43_202210_GWI_WC_SipA_10cm
44,202210,October,2022,MonMon,GWI,WC,SipA,20cm,,44_202210_GWI_WC_SipA_20cm
45,202210,October,2022,MonMon,GWI,WC,SipA,45cm,,45_202210_GWI_WC_SipA_45cm
46,202210,October,2022,MonMon,GWI,WC,SipB,10cm,,46_202210_GWI_WC_SipB_10cm
47,202210,October,2022,MonMon,GWI,WC,SipB,20cm,,47_202210_GWI_WC_SipB_20cm
48,202210,October,2022,MonMon,GWI,WC,SipB,45cm,,48_202210_GWI_WC_SipB_45cm
49,202210,October,2022,MonMon,GWI,WC,SipC,10cm,,49_202210_GWI_WC_SipC_10cm
5,202210,October,2022,MonMon,GCrew,UP,LysC,20cm,,5_202210_GCrew_UP_LysC_20cm
50,202210,October,2022,MonMon,GWI,WC,SipC,20cm,,50_202210_GWI_WC_SipC_20cm
51,202210,October,2022,MonMon,GWI,WC,SipC,45cm,,51_202210_GWI_WC_SipC_45cm
52,202210,October,2022,MonMon,GWI,SW,A,,,52_202210_GWI_SW_A
53,202210,October,2022,MonMon,GWI,SW,B,,,53_202210_GWI_SW_B
54,202210,October,2022,MonMon,GWI,SW,C,,,54_202210_GWI_SW_C
55,202210,October,2022,MonMon,MSM,UP,LysA,20cm,,55_202210_MSM_UP_LysA_20cm
56,202210,October,2022,MonMon,MSM,UP,LysA,45cm,,56_202210_MSM_UP_LysA_45cm
57,202210,October,2022,MonMon,MSM,UP,LysB,10cm,,57_202210_MSM_UP_LysB_10cm
58,202210,October,2022,MonMon,MSM,UP,LysB,20cm,,58_202210_MSM_UP_LysB_20cm
59,202210,October,2022,MonMon,MSM,UP,LysB,45cm,,59_202210_MSM_UP_LysB_45cm
6,202210,October,2022,MonMon,GCrew,TR,LysA,10cm,,6_202210_GCrew_TR_LysA_10cm
60,202210,October,2022,MonMon,MSM,UP,LysC,10cm,,60_202210_MSM_UP_LysC_10cm
61,202210,October,2022,MonMon,MSM,UP,LysC,20cm,,61_202210_MSM_UP_LysC_20cm
62,202210,October,2022,MonMon,MSM,UP,LysC,45cm,,62_202210_MSM_UP_LysC_45cm
63,202210,October,2022,MonMon,MSM,TR,LysA,10cm,,63_202210_MSM_TR_LysA_10cm
64,202210,October,2022,MonMon,MSM,TR,LysA,20cm,,64_202210_MSM_TR_LysA_20cm
65,202210,October,2022,MonMon,MSM,TR,LysA,45cm,,65_202210_MSM_TR_LysA_45cm
66,202210,October,2022,MonMon,MSM,TR,LysB,10cm,,66_202210_MSM_TR_LysB_10cm
67,202210,October,2022,MonMon,MSM,TR,LysB,20cm,,67_202210_MSM_TR_LysB_20cm
68,202210,October,2022,MonMon,MSM,TR,LysB,45cm,,68_202210_MSM_TR_LysB_45cm
69,202210,October,2022,MonMon,MSM,TR,LysC,10cm,,69_202210_MSM_TR_LysC_10cm
7,202210,October,2022,MonMon,GCrew,TR,LysA,20cm,,7_202210_GCrew_TR_LysA_20cm
70,202210,October,2022,MonMon,MSM,TR,LysC,20cm,,70_202210_MSM_TR_LysC_20cm
71,202210,October,2022,MonMon,MSM,TR,LysC,45cm,,71_202210_MSM_TR_LysC_45cm
72,202210,October,2022,MonMon,MSM,WC,SipA,10cm,,72_202210_MSM_WC_SipA_10cm
73,202210,October,2022,MonMon,MSM,WC,SipA,20cm,,73_202210_MSM_WC_SipA_20cm
74,202210,October,2022,MonMon,MSM,WC,SipA,45cm,,74_202210_MSM_WC_SipA_45cm
75,202210,October,2022,MonMon,MSM,WC,SipB,10cm,,75_202210_MSM_WC_SipB_10cm
76,202210,October,2022,MonMon,MSM,WC,SipB,20cm,,76_202210_MSM_WC_SipB_20cm
77,202210,October,2022,MonMon,MSM,WC,SipB,45cm,,77_202210_MSM_WC_SipB_45cm
78,202210,October,2022,MonMon,MSM,WC,SipC,10cm,,78_202210_MSM_WC_SipC_10cm
79,202210,October,2022,MonMon,MSM,WC,SipC,20cm,,79_202210_MSM_WC_SipC_20cm
8,202210,October,2022,MonMon,GCrew,TR,LysA,45cm,,8_202210_GCrew_TR_LysA_45cm
80,202210,October,2022,MonMon,MSM,WC,SipC,45cm,,80_202210_MSM_WC_SipC_45cm
81,202210,October,2022,MonMon,MSM,SW,A,,,81_202210_MSM_SW_A
82,202210,October,2022,MonMon,MSM,SW,B,,,82_202210_MSM_SW_B
83,202210,October,2022,MonMon,MSM,SW,C,,,83_202210_MSM_SW_C
84,202210,October,2022,MonMon,GWI,TR,RHZ,,1,84_202210_GWI_TR_RHZ_SF_1
85,202210,October,2022,MonMon,GWI,TR,RHZ,,2,85_202210_GWI_TR_RHZ_SF_2
86,202210,October,2022,MonMon,GWI,TR,RHZ,,3,86_202210_GWI_TR_RHZ_SF_3
87,202210,October,2022,MonMon,GWI,TR,RHZ,,4,87_202210_GWI_TR_RHZ_SF_4
88,202210,October,2022,MonMon,GWI,TR,RHZ,,5,88_202210_GWI_TR_RHZ_SF_5
89,202210,October,2022,MonMon,GWI,TR,RHZ,,6,89_202210_GWI_TR_RHZ_SF_6
9,202210,October,2022,MonMon,GCrew,TR,LysB,10cm,,9_202210_GCrew_TR_LysB_10cm
90,202210,October,2022,MonMon,GWI,TR,RHZ,,7,90_202210_GWI_TR_RHZ_SF_7
91,202210,October,2022,MonMon,GWI,TR,RHZ,,8,91_202210_GWI_TR_RHZ_SF_8
92,202210,October,2022,MonMon,MSM,TR,RHZ,,1,92_202210_MSM_TR_RHZ_SF_1
93,202210,October,2022,MonMon,MSM,TR,RHZ,,2,93_202210_MSM_TR_RHZ_SF_2
94,202210,October,2022,MonMon,MSM,TR,RHZ,,3,94_202210_MSM_TR_RHZ_SF_3
95,202210,October,2022,MonMon,MSM,TR,RHZ,,4,95_202210_MSM_TR_RHZ_SF_4
96,202210,October,2022,MonMon,MSM,TR,RHZ,,5,96_202210_MSM_TR_RHZ_SF_5
97,202210,October,2022,MonMon,MSM,TR,RHZ,,6,97_202210_MSM_TR_RHZ_SF_6
98,202210,October,2022,MonMon,MSM,TR,RHZ,,7,98_202210_MSM_TR_RHZ_SF_7
99,202210,October,2022,MonMon,MSM,TR,RHZ,,8,99_202210_MSM_TR_RHZ_SF_8
