SO4_vial_no,Date,Month,Year,Campaign,Site,Zone,Rep,Depth,Tree,Sample Name
58,202211,November,2022,MonMon,MSM,UP,PPR,,7,58_202211_MSM_PPR_UP_7
59,202211,November,2022,MonMon,MSM,UP,PPR,,8,59_202211_MSM_PPR_UP_8
6,202211,November,2022,MonMon,MSM,UP,LysC,10cm,,6_202211_MSM_UP_LysC_10cm
60,202211,November,2022,MonMon,MSM,UP,PPR,,9,60_202211_MSM_PPR_UP_9
61,202211,November,2022,MonMon,MSM,UP,PPR,,10,61_202211_MSM_PPR_UP_10
62,202211,November,2022,MonMon,MSM,UP,PPR,,11,62_202211_MSM_PPR_UP_11
63,202211,November,2022,MonMon,MSM,UP,PPR,,12,63_202211_MSM_PPR_UP_12
64,202211,November,2022,MonMon,MSM,TR,PPR,,1,64_202211_MSM_PPR_TR_1
65,202211,November,2022,MonMon,MSM,TR,PPR,,2,65_202211_MSM_PPR_TR_2
66,202211,November,2022,MonMon,MSM,TR,PPR,,3,66_202211_MSM_PPR_TR_3
67,202211,November,2022,MonMon,MSM,TR,PPR,,4,67_202211_MSM_PPR_TR_4
68,202211,November,2022,MonMon,MSM,TR,PPR,,5,68_202211_MSM_PPR_TR_5
69,202211,November,2022,MonMon,MSM,TR,PPR,,6,69_202211_MSM_PPR_TR_6
7,202211,November,2022,MonMon,MSM,UP,LysC,20cm,,7_202211_MSM_UP_LysC_20cm
70,202211,November,2022,MonMon,MSM,TR,PPR,,7,70_202211_MSM_PPR_TR_7
71,202211,November,2022,MonMon,MSM,TR,PPR,,8,71_202211_MSM_PPR_TR_8
72,202211,November,2022,MonMon,MSM,TR,PPR,,9,72_202211_MSM_PPR_TR_9
73,202211,November,2022,MonMon,MSM,TR,PPR,,10,73_202211_MSM_PPR_TR_10
74,202211,November,2022,MonMon,MSM,TR,PPR,,11,74_202211_MSM_PPR_TR_11
75,202211,November,2022,MonMon,MSM,TR,PPR,,12,75_202211_MSM_PPR_TR_12
76,202211,November,2022,MonMon,MSM,WC,PPR,,1,76_202211_MSM_PPR_WC_1
77,202211,November,2022,MonMon,MSM,WC,PPR,,2,77_202211_MSM_PPR_WC_2
78,202211,November,2022,MonMon,MSM,WC,PPR,,3,78_202211_MSM_PPR_WC_3
79,202211,November,2022,MonMon,MSM,WC,PPR,,4,79_202211_MSM_PPR_WC_4
8,202211,November,2022,MonMon,MSM,UP,LysC,45cm,,8_202211_MSM_UP_LysC_45cm
80,202211,November,2022,MonMon,MSM,WC,PPR,,5,80_202211_MSM_PPR_WC_5
81,202211,November,2022,MonMon,MSM,WC,PPR,,6,81_202211_MSM_PPR_WC_6
82,202211,November,2022,MonMon,MSM,WC,PPR,,7,82_202211_MSM_PPR_WC_7
83,202211,November,2022,MonMon,MSM,WC,PPR,,8,83_202211_MSM_PPR_WC_8
84,202211,November,2022,MonMon,MSM,WC,PPR,,9,84_202211_MSM_PPR_WC_9
85,202211,November,2022,MonMon,MSM,WC,PPR,,10,85_202211_MSM_PPR_WC_10
86,202211,November,2022,MonMon,MSM,WC,PPR,,11,86_202211_MSM_PPR_WC_11
87,202211,November,2022,MonMon,MSM,WC,PPR,,12,87_202211_MSM_PPR_WC_12
88,202211,November,2022,MonMon,GCrew,UP,LysB,10cm,,88_202211_GCrew_UP_LysB_10cm
89,202211,November,2022,MonMon,GCrew,UP,LysB,20cm,,89_202211_GCrew_UP_LysB_20cm
9,202211,November,2022,MonMon,MSM,TR,LysA,10cm,,9_202211_MSM_TR_LysA_10cm
90,202211,November,2022,MonMon,GCrew,UP,LysC,10cm,,90_202211_GCrew_UP_LysC_10cm
91,202211,November,2022,MonMon,GCrew,UP,LysC,20cm,,91_202211_GCrew_UP_LysC_20cm
92,202211,November,2022,MonMon,GCrew,UP,LysC,45cm,,92_202211_GCrew_UP_LysC_45cm
93,202211,November,2022,MonMon,GCrew,TR,LysA,20cm,,93_202211_GCrew_TR_LysA_20cm
94,202211,November,2022,MonMon,GCrew,TR,LysA,45cm,,94_202211_GCrew_TR_LysA_45cm
95,202211,November,2022,MonMon,GCrew,TR,LysB,10cm,,95_202211_GCrew_TR_LysB_10cm
96,202211,November,2022,MonMon,GCerw,TR,LysB,20cm,,96_202211_GCerw_TR_LysB_20cm
97,202211,November,2022,MonMon,GCrew,TR,LysB,45cm,,97_202211_GCrew_TR_LysB_45cm
98,202211,November,2022,MonMon,GCrew,TR,LysC,10cm,,98_202211_GCrew_TR_LysC_10cm
99,202211,November,2022,MonMon,GCrew,TR,LysC,20cm,,99_202211_GCrew_TR_LysC_20cm
