"","Analysis_No","Date","Site","Zone","Replicate","Depth","Tree","Sample_ID","SO4_ppm","Cl_ppm","SO4_mM","Cl_mM","salinity"
"60","147","202211","GWI","RHZ","TR","SF","8","147_202211_GWI_RHZ_TR_SF_8",1793.7846,13317.6085,55.950860885839,375.673018335684,24.0649445595
"61","15","202211","MSM","TR","LysB","10cm","15","15_202211_MSM_TR_LysB_10cm",1048.6566,6370.2701,32.7091890205864,179.697322990127,11.5111040707
"62","16","202211","MSM","TR","LysB","20cm","16","16_202211_MSM_TR_LysB_20cm",701.6766,6346.5882,21.886356830942,179.029286318759,11.4683108774
"63","17","202211","MSM","TR","LysB","45cm","17","17_202211_MSM_TR_LysB_45cm",625.2173,5590.7615,19.5014753587024,157.708363892807,10.1025320305
"64","18","202211","MSM","WC","SipA","10cm","18","18_202211_MSM_WC_SipA_10cm",2544.4789,19269.7855,79.3661540860886,543.576459802539,34.8205283985
"65","19","202211","MSM","WC","SipA","20cm","19","19_202211_MSM_WC_SipA_20cm",2365.1949,14059.6966,73.7740143480973,396.606392101551,25.4058977562
"66","2","202211","MSM","UP","LysA","20cm","2","2_202211_MSM_UP_LysA_20cm",277.1974,2342.0044,8.64620711166563,66.0650042313117,4.2320279508
"67","20","202211","MSM","WC","SipA","45cm","20","20_202211_MSM_WC_SipA_45cm",29.5728,12145.7863,0.922420461634435,342.617385049365,21.9474618441
"68","21","202211","MSM","WC","SipB","10cm","21","21_202211_MSM_WC_SipB_10cm",1928.2227,12520.9488,60.1441890205864,353.200248236953,22.6253804816
"69","22","202211","MSM","WC","SipB","20cm","22","22_202211_MSM_WC_SipB_20cm",2019.4264,13915.6787,62.988970679975,392.543827926657,25.1456574109
"70","23","202211","MSM","WC","SipB","45cm","23","23_202211_MSM_WC_SipB_45cm",109.0471,9558.1445,3.40134435433562,269.623258110014,17.2715931115
"71","24","202211","MSM","WC","SipC","10cm","24","24_202211_MSM_WC_SipC_10cm",1799.4067,12594.9451,56.1262227074236,355.287590973202,22.7590917957
"72","25","202211","MSM","WC","SipC","20cm","25","25_202211_MSM_WC_SipC_20cm",931.6248,10231.9213,29.0587897691828,288.629655853314,18.4891077891
"73","26","202211","MSM","WC","SipC","45cm","26","26_202211_MSM_WC_SipC_45cm",9.4492,9884.8347,0.294734872114785,278.838778561354,17.8619223029
"74","27","202211","MSM","SW","A","27","202211","27_202211_MSM_SW_A",2500.6712,13253.0274,77.99972551466,373.851266572637,23.9482465118
"75","28","202211","MSM","SW","B","28","202211","28_202211_MSM_SW_B",1790.3195,14007.9493,55.8427791640674,395.146665726375,25.3123903851
"76","29","202211","MSM","SW","C","29","202211","29_202211_MSM_SW_C",2098.9347,12472.3483,65.4689550842171,351.829289139633,22.5375593781
"77","3","202211","MSM","UP","LysB","10cm","3","3_202211_MSM_UP_LysB_10cm",86.2372,654.6429,2.68986899563319,18.4666544428773,1.1829657203
"78","30","202211","MSM","RHZ","UP","SF","1","30_202211_MSM_RHZ_UP_SF_1",160.1495,1867.5578,4.99530567685589,52.681461212976,3.3747029446
"79","31","202211","MSM","RHZ","UP","SF","2","31_202211_MSM_RHZ_UP_SF_2",72.3702,840.3162,2.25733624454148,23.7042651622003,1.5184773734
"80","32","202211","MSM","RHZ","UP","SF","3","32_202211_MSM_RHZ_UP_SF_3",129.9066,1244.7563,4.05198378041173,35.1130126939351,2.2493006341
"81","33","202211","MSM","RHZ","UP","SF","4","33_202211_MSM_RHZ_UP_SF_4",171.234,2244.1587,5.3410480349345,63.3048998589563,4.0552207709
"82","34","202211","MSM","RHZ","UP","SF","5","34_202211_MSM_RHZ_UP_SF_5",110.7402,1498.2359,3.4541547099189,42.2633540197461,2.7073382713
"83","35","202211","MSM","RHZ","UP","SF","6","35_202211_MSM_RHZ_UP_SF_6",170.6988,1554.6628,5.32435433562071,43.8550860366714,2.8093016796
"84","36","202211","MSM","RHZ","UP","SF","7","36_202211_MSM_RHZ_UP_SF_7",198.741,2618.2923,6.19903306300686,73.8587390691114,4.7312801861
"85","37","202211","MSM","RHZ","UP","SF","8","37_202211_MSM_RHZ_UP_SF_8",112.6562,1686.8319,3.513917654398,47.5834104372355,3.0481312433
"86","38","202211","MSM","RHZ","TR","SF","1","38_202211_MSM_RHZ_TR_SF_1",1050.0653,6802.6877,32.7531285090455,191.89528067701,12.2924826739
"87","39","202211","MSM","RHZ","TR","SF","2","39_202211_MSM_RHZ_TR_SF_2",713.7607,5163.679,22.2632782283219,145.660902679831,9.330793953
"88","4","202211","MSM","UP","LysB","20cm","4","4_202211_MSM_UP_LysB_20cm",114.7059,997.4385,3.57785090455396,28.1364880112835,1.8023973695
"89","40","202211","MSM","RHZ","TR","SF","3","40_202211_MSM_RHZ_TR_SF_3",784.62,5006.9179,24.4734872114785,141.238868829337,9.0475266453
"90","41","202211","MSM","RHZ","TR","SF","4","41_202211_MSM_RHZ_TR_SF_4",1162.8913,7482.5306,36.2723424828447,211.072795486601,13.5209587942
"91","42","202211","MSM","RHZ","TR","SF","6","42_202211_MSM_RHZ_TR_SF_6",971.6282,6315.7343,30.3065564566438,178.158936530324,11.4125578801
"92","43","202211","MSM","RHZ","TR","SF","7","43_202211_MSM_RHZ_TR_SF_7",910.9009,6120.4549,28.4123799126638,172.650349788434,11.0596880043
"93","44","202211","MSM","RHZ","WC","Col1","44","44_202211_MSM_RHZ_WC_Col1",1908.023,11067.5891,59.5141297567062,312.202795486601,19.9991595037
"94","45","202211","MSM","RHZ","WC","SipA","45","45_202211_MSM_RHZ_WC_SipA",1909.5426,10678.9236,59.5615283842795,301.239029619182,19.2968409452
"95","46","202211","MSM","RHZ","WC","Col2","46","46_202211_MSM_RHZ_WC_Col2",1374.6764,9790.4072,42.8782407985028,276.175097320169,17.6912918104
"96","47","202211","MSM","RHZ","WC","SipB","47","47_202211_MSM_RHZ_WC_SipB",1894.4221,11140.7654,59.0898970679975,314.267007052186,20.1313890778
"97","48","202211","MSM","RHZ","WC","Col3","48","48_202211_MSM_RHZ_WC_Col3",1514.1302,10224.7704,47.2280162195883,288.427937940762,18.4761861128
"98","49","202211","MSM","RHZ","WC","Col4","49","49_202211_MSM_RHZ_WC_Col4",1787.4021,11210.9408,55.7517810355583,316.246566995769,20.2581960256
"99","5","202211","MSM","UP","LysB","45cm","5","5_202211_MSM_UP_LysB_45cm",547.2917,3075.0677,17.0708577666875,86.7437997179126,5.5566733339
"100","50","202211","MSM","RHZ","WC","SipC","50","50_202211_MSM_RHZ_WC_SipC",1499.1157,10370.657,46.7596912039925,292.543215796897,18.739803199
"101","51","202211","MSM","RHZ","WC","Col5","51","51_202211_MSM_RHZ_WC_Col5",1502.9591,10156.4014,46.8795726762321,286.499334273625,18.3526433298
"102","52","202211","MSM","PPR","UP","1","52","52_202211_MSM_PPR_UP_1",23.4174,304.3703,0.730424204616344,8.58590409026798,0.5500231321
"103","53","202211","MSM","PPR","UP","2","53","53_202211_MSM_PPR_UP_2",84.6656,1007.8622,2.64084840923269,28.4305275035261,1.8212329954
"104","54","202211","MSM","PPR","UP","3","54","54_202211_MSM_PPR_UP_3",94.4782,1118.5059,2.94691827822832,31.5516473906911,2.0211661613
"105","55","202211","MSM","PPR","UP","4","55","55_202211_MSM_PPR_UP_4",112.3998,1386.3066,3.50592014971928,39.1059689703808,2.5050820262
"106","56","202211","MSM","PPR","UP","5","56","56_202211_MSM_PPR_UP_5",211.3758,2175.9984,6.59313162819713,61.3821833568406,3.9320551088
"107","57","202211","MSM","PPR","UP","6","57","57_202211_MSM_PPR_UP_6",179.9841,2076.472,5.61397691827823,58.5746685472497,3.752210904
"108","58","202211","MSM","PPR","UP","7","58","58_202211_MSM_PPR_UP_7",174.8104,2399.5399,5.4526013724267,67.6880084626234,4.3359945993
"109","59","202211","MSM","PPR","UP","8","59","59_202211_MSM_PPR_UP_8",177.2609,2485.0861,5.52903618215845,70.1011593794076,4.4905765827
"110","6","202211","MSM","UP","LysC","10cm","6","6_202211_MSM_UP_LysC_10cm",96.2034,1094.3512,3.00072988147224,30.8702736248237,1.9775186184
"111","60","202211","MSM","PPR","UP","9","60","60_202211_MSM_PPR_UP_9",178.6692,2492.5354,5.57296319401123,70.3112947813822,4.5040374678
"112","61","202211","MSM","PPR","UP","10","61","61_202211_MSM_PPR_UP_10",148.4152,2364.0378,4.62929507174049,66.686538787024,4.2718423046
"113","62","202211","MSM","PPR","UP","11","62","62_202211_MSM_PPR_UP_11",161.6766,2433.2554,5.0429382407985,68.6390803949224,4.3969185078
"114","63","202211","MSM","PPR","UP","12","63","63_202211_MSM_PPR_UP_12",158.7478,2355.5381,4.95158452900811,66.4467729196051,4.2564833467
"115","64","202211","MSM","PPR","TR","1","64","64_202211_MSM_PPR_TR_1",278.143,2474.0204,8.67570180910792,69.7890098730606,4.4705808628
"116","65","202211","MSM","PPR","TR","2","65","65_202211_MSM_PPR_TR_2",415.2092,3336.8363,12.9510043668122,94.1279633286319,6.0296891941
"117","66","202211","MSM","PPR","TR","3","66","66_202211_MSM_PPR_TR_3",483.1684,3838.8819,15.070754834685,108.290039492243,6.9368855933
"118","67","202211","MSM","PPR","TR","4","67","67_202211_MSM_PPR_TR_4",504.1556,3933.5373,15.7253774173425,110.960149506347,7.1079279011
"119","68","202211","MSM","PPR","TR","5","68","68_202211_MSM_PPR_TR_5",514.8428,3992.268,16.058727386151,112.616868829337,7.214054276
"120","69","202211","MSM","PPR","TR","6","69","69_202211_MSM_PPR_TR_6",508.4345,3861.4798,15.8588427947598,108.927497884344,6.9777199986
"121","7","202211","MSM","UP","LysC","20cm","7","7_202211_MSM_UP_LysC_20cm",202.4505,1848.6897,6.31473799126638,52.149215796897,3.3406082879
"122","70","202211","MSM","PPR","TR","7","70","70_202211_MSM_PPR_TR_7",514.9525,4014.6269,16.062149095446,113.247585331453,7.2544568083
"123","71","202211","MSM","PPR","TR","8","71","71_202211_MSM_PPR_TR_8",492.0431,3875.5447,15.3475701809108,109.324251057828,7.0031352729
"124","72","202211","MSM","PPR","TR","9","72","72_202211_MSM_PPR_TR_9",522.1735,4020.9697,16.2873830318153,113.426507757405,7.2659182479
"125","73","202211","MSM","PPR","TR","10","73","73_202211_MSM_PPR_TR_10",517.8428,3845.2175,16.152301933874,108.468758815233,6.9483340225
"126","74","202211","MSM","PPR","TR","11","74","74_202211_MSM_PPR_TR_11",442.7026,3319.5097,13.8085651902682,93.6392016925247,5.9983800279
"127","75","202211","MSM","PPR","TR","12","75","75_202211_MSM_PPR_TR_12",490.2003,3858.1237,15.2900904553961,108.83282651622,6.9716555259
"128","76","202211","MSM","PPR","WC","1","76","76_202211_MSM_PPR_WC_1",758.1275,6017.3466,23.6471459762944,169.741794076164,10.8733713062
"129","77","202211","MSM","PPR","WC","2","77","77_202211_MSM_PPR_WC_2",810.8875,5928.6302,25.2928103555833,167.239215796897,10.7130607714
"130","78","202211","MSM","PPR","WC","3","78","78_202211_MSM_PPR_WC_3",861.5224,6300.3969,26.8721896444167,177.726287729196,11.3848431983
"131","79","202211","MSM","PPR","WC","4","79","79_202211_MSM_PPR_WC_4",1103.1859,7997.9954,34.4100405489707,225.613410437236,14.4524036878
"132","8","202211","MSM","UP","LysC","45cm","8","8_202211_MSM_UP_LysC_45cm",647.3701,3552.1977,20.1924547723019,100.203038081805,6.4188472439
"133","80","202211","MSM","PPR","WC","5","80","80_202211_MSM_PPR_WC_5",1034.7348,7548.1547,32.274946974423,212.923968970381,13.6395415429
"134","81","202211","MSM","PPR","WC","6","81","81_202211_MSM_PPR_WC_6",903.92,7053.2224,28.1946350592639,198.962550070522,12.7451988768
"135","82","202211","MSM","PPR","WC","7","82","82_202211_MSM_PPR_WC_7",900.7168,7537.9508,28.0947223955084,212.636129760226,13.6211030956
"136","83","202211","MSM","PPR","WC","8","83","83_202211_MSM_PPR_WC_8",943.1403,7818.451,29.4179756706176,220.548688293371,14.127966957
"137","84","202211","MSM","PPR","WC","9","84","84_202211_MSM_PPR_WC_9",894.1399,7412.5097,27.8895789145352,209.097593794076,13.3944310279
"138","85","202211","MSM","PPR","WC","10","85","85_202211_MSM_PPR_WC_10",1030.3036,8510.6046,32.1367311291329,240.073472496474,15.3786885122
"139","86","202211","MSM","PPR","WC","11","86","86_202211_MSM_PPR_WC_11",894.179,7400.8901,27.8907985028072,208.769819464034,13.3734344107
"140","87","202211","MSM","PPR","WC","12","87","87_202211_MSM_PPR_WC_12",941.3899,7732.9737,29.3633780411728,218.137480959097,13.9735094759
"141","88","202211","GCrew","UP","LysB","10cm","88","88_202211_GCrew_UP_LysB_10cm",25.2283,96.1308,0.78690892077355,2.71172919605078,0.1737343556
"142","89","202211","GCrew","UP","LysB","20cm","89","89_202211_GCrew_UP_LysB_20cm",24.7076,6.0037,0.770667498440424,0.169356840620592,0.0108746859
"143","9","202211","MSM","TR","LysA","10cm","9","9_202211_MSM_TR_LysA_10cm",1130.0614,6907.9772,35.2483281347473,194.865365303244,12.4827408004
"144","90","202211","GCrew","UP","LysC","10cm","90","90_202211_GCrew_UP_LysC_10cm",8.7733,6.819,0.273652526512789,0.192355430183357,0.012347933
"145","91","202211","GCrew","UP","LysC","20cm","91","91_202211_GCrew_UP_LysC_20cm",3.9959,8.5123,0.124638178415471,0.240121297602257,0.0154077261
"146","92","202211","GCrew","UP","LysC","45cm","92","92_202211_GCrew_UP_LysC_45cm",8.5612,5.5322,0.267036805988771,0.156056417489422,0.0100226854
"147","93","202211","GCrew","TR","LysA","20cm","93","93_202211_GCrew_TR_LysA_20cm",12.7006,39.3372,0.396150966936993,1.10965303244006,0.0711083204
"148","94","202211","GCrew","TR","LysA","45cm","94","94_202211_GCrew_TR_LysA_45cm",29.8886,9.2674,0.932270742358078,0.261421720733427,0.0167721918
"149","95","202211","GCrew","TR","LysB","10cm","95","95_202211_GCrew_TR_LysB_10cm",37.2271,42.8304,1.16116968184654,1.20819181946403,0.0774205328
"150","96","202211","GCerw","TR","LysB","20cm","96","96_202211_GCerw_TR_LysB_20cm",23.2492,27.3018,0.725177791640674,0.770149506346968,0.0493603526
"151","97","202211","GCrew","TR","LysB","45cm","97","97_202211_GCrew_TR_LysB_45cm",8.5226,78.9566,0.265832813474735,2.22726657263752,0.1427005762
"152","98","202211","GCrew","TR","LysC","10cm","98","98_202211_GCrew_TR_LysC_10cm",23.2523,36.3126,0.725274485339988,1.02433286318759,0.0656428682
"153","99","202211","GCrew","TR","LysC","20cm","99","99_202211_GCrew_TR_LysC_20cm",36.2821,48.2589,1.13169369931379,1.36132299012694,0.0872298323
"154","Blank","Blank","Blank","Blank","Blank","Blank","Blank","Blank",NA,0.0387,NA,0.0010916784203103,9.59309e-05
"155","Blank","Blank","Blank","Blank","Blank","Blank","Blank","Blank",NA,0.026,NA,0.000733427362482369,7.2982e-05
"156","Blank","Blank","Blank","Blank","Blank","Blank","Blank","Blank",NA,0.0387,NA,0.0010916784203103,9.59309e-05
"157","Blank","Blank","Blank","Blank","Blank","Blank","Blank","Blank",NA,0.026,NA,0.000733427362482369,7.2982e-05
