"","Analysis_No","Site","Zone","Replicate","Depth","Date","Sample_ID","SO4_ppm","SO4_Area","Cl_ppm","Cl_Area","SO4_mM","Cl_mM","salinity"
"68","71","GCrew","WC","SipC","20cm",202206,"71_GCrew_WC_SipC_20cm",344.4022,"1.8134 ",3337.6873,"25.0559 ",10.7424266999376,94.1519689703808,6.0312269511
"69","72","GCrew","WC","SipA","45cm",202206,"72_GCrew_WC_SipA_45cm",91.5971,"0.4823 ",5352.5091,"40.1811 ",2.85705240174672,150.987562764457,9.6720099437
"70","73","GCrew","WC","SipB","45cm",202206,"73_GCrew_WC_SipB_45cm",245.202,"1.2911 ",4209.7454,"31.6024 ",7.64822208359326,118.751633286319,7.6070359378
"71","74","GCrew","WC","SipC","45cm",202206,"74_GCrew_WC_SipC_45cm",422.751,"2.2259 ",4173.095,"31.3273 ",13.1862445414847,117.717771509168,7.540808665
"72","75","GCrew","WC","LysA","10cm",202206,"75_GCrew_WC_LysA_10cm",285.3617,"1.5025 ",3313.6944,"24.8758 ",8.90086400499064,93.4751593794076,5.9878717808
"73","76","GCrew","WC","LysA","20cm",202206,"76_GCrew_WC_LysA_20cm",380.7819,"2.0050 ",4139.3895,"31.0743 ",11.877164691204,116.766981664316,7.4799028265
"74","77","GCrew","WC","LysA","45cm",202206,"77_GCrew_WC_LysA_45cm",145.5024,"0.7661 ",4983.5113,"37.4111 ",4.53844042420462,140.578598025388,9.0052309191
"75","8","MSM","UP","LysB","45cm",202206,"8_MSM_UP_LysB_45cm",215.2179,"2.2664 ",2229.8247,"33.4785 ",6.712972551466,62.9005557122708,4.0293192329
"76","9","MSM","UP","LysC","45cm",202206,"9_MSM_UP_LysC_45cm",241.6542,"2.5448 ",2196.0487,"32.9714 ",7.53756082345602,61.9477771509168,3.9682860009
"77","JLee","1","pw","JLee","1",202206,"JLee_1_pw",366.3883,"3.2809 ",3350.0522,"42.7700 ",11.4282064878353,94.5007672778561,6.0535703254
"78","JLee","2","sw","serum","JLee",202206,"JLee_2_sw_serum",444.8586,"3.9836 ",3788.9623,"48.3735 ",13.8758140985652,106.881870239774,6.8466808761
