"","Analysis_No","Site","Date","Zone","Replicate","Depth","Sample_ID","SO4_ppm","Cl_ppm","SO4_mM","Cl_mM","salinity"
"60","63","MSM","202305","RHZ","TR","SF1","63_MSM_202305_RHZ_TR_SF1",483.7889,4523.205,15.0901091703057,127.593935119887,8.173457435
"61","64","MSM","202305","RHZ","TR","SF2","64_MSM_202305_RHZ_TR_SF2",354.1752,3506.146,11.0472613849033,98.9039774330042,6.335631822
"62","65","MSM","202305","RHZ","TR","SF3","65_MSM_202305_RHZ_TR_SF3",312.5313,3098.6935,9.74832501559576,87.4102538787024,5.5993651545
"63","66","MSM","202305","RHZ","TR","SF4","66_MSM_202305_RHZ_TR_SF4",485.9134,4669.6855,15.1563755458515,131.725966149506,8.4381476985
"64","67","MSM","202305","RHZ","TR","SF5","67_MSM_202305_RHZ_TR_SF5",472.6788,4428.8846,14.7435683094198,124.933275035261,8.0030204722
"65","68","MSM","202305","RHZ","TR","SF7","68_MSM_202305_RHZ_TR_SF7",539.8714,4844.3847,16.8394073611978,136.654011283498,8.7538291529
"66","69","MSM","202305","RHZ","TR","SF6","69_MSM_202305_RHZ_TR_SF6",485.7654,4687.6023,15.1517592014972,132.231376586742,8.4705233561
"67","7","GCW","202305","TR","LysA","20cm","7_GCW_202305_TR_LysA_20cm",8.7934,75.794,0.274279475982533,2.13805359661495,0.136985758
"68","70","MSM","202305","RHZ","TR","SF8","70_MSM_202305_RHZ_TR_SF8",489.5285,4713.8186,15.2691359950094,132.970905500705,8.5178962102
"69","71","MSM","202305","RHZ","WC","Col1","71_MSM_202305_RHZ_WC_Col1",897.2711,7914.1001,27.9872457891454,223.246829337094,14.3008048807
"70","72","MSM","202305","RHZ","WC","Col2","72_MSM_202305_RHZ_WC_Col2",826.9555,7633.8681,25.7939956331878,215.341836389281,13.7944256567
"71","73","MSM","202305","RHZ","WC","Col3","73_MSM_202305_RHZ_WC_Col3",911.5208,7989.3747,28.4317155333749,225.370231311707,14.4368260829
"72","74","MSM","202305","RHZ","WC","Col4","74_MSM_202305_RHZ_WC_Col4",819.1987,7997.9294,25.5520492825951,225.611548660085,14.4522844258
"73","75","MSM","202305","RHZ","WC","Col5","75_MSM_202305_RHZ_WC_Col5",858.1548,7910.0803,26.767149095446,223.133435825106,14.2935411021
"74","76","MSM","202305","RHZ","WC","SipA","76_MSM_202305_RHZ_WC_SipA",888.7977,8095.5828,27.7229475982533,228.366228490832,14.6287441196
"75","77","MSM","202305","RHZ","WC","SipB","77_MSM_202305_RHZ_WC_SipB",786.7395,8006.151,24.5395976294448,225.843469675599,14.467140857
"76","78","MSM","202305","RHZ","WC","SipC","78_MSM_202305_RHZ_WC_SipC",791.477,7762.4959,24.6873674360574,218.9702651622,14.0268560913
"77","79","GWI","202305","UP","LysA","10cm","79_GWI_202305_UP_LysA_10cm",299.4947,3874.3292,9.34169369931379,109.289963328632,7.0009388644
"78","8","GCW","202305","TR","LysA","45cm","8_GCW_202305_TR_LysA_45cm",29.6341,72.5202,0.924332501559576,2.04570380818054,0.1310700014
"79","80","GWI","202305","UP","LysA","20cm","80_GWI_202305_UP_LysA_20cm",478.9198,4206.0575,14.9382345601996,118.6476022567,7.6003719025
"80","81","GWI","202305","UP","LysA","45cm","81_GWI_202305_UP_LysA_45cm",553.0724,5081.6982,17.2511665626949,143.348327221439,9.1826546474
"81","82","GWI","202305","UP","LysB","10cm","82_GWI_202305_UP_LysB_10cm",143.6723,2197.1974,4.48135683094198,61.9801805359661,3.9703617018
"82","83","GWI","202305","UP","LysB","20cm","83_GWI_202305_UP_LysB_20cm",456.2129,4113.7262,14.2299719276357,116.043052186178,7.4335292434
"83","84","GWI","202305","UP","LysB","45cm","84_GWI_202305_UP_LysB_45cm",306.4451,2802.657,9.55848721147848,79.0594358251058,5.064427199
"84","85","GWI","202305","UP","LysC","10cm","85_GWI_202305_UP_LysC_10cm",622.2964,4946.0694,19.4103680598877,139.522409026798,8.9375734058
"85","86","GWI","202305","UP","LysC","20cm","86_GWI_202305_UP_LysC_20cm",489.2406,4328.8099,15.2601559575795,122.110293370945,7.8221854893
"86","87","GWI","202305","TR","LysA","10cm","87_GWI_202305_TR_LysA_10cm",558.0922,5236.4654,17.4077417342483,147.714115655853,9.4623189778
"87","88","GWI","202305","TR","LysA","20cm","88_GWI_202305_TR_LysA_20cm",727.3093,7308.4185,22.6858796007486,206.161311706629,13.2063382295
"88","89","GWI","202305","TR","LysA","45cm","89_GWI_202305_TR_LysA_45cm",728.7382,8679.8805,22.7304491578291,244.848533145275,15.6845700635
"89","9","GCW","202305","TR","LysB","10cm","9_GCW_202305_TR_LysB_10cm",8.8541,68.1106,0.276172800998129,1.92131452750353,0.1231018542
"90","90","GWI","202305","TR","LysB","10cm","90_GWI_202305_TR_LysB_10cm",548.253,4864.9042,17.1008421709295,137.232840620592,8.7909078894
"91","91","GWI","202305","TR","LysB","20cm","91_GWI_202305_TR_LysB_20cm",415.8575,6114.6623,12.9712258265752,172.486947813822,11.0492207761
"92","92","GWI","202305","TR","LysB","45cm","92_GWI_202305_TR_LysB_45cm",900.0022,7978.3985,28.0724329382408,225.060606488011,14.4169920895
"93","93","GWI","202305","TR","LysC","10cm","93_GWI_202305_TR_LysC_10cm",465.3743,4304.3281,14.5157298814722,121.419692524683,7.7779468767
"94","94","GWI","202305","TR","LysC","20cm","94_GWI_202305_TR_LysC_20cm",561.1956,5691.145,17.5045414847162,160.540056417489,10.283925015
"95","Blank","Blank","Blank","Blank","Blank","Blank","Blank",NA,0.0137,NA,0.000386459802538787,5.07559e-05
"96","Blank","Blank","Blank","Blank","Blank","Blank","Blank",NA,NA,NA,NA,NA
"97","Blank","Blank","Blank","Blank","Blank","Blank","Blank",NA,0.0137,NA,0.000386459802538787,5.07559e-05
"98","Blank","Blank","Blank","Blank","Blank","Blank","Blank",NA,NA,NA,NA,NA
