"","Analysis_No","Site","Date","Zone","Replicate","Depth","RHZ","RHZ_Rep","Sample_ID","SO4_ppm","Cl_ppm","SO4_mM","Cl_mM","salinity"
"119","87","GWI","202311","UP","LysB","20cm","87","GWI","87_GWI_202311_UP_LysB_20cm",457.3149,3969.7479,14.2643449781659,111.981605077574,7.1733604553
"120","88","GWI","202311","UP","LysC","10cm","88","GWI","88_GWI_202311_UP_LysC_10cm",802.369,6583.4919,25.0271054273238,185.712042313117,11.8963958633
"121","89","GWI","202311","UP","LysC","20cm","89","GWI","89_GWI_202311_UP_LysC_20cm",600.5444,5615.4785,18.731890205864,158.405599435825,10.1471956495
"122","9","MSM","202311","TR","LysA","20cm","9","MSM","9_MSM_202311_TR_LysA_20cm",643.5869,5522.2483,20.07445102932,155.775692524683,9.9787286781
"123","90","GWI","202311","UP","LysC","45cm","90","GWI","90_GWI_202311_UP_LysC_45cm",656.2242,5360.4516,20.4686275733001,151.211610719323,9.6863620412
"124","91","GWI","202311","TR","LysA","10cm","91","GWI","91_GWI_202311_TR_LysA_10cm",1014.8258,10151.7466,31.6539550842171,286.368028208745,18.3442321062
"125","92","GWI","202311","TR","LysA","20cm","92","GWI","92_GWI_202311_TR_LysA_20cm",628.1181,8948.909,19.5919557080474,252.437489421721,16.170704563
"126","93","GWI","202311","TR","LysA","45cm","93","GWI","93_GWI_202311_TR_LysA_45cm",820.1254,8586.0672,25.5809544603868,242.202177715092,15.5150494304
"127","94","GWI","202311","TR","LysB","10cm","94","GWI","94_GWI_202311_TR_LysB_10cm",1425.1956,11263.1989,44.4540112289457,317.720702397743,20.3526264123
"128","95","GWI","202311","TR","LysB","20cm","95","GWI","95_GWI_202311_TR_LysB_20cm",651.0651,9213.5854,20.3077074235808,259.90367842031,16.6489748178
"129","96","GWI","202311","TR","LysB","45cm","96","GWI","96_GWI_202311_TR_LysB_45cm",1037.7547,8564.1602,32.3691422333125,241.584208744711,15.4754634814
"130","97","GWI","202311","TR","LysC","10cm","97","GWI","97_GWI_202311_TR_LysC_10cm",1578.4128,12049.8714,49.2330879600749,339.911746121298,21.7741436198
"131","98","GWI","202311","TR","LysC","20cm","98","GWI","98_GWI_202311_TR_LysC_20cm",1237.7441,10528.4119,38.6071147847785,296.993283497884,19.0248663033
"132","99","GWI","202311","TR","LysC","45cm","99","GWI","99_GWI_202311_TR_LysC_45cm",1076.1519,8908.1834,33.5668091079226,251.288671368124,16.0971134038
