"","Analysis_No","Date","Site","Zone","Replicate","Depth","Sample_ID","SO4_ppm","Cl_ppm","SO4_mM","Cl_mM","salinity"
"60","21","GCW","202305","WC","LysC","20cm","21_GCW_202305_WC_LysC_20cm",488.823,4727.0862,15.2471303805365,133.345167842031,8.5418707634
"61","22","GCW","202305","WC","LysC","45cm","22_GCW_202305_WC_LysC_45cm",499.9189,5384.3735,15.5932283218964,151.886417489422,9.7295889145
"62","23","GCW","202305","SW","A","23","23_GCW_202305_SW_A",331.4382,4566.6353,10.3380598877105,128.819049365303,8.2519359871
"63","24","GCW","202305","SW","B","24","24_GCW_202305_SW_B",321.2274,4436.7707,10.0195695570805,125.155732016925,8.0172706549
"64","25","GCW","202305","SW","C","25","25_GCW_202305_SW_C",319.6307,4434.4087,9.96976606363069,125.089102961918,8.0130025209
"65","26","MSM","202305","UP","LysA","20cm","26_MSM_202305_UP_LysA_20cm",134.053,1454.9461,4.1813162819713,41.0422031029619,2.6291136027
"66","27","MSM","202305","UP","LysA","45cm","27_MSM_202305_UP_LysA_45cm",204.6733,2635.77,6.38407049282595,74.3517630465444,4.76286239
"67","28","MSM","202305","UP","LysB","10cm","28_MSM_202305_UP_LysB_10cm",28.5873,471.0823,0.891681222707423,13.2886403385049,0.8512717161
"68","29","MSM","202305","UP","LysB","20cm","29_MSM_202305_UP_LysB_20cm",37.6811,584.2518,1.17533063006862,16.4810098730606,1.0557690026
"69","3","GCW","202305","UP","LysB","20cm","3_GCW_202305_UP_LysB_20cm",6.1771,NA,0.192673112913288,NA,NA
"70","30","MSM","202305","UP","LysB","45cm","30_MSM_202305_UP_LysB_45cm",125.9329,1724.7658,3.92803805364941,48.6534781382228,3.1166778006
"71","31","MSM","202305","UP","LysC","10cm","31_MSM_202305_UP_LysC_10cm",62.9016,707.2833,1.96199625701809,19.9515740479549,1.2780869231
"72","32","MSM","202305","UP","LysC","20cm","32_MSM_202305_UP_LysC_20cm",101.9214,1249.1489,3.17908296943231,35.236922425952,2.2572380623
"73","33","MSM","202305","UP","LysC","45cm","33_MSM_202305_UP_LysC_45cm",174.9094,2432.0468,5.45568933250156,68.6049873060649,4.3947345676
"74","34","MSM","202305","TR","LysA","10cm","34_MSM_202305_TR_LysA_10cm",320.6476,3182.8262,10.0014847161572,89.7835317348378,5.7513929434
"75","35","MSM","202305","TR","LysA","20cm","35_MSM_202305_TR_LysA_20cm",414.6564,3514.0923,12.9337616968185,99.1281325811001,6.3499907861
"76","36","MSM","202305","TR","LysA","45m","36_MSM_202305_TR_LysA_45m",467.758,3995.0796,14.5900810979414,112.696180535966,7.2191348372
"77","37","MSM","202305","TR","LysB","10cm","37_MSM_202305_TR_LysB_10cm",357.8262,3543.0829,11.1611416094822,99.9459210155148,6.4023768003
"78","38","MSM","202305","TR","LysB","20cm","38_MSM_202305_TR_LysB_20cm",321.4038,3502.7151,10.0250717404866,98.8071960507757,6.3294321857
"79","39","MSM","202305","TR","LysB","45cm","39_MSM_202305_TR_LysB_45cm",330.9267,3833.5677,10.3221054273238,108.1401325811,6.9272828339
"80","4","GCW","202305","UP","LysC","10cm","4_GCW_202305_UP_LysC_10cm",5.2401,59.9804,0.163446662507798,1.69197179125529,0.1084105828
"81","40","MSM","202305","TR","LysC","10cm","40_MSM_202305_TR_LysC_10cm",409.6475,3908.6209,12.7775265127885,110.257289139633,7.0629039663
"82","41","MSM","202305","TR","LysC","20cm","41_MSM_202305_TR_LysC_20cm",303.1789,3523.8549,9.45660948222084,99.4035232722144,6.3676318043
"83","42","MSM","202305","TR","LysC","45cm","42_MSM_202305_TR_LysC_45cm",455.0067,4155.3897,14.1923487211478,117.218327221439,7.5088151879
"84","43","MSM","202305","WC","LysA","10cm","43_MSM_202305_WC_LysA_10cm",890.6559,8285.3907,27.7809076731129,233.720471086037,14.9717269949
"85","44","MSM","202305","WC","LysA","20cm","44_MSM_202305_WC_LysA_20cm",840.9832,7975.3382,26.2315408608858,224.974279266573,14.4114621274
"86","45","MSM","202305","WC","LysA","45cm","45_MSM_202305_WC_LysA_45cm",183.2384,8095.8611,5.71548346849657,228.374078984485,14.6292470077
"87","46","MSM","202305","WC","LysB","10cm","46_MSM_202305_WC_LysB_10cm",824.8939,8138.7847,25.7296912039925,229.584899858956,14.7068099529
"88","47","MSM","202305","WC","LysB","20cm","47_MSM_202305_WC_LysB_20cm",770.5327,7983.9669,24.0340829694323,225.217684062059,14.4270541883
"89","48","MSM","202305","WC","LysB","45cm","48_MSM_202305_WC_LysB_45cm",218.065,8027.2946,6.80177791640674,226.439904090268,14.5053473422
"90","49","MSM","202305","WC","LysC","10cm","49_MSM_202305_WC_LysC_10cm",787.0017,7688.1072,24.5477760449158,216.871853314527,13.8924357104
"91","5","GCW","202305","UP","LysC","20cm","5_GCW_202305_UP_LysC_20cm",4.8894,72.3197,0.152507797878977,2.04004795486601,0.1307076979
"92","50","MSM","202305","WC","LysC","20cm","50_MSM_202305_WC_LysC_20cm",671.1855,7304.4209,20.9352932002495,206.048544428773,13.1991145663
"93","51","MSM","202305","WC","LysC","45cm","51_MSM_202305_WC_LysC_45cm",154.8114,8488.3719,4.82880224578915,239.446315937941,15.3385140233
"94","52","MSM","202305","SW","A","52","52_MSM_202305_SW_A",881.0879,7547.0727,27.4824672489083,212.893447108604,13.6375863689
"95","53","MSM","202305","SW","B","53","53_MSM_202305_SW_B",537.847,7748.4202,16.7762632563943,218.573207334274,14.0014213014
"96","54","MSM","202305","SW","C","54","54_MSM_202305_SW_C",877.2949,7503.5753,27.3641578290705,211.666440056417,13.5589865671
"97","55","MSM","202305","RHZ","UP","SF1","55_MSM_202305_RHZ_UP_SF1",60.3225,1169.451,1.88155021834061,32.9887447108604,2.113223957
"98","56","MSM","202305","RHZ","UP","SF2","56_MSM_202305_RHZ_UP_SF2",38.4939,513.0711,1.20068309419838,14.4730916784203,0.9271454777
"99","57","MSM","202305","RHZ","UP","SF3","57_MSM_202305_RHZ_UP_SF3",82.4575,857.97,2.57197442295696,24.2022566995769,1.55037779
"100","58","MSM","202305","RHZ","UP","SF4","58_MSM_202305_RHZ_UP_SF4",36.0109,926.3172,1.12323456019963,26.130245416079,1.6738811804
"101","59","MSM","202305","RHZ","UP","SF5","59_MSM_202305_RHZ_UP_SF5",47.3082,677.0959,1.47561447286338,19.1000253878702,1.2235382913
"102","6","GCW","202305","TR","LysB","20cm","6_GCW_202305_TR_LysB_20cm",16.0359,69.723,0.500184029943855,1.96679830747532,0.126015461
"103","60","MSM","202305","RHZ","UP","SF6","60_MSM_202305_RHZ_UP_SF6",45.7372,761.3144,1.42661260137243,21.4757235543018,1.3757211208
"104","61","MSM","202305","RHZ","UP","SF7","61_MSM_202305_RHZ_UP_SF7",62.2802,1262.2168,1.94261384903306,35.6055514809591,2.2808517576
"105","62","MSM","202305","RHZ","UP","SF8","62_MSM_202305_RHZ_UP_SF8",47.451,783.9835,1.480068621335,22.1151904090268,1.4166841845
"106","63","MSM","202305","RHZ","TR","SF1","63_MSM_202305_RHZ_TR_SF1",483.7889,4523.205,15.0901091703057,127.593935119887,8.173457435
"107","64","MSM","202305","RHZ","TR","SF2","64_MSM_202305_RHZ_TR_SF2",354.1752,3506.146,11.0472613849033,98.9039774330042,6.335631822
"108","65","MSM","202305","RHZ","TR","SF3","65_MSM_202305_RHZ_TR_SF3",312.5313,3098.6935,9.74832501559576,87.4102538787024,5.5993651545
"109","66","MSM","202305","RHZ","TR","SF4","66_MSM_202305_RHZ_TR_SF4",485.9134,4669.6855,15.1563755458515,131.725966149506,8.4381476985
"110","67","MSM","202305","RHZ","TR","SF5","67_MSM_202305_RHZ_TR_SF5",472.6788,4428.8846,14.7435683094198,124.933275035261,8.0030204722
"111","68","MSM","202305","RHZ","TR","SF7","68_MSM_202305_RHZ_TR_SF7",539.8714,4844.3847,16.8394073611978,136.654011283498,8.7538291529
"112","69","MSM","202305","RHZ","TR","SF6","69_MSM_202305_RHZ_TR_SF6",485.7654,4687.6023,15.1517592014972,132.231376586742,8.4705233561
"113","7","GCW","202305","TR","LysA","20cm","7_GCW_202305_TR_LysA_20cm",8.7934,75.794,0.274279475982533,2.13805359661495,0.136985758
"114","70","MSM","202305","RHZ","TR","SF8","70_MSM_202305_RHZ_TR_SF8",489.5285,4713.8186,15.2691359950094,132.970905500705,8.5178962102
"115","71","MSM","202305","RHZ","WC","Col1","71_MSM_202305_RHZ_WC_Col1",897.2711,7914.1001,27.9872457891454,223.246829337094,14.3008048807
"116","72","MSM","202305","RHZ","WC","Col2","72_MSM_202305_RHZ_WC_Col2",826.9555,7633.8681,25.7939956331878,215.341836389281,13.7944256567
"117","73","MSM","202305","RHZ","WC","Col3","73_MSM_202305_RHZ_WC_Col3",911.5208,7989.3747,28.4317155333749,225.370231311707,14.4368260829
"118","74","MSM","202305","RHZ","WC","Col4","74_MSM_202305_RHZ_WC_Col4",819.1987,7997.9294,25.5520492825951,225.611548660085,14.4522844258
"119","75","MSM","202305","RHZ","WC","Col5","75_MSM_202305_RHZ_WC_Col5",858.1548,7910.0803,26.767149095446,223.133435825106,14.2935411021
"120","76","MSM","202305","RHZ","WC","SipA","76_MSM_202305_RHZ_WC_SipA",888.7977,8095.5828,27.7229475982533,228.366228490832,14.6287441196
"121","77","MSM","202305","RHZ","WC","SipB","77_MSM_202305_RHZ_WC_SipB",786.7395,8006.151,24.5395976294448,225.843469675599,14.467140857
"122","78","MSM","202305","RHZ","WC","SipC","78_MSM_202305_RHZ_WC_SipC",791.477,7762.4959,24.6873674360574,218.9702651622,14.0268560913
"123","79","GWI","202305","UP","LysA","10cm","79_GWI_202305_UP_LysA_10cm",299.4947,3874.3292,9.34169369931379,109.289963328632,7.0009388644
"124","8","GCW","202305","TR","LysA","45cm","8_GCW_202305_TR_LysA_45cm",29.6341,72.5202,0.924332501559576,2.04570380818054,0.1310700014
"125","80","GWI","202305","UP","LysA","20cm","80_GWI_202305_UP_LysA_20cm",478.9198,4206.0575,14.9382345601996,118.6476022567,7.6003719025
"126","81","GWI","202305","UP","LysA","45cm","81_GWI_202305_UP_LysA_45cm",553.0724,5081.6982,17.2511665626949,143.348327221439,9.1826546474
"127","82","GWI","202305","UP","LysB","10cm","82_GWI_202305_UP_LysB_10cm",143.6723,2197.1974,4.48135683094198,61.9801805359661,3.9703617018
"128","83","GWI","202305","UP","LysB","20cm","83_GWI_202305_UP_LysB_20cm",456.2129,4113.7262,14.2299719276357,116.043052186178,7.4335292434
"129","84","GWI","202305","UP","LysB","45cm","84_GWI_202305_UP_LysB_45cm",306.4451,2802.657,9.55848721147848,79.0594358251058,5.064427199
"130","85","GWI","202305","UP","LysC","10cm","85_GWI_202305_UP_LysC_10cm",622.2964,4946.0694,19.4103680598877,139.522409026798,8.9375734058
"131","86","GWI","202305","UP","LysC","20cm","86_GWI_202305_UP_LysC_20cm",489.2406,4328.8099,15.2601559575795,122.110293370945,7.8221854893
"132","87","GWI","202305","TR","LysA","10cm","87_GWI_202305_TR_LysA_10cm",558.0922,5236.4654,17.4077417342483,147.714115655853,9.4623189778
"133","88","GWI","202305","TR","LysA","20cm","88_GWI_202305_TR_LysA_20cm",727.3093,7308.4185,22.6858796007486,206.161311706629,13.2063382295
"134","89","GWI","202305","TR","LysA","45cm","89_GWI_202305_TR_LysA_45cm",728.7382,8679.8805,22.7304491578291,244.848533145275,15.6845700635
"135","9","GCW","202305","TR","LysB","10cm","9_GCW_202305_TR_LysB_10cm",8.8541,68.1106,0.276172800998129,1.92131452750353,0.1231018542
"136","90","GWI","202305","TR","LysB","10cm","90_GWI_202305_TR_LysB_10cm",548.253,4864.9042,17.1008421709295,137.232840620592,8.7909078894
"137","91","GWI","202305","TR","LysB","20cm","91_GWI_202305_TR_LysB_20cm",415.8575,6114.6623,12.9712258265752,172.486947813822,11.0492207761
"138","92","GWI","202305","TR","LysB","45cm","92_GWI_202305_TR_LysB_45cm",900.0022,7978.3985,28.0724329382408,225.060606488011,14.4169920895
"139","93","GWI","202305","TR","LysC","10cm","93_GWI_202305_TR_LysC_10cm",465.3743,4304.3281,14.5157298814722,121.419692524683,7.7779468767
"140","94","GWI","202305","TR","LysC","20cm","94_GWI_202305_TR_LysC_20cm",561.1956,5691.145,17.5045414847162,160.540056417489,10.283925015
"141","95","GWI","202305","TR","LysC","45cm","95_GWI_202305_TR_LysC_45cm",12.6031,136.1891,0.393109794135995,3.84172355430183,0.2461197037
"142","96","GWI","202305","WC","LysA","10cm","96_GWI_202305_WC_LysA_10cm",29.8553,NA,0.931232064878353,NA,NA
"143","97","GWI","202305","WC","LysA","20cm","97_GWI_202305_WC_LysA_20cm",23.41,NA,0.730193387398627,NA,NA
"144","98","GWI","202305","WC","LysA","45cm","98_GWI_202305_WC_LysA_45cm",18.5313,NA,0.578019338739863,NA,NA
"145","99","GWI","202305","WC","LysB","10cm","99_GWI_202305_WC_LysB_10cm",19.8885,278.1977,0.620352464129757,7.84760789844852,0.5027292439
"146","Blank","Blank","Blank","Blank","Blank","Blank","Blank",NA,0.0137,NA,0.000386459802538787,5.07559e-05
"147","Blank","Blank","Blank","Blank","Blank","Blank","Blank",NA,NA,NA,NA,NA
"148","Blank","Blank","Blank","Blank","Blank","Blank","Blank",NA,0.0137,NA,0.000386459802538787,5.07559e-05
"149","Blank","Blank","Blank","Blank","Blank","Blank","Blank",NA,NA,NA,NA,NA
