"","Analysis_No","Site","Date","Zone","Replicate","Depth","NA","Sample_ID","SO4_ppm","Cl_ppm","SO4_mM","Cl_mM","salinity"
"14","101","MSM","202304","PPR","TR","5","101","101_MSM_202304_PPR_TR_5",0,0,0,0,2.6e-05
"15","101","MSM","202304","PPR","TR","5","101","101_MSM_202304_PPR_TR_5",783.8743,0,24.4502276980661,0,2.6e-05
"16","101","MSM","202304","PPR","TR","5","101","101_MSM_202304_PPR_TR_5",783.8743,6018.509,24.4502276980661,169.774583921016,10.875471763
"17","101","MSM","202304","PPR","TR","5","101","101_MSM_202304_PPR_TR_5",783.8743,0,24.4502276980661,0,2.6e-05
"18","101","MSM","202304","PPR","TR","5","101","101_MSM_202304_PPR_TR_5",10.5257,0,0.328312538989395,0,2.6e-05
"19","101","MSM","202304","PPR","TR","5","101","101_MSM_202304_PPR_TR_5",10.5257,6018.509,0.328312538989395,169.774583921016,10.875471763
"20","101","MSM","202304","PPR","TR","5","101","101_MSM_202304_PPR_TR_5",10.5257,0,0.328312538989395,0,2.6e-05
"21","102","MSM","202304","PPR","TR","6","102","102_MSM_202304_PPR_TR_6",5.2337,0,0.163247036805989,0,2.6e-05
"22","102","MSM","202304","PPR","TR","6","102","102_MSM_202304_PPR_TR_6",5.2337,6565.8159,0.163247036805989,185.213424541608,11.8644553313
"23","102","MSM","202304","PPR","TR","6","102","102_MSM_202304_PPR_TR_6",382.7082,0,11.9372489082969,0,2.6e-05
"24","102","MSM","202304","PPR","TR","6","102","102_MSM_202304_PPR_TR_6",382.7082,6565.8159,11.9372489082969,185.213424541608,11.8644553313
"25","103","MSM","202304","PPR","TR","7","103","103_MSM_202304_PPR_TR_7",386.7112,6552.3956,12.0621085464754,184.834854724965,11.8402048492
"26","103","MSM","202304","PPR","TR","7","103","103_MSM_202304_PPR_TR_7",386.7112,81.2729,12.0621085464754,2.29260648801128,0.1468861303
"27","103","MSM","202304","PPR","TR","7","103","103_MSM_202304_PPR_TR_7",12.7341,6552.3956,0.3971958827199,184.834854724965,11.8402048492
"28","103","MSM","202304","PPR","TR","7","103","103_MSM_202304_PPR_TR_7",12.7341,81.2729,0.3971958827199,2.29260648801128,0.1468861303
"29","104","MSM","202304","PPR","TR","8","104","104_MSM_202304_PPR_TR_8",833.8826,6178.9134,26.0100623830318,174.299390691114,11.1653225138
"30","105","MSM","202304","PPR","TR","9","105","105_MSM_202304_PPR_TR_9",865.134,6432.475,26.9848409232689,181.452045133992,11.623508325
"31","106","MSM","202304","PPR","TR","10","106","106_MSM_202304_PPR_TR_10",841.3815,6137.9061,26.2439644416719,173.142626234133,11.0912223227
"32","107","MSM","202304","PPR","TR","11","107","107_MSM_202304_PPR_TR_11",865.4937,6308.0716,26.9960605115409,177.942781382228,11.3987113812
"33","108","MSM","202304","PPR","TR","12","108","108_MSM_202304_PPR_TR_12",858.6871,6215.2484,26.7837523393637,175.324355430183,11.2309798588
"34","109","MSM","202304","PPR","WC","1","109","109_MSM_202304_PPR_WC_1",1639.3423,11867.1978,51.1335714285714,334.758753173484,21.4440524246
"35","11","GCW","202304","TR","LysB","45cm","11","11_GCW_202304_TR_LysB_45cm",15.1401,101.5811,0.472242669993762,2.86547531734838,0.1835830477
"36","110","MSM","202304","PPR","WC","2","110","110_MSM_202304_PPR_WC_2",728.5031,13337.4514,22.7231160324392,376.232761636107,24.1008006798
"37","111","MSM","202304","PPR","WC","3","111","111_MSM_202304_PPR_WC_3",1794.2591,12815.3804,55.9656612601372,361.505794076164,23.1574183828
"38","112","MSM","202304","PPR","WC","4","112","112_MSM_202304_PPR_WC_4",1740.6627,12611.279,54.2939082969432,355.748349788434,22.788607153
"39","113","MSM","202304","PPR","WC","5","113","113_MSM_202304_PPR_WC_5",726.9002,13600.8726,22.6731191515908,383.663543018336,24.5768027882
"40","114","MSM","202304","PPR","WC","6","114","114_MSM_202304_PPR_WC_6",723.467,13589.9245,22.5660324391765,383.354710860367,24.5570195715
"41","115","MSM","202304","PPR","WC","7","115","115_MSM_202304_PPR_WC_7",711.8625,13353.1206,22.2040704928259,376.674770098731,24.1291149242
"42","116","MSM","202304","PPR","WC","8","116","116_MSM_202304_PPR_WC_8",701.8253,13217.4893,21.8909950093575,372.848781382228,23.8840291651
"43","117","MSM","202304","PPR","WC","9","117","117_MSM_202304_PPR_WC_9",1666.9806,11953.8055,51.9956519026825,337.201847672779,21.6005525385
"44","118","MSM","202304","PPR","WC","10","118","118_MSM_202304_PPR_WC_10",691.3365,13049.3123,21.563833437305,368.10471932299,23.5801333261
"45","119","MSM","202304","PPR","WC","11","119","119_MSM_202304_PPR_WC_11",691.9781,13121.4266,21.5838459139114,370.138973201693,23.7104438662
"46","12","GCW","202304","TR","LysC","10cm","12","12_GCW_202304_TR_LysC_10cm",30.0811,92.321,0.938275109170306,2.60425952045134,0.166850047
"47","120","MSM","202304","PPR","WC","12","120","120_MSM_202304_PPR_WC_12",692.0534,13340.018,21.5861946350593,376.305162200282,24.105438526
"48","13","GCW","202304","TR","LysC","20cm","13","13_GCW_202304_TR_LysC_20cm",20.6465,85.2878,0.643995633187773,2.40586177715092,0.1541410546
"49","14","GCW","202304","TR","LysC","45cm","14","14_GCW_202304_TR_LysC_45cm",35.4017,135.0146,1.10423268870867,3.80859238363893,0.2439973822
"50","15","GCW","202304","WC","LysA","10cm","15","15_GCW_202304_WC_LysA_10cm",763.3848,7149.4783,23.8111291328759,201.677808180536,12.9191332881
"51","16","GCW","202304","WC","LysA","20cm","16","16_GCW_202304_WC_LysA_20cm",744.1903,7533.2472,23.212423580786,212.503447108604,13.6126036904
"52","17","GCW","202304","WC","LysA","45cm","17","17_GCW_202304_WC_LysA_45cm",467.4926,8337.7609,14.5818028696195,235.197768688293,15.0663599463
"53","18","GCW","202304","WC","LysB","10cm","18","18_GCW_202304_WC_LysB_10cm",716.6762,6894.7553,22.3542170929507,194.492392101551,12.4588488271
"54","19","GCW","202304","WC","LysB","20cm","19","19_GCW_202304_WC_LysB_20cm",676.0206,6859.3584,21.0861072988147,193.493889985896,12.3948866288
"55","2","GCW","202304","UP","LysB","10cm","2","2_GCW_202304_UP_LysB_10cm",12.3025,0,0.383733624454148,0,2.6e-05
"56","20","GCW","202304","WC","LysB","45cm","20","20_GCW_202304_WC_LysB_45cm",440.9736,7417.9642,13.7546350592639,209.251458392102,13.4042873094
"57","21","GCW","202304","WC","LysC","10cm","21","21_GCW_202304_WC_LysC_10cm",819.6518,7487.4238,25.5661821584529,211.21082651622,13.5298008066
"58","22","GCW","202304","WC","LysC","20cm","22","22_GCW_202304_WC_LysC_20cm",879.3778,7806.7506,27.4291266375546,220.218634696756,14.1068243342
"59","23","GCW","202304","WC","LysC","45cm","23","23_GCW_202304_WC_LysC_45cm",848.2726,8642.368,26.4589082969432,243.790352609309,15.616784976
"60","24","GCW","202304","SW","A","24","GCW","24_GCW_202304_SW_A",898.2051,7714.6715,28.0163786650031,217.62119887165,13.9404374005
"61","25","GCW","202304","SW","B","25","GCW","25_GCW_202304_SW_B",914.3108,7716.746,28.5187398627573,217.679717912553,13.944186022
"62","26","GCW","202304","SW","C","26","GCW","26_GCW_202304_SW_C",923.4885,7755.6354,28.8050062383032,218.776739069111,14.0144591678
"63","27","MSM","202304","UP","LysA","45cm","27","27_MSM_202304_UP_LysA_45cm",292.032,3709.1606,9.10892077354959,104.630764456982,6.7024792042
"64","28","MSM","202304","UP","LysB","10cm","28","28_MSM_202304_UP_LysB_10cm",53.4623,724.8933,1.66757018091079,20.4483300423131,1.3099081931
"65","29","MSM","202304","UP","LysB","20cm","29","29_MSM_202304_UP_LysB_20cm",66.2282,903.5627,2.06575795383656,25.4883695345557,1.6327637989
"66","3","GCW","202304","UP","LysB","20cm","3","3_GCW_202304_UP_LysB_20cm",9.8512,0,0.307273861509669,0,2.6e-05
"67","30","MSM","202304","UP","LysB","45cm","30","30_MSM_202304_UP_LysB_45cm",222.6503,2656.9852,6.94480037429819,74.9502172073343,4.8011982564
"68","31","MSM","202304","UP","LysC","10cm","31","31_MSM_202304_UP_LysC_10cm",103.6061,1129.6121,3.23163131628197,31.8649393511989,2.0412350647
"69","32","MSM","202304","UP","LysA","20cm","32","32_MSM_202304_UP_LysA_20cm",213.5946,2409.7962,6.66233936369308,67.9773258110014,4.3545277334
"70","33","MSM","202304","UP","LysC","20cm","33","33_MSM_202304_UP_LysC_20cm",179.8703,1984.2002,5.61042732376793,55.9717968970381,3.5854757614
"71","34","MSM","202304","TR","LysA","10cm","34","34_MSM_202304_TR_LysA_10cm",537.0337,4665.5802,16.7508951965065,131.610160789845,8.4307294214
"72","35","MSM","202304","TR","LysA","20cm","35","35_MSM_202304_TR_LysA_20cm",641.1689,5097.133,19.9990299438553,143.783723554302,9.210545331
"73","36","MSM","202304","TR","LysA","45cm","36","36_MSM_202304_TR_LysA_45cm",726.517,6015.0163,22.6611665626949,169.676059238364,10.8691604541
"74","37","MSM","202304","TR","LysB","10cm","37","37_MSM_202304_TR_LysB_10cm",561.2596,5011.7803,17.5065377417342,141.376031029619,9.0563130021
"75","38","MSM","202304","TR","LysB","20cm","38","38_MSM_202304_TR_LysB_20cm",495.4686,5167.2731,15.4544167186525,145.762287729196,9.3372884917
"76","39","MSM","202304","TR","LysB","45cm","39","39_MSM_202304_TR_LysB_45cm",508.6113,5790.1846,15.8643574547723,163.333839210155,10.4628895722
"77","4","GCW","202304","UP","LysC","10cm","4","4_GCW_202304_UP_LysC_10cm",6.8551,0,0.21382096069869,0,2.6e-05
"78","40","MSM","202304","TR","LysC","10cm","40","40_MSM_202304_TR_LysC_10cm",579.3436,5440.5188,18.0706051154086,153.470205923836,9.8310434716
"79","41","MSM","202304","TR","LysC","20cm","41","41_MSM_202304_TR_LysC_20cm",468.4367,5252.3757,14.6112507797879,148.162925246826,9.4910688899
"80","42","MSM","202304","TR","LysC","45cm","42","42_MSM_202304_TR_LysC_45cm",739.1251,6354.9549,23.0544323144105,179.265300423131,11.4834295043
"81","43","MSM","202304","WC","LysA","10cm","43","43_MSM_202304_WC_LysA_10cm",1521.8959,12882.3394,47.4702401746725,363.394623413258,23.2784132958
"82","44","MSM","202304","WC","LysA","20cm","44","44_MSM_202304_WC_LysA_20cm",1448.9153,12668.0913,45.193864628821,357.350953455571,22.8912669791
"83","45","MSM","202304","WC","LysA","45cm","45","45_MSM_202304_WC_LysA_45cm",194.9079,11814.517,6.07947286338116,333.27269393512,21.348858219
"84","46","MSM","202304","WC","LysB","10cm","46","46_MSM_202304_WC_LysB_10cm",1373.8016,11902.4883,42.8509544603868,335.754253878702,21.5078223581
"85","47","MSM","202304","WC","LysB","20cm","47","47_MSM_202304_WC_LysB_20cm",1224.0856,11387.0133,38.1810854647536,321.213351198872,20.5763590331
"86","48","MSM","202304","WC","LysB","45cm","48","48_MSM_202304_WC_LysB_45cm",276.8845,11859.1742,8.63644728633812,334.532417489422,21.4295537794
"87","49","MSM","202304","WC","LysC","10cm","49","49_MSM_202304_WC_LysC_10cm",1314.9284,11340.3433,41.0146101060512,319.896849083216,20.4920263431
"88","5","GCW","202304","UP","LysC","20cm","5","5_GCW_202304_UP_LysC_20cm",5.9284,0,0.184915782907049,0,2.6e-05
"89","50","MSM","202304","WC","LysC","20cm","50","50_MSM_202304_WC_LysC_20cm",1044.9479,10714.5931,32.5935090455396,302.245221438646,19.3612957317
"90","51","MSM","202304","WC","LysC","45cm","51","51_MSM_202304_WC_LysC_45cm",153.484,10612.6841,4.7873986275733,299.370496473907,19.1771461687
"91","52","MSM","202304","SW","A","52","MSM","52_MSM_202304_SW_A",1521.3339,12617.5151,47.4527105427324,355.924262341326,22.7998757857
"92","53","MSM","202304","SW","B","53","MSM","53_MSM_202304_SW_B",1518.8697,12539.0912,47.3758484092327,353.712022566996,22.6581637984
"93","54","MSM","202304","SW","C","54","MSM","54_MSM_202304_SW_C",1560.1883,12897.8306,48.6646381784155,363.831610719323,23.3064058942
"94","56","GWI","202304","TR","LysC","45cm","56","56_GWI_202304_TR_LysC_45cm",1665.617,14243.4464,51.9531191515908,401.789743300423,25.7379336448
"95","57","GWI","202304","WC","LysC","20cm","57","57_GWI_202304_WC_LysC_20cm",2556.713,20448.131,79.7477542108547,576.81610719323,36.949798717
"96","58","GWI","202304","WC","LysC","10cm","58","58_GWI_202304_WC_LysC_10cm",1606.9662,14233.5779,50.123711790393,401.511365303244,25.7201012653
"97","59","GWI","202304","WC","LysB","45cm","59","59_GWI_202304_WC_LysB_45cm",2368.0439,21806.253,73.8628789769183,615.127023977433,39.403925171
"98","6","GCW","202304","UP","LysC","45cm","6","6_GCW_202304_UP_LysC_45cm",13.7793,80.6304,0.4297972551466,2.27448236953456,0.1457251328
"99","60","GWI","202304","WC","LysB","20cm","60","60_GWI_202304_WC_LysB_20cm",2050.6464,17258.5113,63.9627698066126,486.840939351199,31.1861559191
"100","61","GWI","202304","WC","LysB","10cm","61","61_GWI_202304_WC_LysB_10cm",1441.7346,13453.7536,44.9698877105427,379.513500705219,24.3109587552
"101","62","GWI","202304","WC","LysA","45cm","62","62_GWI_202304_WC_LysA_45cm",1716.8033,16365.9362,53.5496974422957,461.662516220028,29.5732727134
"102","63","GWI","202304","WC","LysA","20cm","63","63_GWI_202304_WC_LysA_20cm",2028.1896,16731.9768,63.2623081721772,471.988062059238,30.2347080776
"103","64","GWI","202304","WC","LysA","10cm","64","64_GWI_202304_WC_LysA_10cm",1173.9844,11690.645,36.6183530879601,329.778420310296,21.125021515
"104","65","GWI","202304","TR","LysC","20cm","65","65_GWI_202304_TR_LysC_20cm",908.8907,9087.9279,28.3496787273861,256.359038081805,16.4219117153
"105","66","GWI","202304","TR","LysC","10cm","66","66_GWI_202304_TR_LysC_10cm",895.1388,8180.4926,27.9207361197754,230.761427362482,14.7821761282
"106","67","GWI","202304","TR","LysB","45cm","67","67_GWI_202304_TR_LysB_45cm",1508.4209,13559.5424,47.0499344978166,382.497669957687,24.5021191168
"107","68","GWI","202304","TR","LysB","20cm","68","68_GWI_202304_TR_LysB_20cm",712.7612,9936.2575,22.2321023081722,280.289351198872,17.9548433025
"108","69","GWI","202304","TR","LysB","10cm","69","69_GWI_202304_TR_LysB_10cm",956.7408,8295.9188,29.8421958827199,234.017455571227,14.9907512716
"109","7","GCW","202304","TR","LysA","20cm","7","7_GCW_202304_TR_LysA_20cm",12.3175,79.1702,0.384201497192764,2.23329196050776,0.1430865514
"110","70","GWI","202304","TR","LysA","45cm","70","70_GWI_202304_TR_LysA_45cm",1069.8696,13014.96,33.3708546475359,367.135684062059,23.51805872
"111","71","GWI","202304","TR","LysA","20cm","71","71_GWI_202304_TR_LysA_20cm",1227.6656,11915.6181,38.2927510917031,336.124629055007,21.5315479067
"112","72","GWI","202304","TR","LysA","10cm","72","72_GWI_202304_TR_LysA_10cm",917.7231,8249.6694,28.6251746724891,232.712818053597,14.9071786058
"113","73","GWI","202304","UP","LysC","45cm","73","73_GWI_202304_UP_LysC_45cm",1042.9228,9361.3845,32.530343106675,264.072905500705,16.9160477915
"114","74","GWI","202304","UP","LysC","20cm","74","74_GWI_202304_UP_LysC_20cm",808.7482,7213.3618,25.226082345602,203.479881523272,13.0345707726
"115","75","GWI","202304","UP","LysC","10cm","75","75_GWI_202304_UP_LysC_10cm",739.8528,7975.024,23.0771303805365,224.965416078984,14.410894368
"116","76","GWI","202304","UP","LysB","45cm","76","76_GWI_202304_UP_LysB_45cm",333.6946,5899.5953,10.4084404242046,166.420177715092,10.6605947071
"117","77","GWI","202304","UP","LysB","20cm","77","77_GWI_202304_UP_LysB_20cm",486.7507,4684.2454,15.182492202121,132.136682651622,8.4644574378
"118","78","GWI","202304","UP","LysB","10cm","78","78_GWI_202304_UP_LysB_10cm",386.0871,3655.9504,12.0426419213974,103.129771509168,6.6063283728
"119","79","GWI","202304","UP","LysA","45cm","79","79_GWI_202304_UP_LysA_45cm",853.1523,7929.1749,26.6111135371179,223.672070521862,14.3280450443
"120","8","GCW","202304","TR","LysA","45cm","8","8_GCW_202304_TR_LysA_45cm",28.1976,78.1492,0.879525888958203,2.20449083215797,0.1412416044
"121","80","GWI","202304","UP","LysA","20cm","80","80_GWI_202304_UP_LysA_20cm",790.9509,6770.702,24.6709575795384,190.993004231312,12.234684514
"122","81","GWI","202304","SW","B","81","GWI","81_GWI_202304_SW_B",2235.8118,19106.6499,69.7383593262633,538.974609308886,34.5257423693
"123","82","GWI","202304","SW","A","82","GWI","82_GWI_202304_SW_A",2230.0383,19018.8101,69.5582751091703,536.496758815233,34.3670158507
"124","83","GWI","202304","SW","C","83","GWI","83_GWI_202304_SW_C",2292.5121,19356.5144,71.5069276356831,546.022973201692,34.9772475208
"125","84","GWI","202304","UP","LysA","10cm","84","84_GWI_202304_UP_LysA_10cm",0,0,0,0,2.6e-05
"126","85","MSM","202304","PPR","UP","1","85","85_MSM_202304_PPR_UP_1",65.1992,1896.6743,2.03366188396756,53.5028011283498,3.4273164601
"127","86","MSM","202304","PPR","UP","2","86","86_MSM_202304_PPR_UP_2",69.4329,981.2909,2.16571740486588,27.6809844851904,1.7732186563
"128","87","MSM","202304","PPR","UP","3","87","87_MSM_202304_PPR_UP_3",107.1467,1580.5047,3.34206799750468,44.5840535966149,2.8559979929
"129","88","MSM","202304","PPR","UP","4","88","88_MSM_202304_PPR_UP_4",115.7515,1681.3881,3.61046475358702,47.4298476727786,3.0382942967
"130","89","MSM","202304","PPR","UP","5","89","89_MSM_202304_PPR_UP_5",130.7546,1773.5946,4.07843418590144,50.0308772919605,3.2049114422
"131","89","MSM","202304","PPR","UP","5","rerun","89_MSM_202304_PPR_UP_5_rerun",126.399,1782.3633,3.94257641921397,50.2782313117066,3.2207564831
"132","9","GCW","202304","TR","LysB","10cm","9","9_GCW_202304_TR_LysB_10cm",32.3604,77.7315,1.00936993137866,2.19270803949224,0.1404868205
"133","90","MSM","202304","PPR","UP","6","90","90_MSM_202304_PPR_UP_6",174.0613,2343.6638,5.42923580786026,66.1118138222849,4.2350264866
"134","91","MSM","202304","PPR","UP","7","91","91_MSM_202304_PPR_UP_7",193.951,2674.8578,6.04962570180911,75.4543808180536,4.8334940446
"135","92","MSM","202304","PPR","UP","8","92","92_MSM_202304_PPR_UP_8",204.8717,3145.7186,6.39025888958203,88.7367729196051,5.6843395102
"136","93","MSM","202304","PPR","UP","9","93","93_MSM_202304_PPR_UP_9",216.7288,3654.781,6.7600998128509,103.096784203103,6.604215267
"137","94","MSM","202304","PPR","UP","10","94","94_MSM_202304_PPR_UP_10",235.9954,4147.9582,7.36105427323768,117.00869393512,7.4953864674
"138","95","MSM","202304","PPR","UP","11","95","95_MSM_202304_PPR_UP_11",260.5231,4336.5769,8.12611041796631,122.329390691114,7.8362204583
"139","96","MSM","202304","PPR","UP","12","96","96_MSM_202304_PPR_UP_12",258.1895,4282.0554,8.05332189644417,120.791407616361,7.7377001078
"140","97","MSM","202304","PPR","TR","1","97","97_MSM_202304_PPR_TR_1",41.4142,474.5927,1.29177167810356,13.3876643159379,0.8576150089
"141","98","MSM","202304","PPR","TR","2","98","98_MSM_202304_PPR_TR_2",90.0462,1142.8126,2.80867747972551,32.2373088857546,2.0650883682
"142","99","MSM","202304","PPR","TR","3","99","99_MSM_202304_PPR_TR_3",387.2873,3889.9243,12.0800779787898,109.729881523272,7.0291192101
