"","Analysis_No","Site","Date","Zone","Replicate","Depth","NA","NA","Sample_ID","SO4_ppm","Cl_ppm","SO4_mM","Cl_mM","salinity"
"13","11","GCW","202307","TR","LysC","45cm","11","GCW","11_GCW_202307_TR_LysC_45cm",20.0613,4.7001,0.625742358078603,0.132583921015515,0.0085190807
"14","110","SWH","202307","WC","LysB","20cm","110","SWH","110_SWH_202307_WC_LysB_20cm",0.5574,923.2323,0.017386150966937,26.0432242595204,1.6683067661
"15","111","SWH","202307","WC","LysB","45cm","111","SWH","111_SWH_202307_WC_LysB_45cm",1.4819,601.9171,0.0462227074235808,16.9793258110014,1.0876901997
"16","112","SWH","202307","WC","LysC","10cm","112","SWH","112_SWH_202307_WC_LysC_10cm",0.9262,977.3282,0.0288895820336868,27.5692016925247,1.7660580574
"17","113","SWH","202307","WC","LysC","20cm","113","SWH","113_SWH_202307_WC_LysC_20cm",0,831.7407,0,23.4623610719323,1.5029814449
"18","114","SWH","202307","WC","LysC","45cm","114","SWH","114_SWH_202307_WC_LysC_45cm",0,743.573,0,20.9752609308886,1.343662411
"19","115","SWH","202307","SW","A","115","SWH","202307","115_SWH_202307_SW_A",85.8469,714.6382,2.67769494697442,20.1590465444288,1.2913772274
"20","116","SWH","202307","SW","B","116","SWH","202307","116_SWH_202307_SW_B",86.9593,720.9228,2.71239238927012,20.3363272214386,1.3027334996
"21","117","SWH","202307","SW","C","117","SWH","202307","117_SWH_202307_SW_C",88.3412,729.5476,2.75549594510293,20.5796220028209,1.3183185132
"22","118","MSM","202307","TR","RHZ","SF","Tree","1","118_MSM_202307_TR_RHZ_SF_Tree_1",933.803,8433.3302,29.1267311291329,237.893658674189,15.2390536714
"23","119","MSM","202307","TR","RHZ","SF","Tree","2","119_MSM_202307_TR_RHZ_SF_Tree_2",853.0672,7792.7538,26.6084591391142,219.823802538787,14.0815321166
"24","12","GCW","202307","WC","LysA","10cm","12","GCW","12_GCW_202307_WC_LysA_10cm",444.4554,5599.8937,13.8632376793512,157.965971791255,10.1190339159
"25","120","MSM","202307","TR","RHZ","SF","Tree","3","120_MSM_202307_TR_RHZ_SF_Tree_3",871.2304,7708.1261,27.1749968808484,217.43656135402,13.9286098627
"26","121","MSM","202307","TR","RHZ","SF","Tree","4","121_MSM_202307_TR_RHZ_SF_Tree_4",1230.7105,9574.1069,38.3877261384903,270.073537376587,17.3004371683
"27","122","MSM","202307","TR","RHZ","SF","Tree","5","122_MSM_202307_TR_RHZ_SF_Tree_5",837.1423,7705.0136,26.1117373674361,217.348761636107,13.9229855752
"28","123","MSM","202307","TR","RHZ","SF","Tree","6","123_MSM_202307_TR_RHZ_SF_Tree_6",954.8227,8317.8978,29.7823674360574,234.637455571227,15.0304673246
"29","124","MSM","202307","TR","RHZ","SF","Tree","7","124_MSM_202307_TR_RHZ_SF_Tree_7",907.1885,8171.1816,28.2965845290081,230.49877574048,14.7653511512
"30","125","MSM","202307","TR","RHZ","SF","Tree","8","125_MSM_202307_TR_RHZ_SF_Tree_8",850.5542,8561.4471,26.5300748596382,241.507675599436,15.4705609097
"31","126","MSM","202307","WC","RHZ","LysA","126","MSM","126_MSM_202307_WC_RHZ_LysA",1138.5206,9314.9892,35.5121834061135,262.764152327221,16.8322114844
"32","127","MSM","202307","WC","RHZ","LysB","127","MSM","127_MSM_202307_WC_RHZ_LysB",731.5138,8825.3129,22.8170243293824,248.950998589563,15.9473664103
"33","128","MSM","202307","WC","RHZ","LysC","128","MSM","128_MSM_202307_WC_RHZ_LysC",667.1848,8704.1507,20.8105053025577,245.533165021157,15.7284263149
"34","129","MSM","202307","WC","RHZ","Collar","1","129","129_MSM_202307_WC_RHZ_Collar_1",1107.9075,9392.3263,34.5573144104803,264.9457348378,16.9719596241
"35","13","GCW","202307","WC","LysA","20cm","13","GCW","13_GCW_202307_WC_LysA_20cm",408.8772,5166.5243,12.7534996880848,145.741165021157,9.3359354101
"36","130","MSM","202307","WC","RHZ","Collar","2","130","130_MSM_202307_WC_RHZ_Collar_2",848.7217,8630.1204,26.4729164067374,243.444863187588,15.5946535628
"37","131","MSM","202307","WC","RHZ","Collar","3","131","131_MSM_202307_WC_RHZ_Collar_3",951.2624,9260.8436,29.6713162819713,261.236772919605,16.7343703852
"38","132","MSM","202307","WC","RHZ","Collar","4","132","132_MSM_202307_WC_RHZ_Collar_4",769.4056,8922.4079,23.9989270118528,251.689926657264,16.1228170753
"39","133","MSM","202307","WC","RHZ","Collar","5","133","133_MSM_202307_WC_RHZ_Collar_5",1002.4324,8725.2556,31.2673861509669,246.128507757405,15.7665628692
"40","14","GCW","202307","WC","LysA","45cm","14","GCW","14_GCW_202307_WC_LysA_45cm",273.6038,5203.021,8.53411728009981,146.770691114245,9.401884947
"41","15","GCW","202307","WC","LysB","10cm","15","GCW","15_GCW_202307_WC_LysB_10cm",336.2202,5022.2283,10.487217716781,141.670755994358,9.0751925381
"42","16","GCW","202307","WC","LysB","20cm","16","GCW","16_GCW_202307_WC_LysB_20cm",355.1234,4711.7524,11.076837180287,132.912620592384,8.5141625868
"43","17","GCW","202307","WC","LysC","10cm","17","GCW","17_GCW_202307_WC_LysC_10cm",485.2825,6280.7542,15.1366968184654,177.172191819464,11.3493488394
"44","18","GCW","202307","WC","LysB","45cm","18","GCW","18_GCW_202307_WC_LysB_45cm",302.9565,4733.9492,9.44967248908297,133.538764456982,8.5542722044
"45","19","GCW","202307","WC","LysC","20cm","19","GCW","19_GCW_202307_WC_LysC_20cm",573.0091,5600.293,17.8730224578915,157.977235543018,10.119755451
"46","2","GCW","202307","UP","LysB","10cm","2","GCW","2_GCW_202307_UP_LysB_10cm",11.7348,0.5334,0.366026200873362,0.0150465444287729,0.0009898538
"47","20","GCW","202307","WC","LysC","45cm","20","GCW","20_GCW_202307_WC_LysC_45cm",513.9643,5010.2501,16.0313256394261,141.332866008463,9.0535479307
"48","21","GCW","202307","SW","A","21","GCW","202307","21_GCW_202307_SW_A",620.4881,4653.4305,19.3539644416719,131.267433004231,8.4087749135
"49","22","GCW","202307","SW","B","22","GCW","202307","22_GCW_202307_SW_B",613.9951,4614.727,19.1514379288833,130.175655853315,8.338837689
"50","23","GCW","202307","SW","C","23","GCW","202307","23_GCW_202307_SW_C",616.93,4641.0413,19.2429819089208,130.91794922426,8.3863876291
"51","24","MSM","202307","UP","LysA","45cm","24","MSM","24_MSM_202307_UP_LysA_45cm",128.0668,2204.6211,3.99459762944479,62.1895937940762,3.9837763277
"52","25","MSM","202307","UP","LysB","10cm","25","MSM","25_MSM_202307_UP_LysB_10cm",57.9909,492.1021,1.80882407985028,13.8815825105783,0.8892544947
"53","26","MSM","202307","UP","LysB","45cm","26","MSM","26_MSM_202307_UP_LysB_45cm",140.805,1436.2257,4.39192139737991,40.5141241184767,2.5952858399
"54","27","MSM","202307","UP","LysC","10cm","27","MSM","27_MSM_202307_UP_LysC_10cm",94.5152,841.9324,2.94807236431691,23.749856135402,1.5213978468
"55","28","MSM","202307","UP","LysC","20cm","28","MSM","28_MSM_202307_UP_LysC_20cm",124.2031,1196.7131,3.87408296943231,33.7577743300423,2.1624865717
"56","29","MSM","202307","UP","LysC","45cm","29","MSM","29_MSM_202307_UP_LysC_45cm",170.1827,1911.9427,5.30825639426076,53.9335035260931,3.4549064589
"57","3","GCW","202307","UP","LysB","20cm","3","GCW","3_GCW_202307_UP_LysB_20cm",8.9804,0.2149,0.280112289457268,0.00606205923836389,0.0004143243
"58","30","MSM","202307","TR","LysA","10cm","30","MSM","30_MSM_202307_TR_LysA_10cm",822.3254,7165.7425,25.6495757953837,202.136600846262,12.9485226975
"59","31","MSM","202307","TR","LysA","20cm","31","MSM","31_MSM_202307_TR_LysA_20cm",537.0032,4438.2738,16.7499438552714,125.1981325811,8.0199867566
"60","32","MSM","202307","TR","LysA","45cm","32","MSM","32_MSM_202307_TR_LysA_45cm",477.5338,3710.2537,14.8950031191516,104.661599435825,6.7044544359
"61","33","MSM","202307","TR","LysB","10cm","33","MSM","33_MSM_202307_TR_LysB_10cm",837.6044,7678.4516,26.126150966937,216.599480959097,13.8749880412
"62","34","MSM","202307","TR","LysB","20cm","34","MSM","34_MSM_202307_TR_LysB_20cm",493.7298,5537.9056,15.4001809107923,156.217365303244,10.0070214192
"63","35","MSM","202307","TR","LysB","45cm","35","MSM","35_MSM_202307_TR_LysB_45cm",492.8967,4249.1106,15.3741952588896,119.862076163611,7.6781688542
"64","36","MSM","202307","TR","LysC","10cm","36","MSM","36_MSM_202307_TR_LysC_10cm",776.5446,7197.2888,24.2216032439177,203.026482369535,13.0055268616
"65","37","MSM","202307","TR","LysC","20cm","37","MSM","37_MSM_202307_TR_LysC_20cm",368.389,4824.7179,11.4906113537118,136.099235543018,8.7182912453
"66","38","MSM","202307","TR","LysC","45cm","38","MSM","38_MSM_202307_TR_LysC_45cm",327.1966,3958.2935,10.2057579538366,111.658490832158,7.1526623545
"67","39","MSM","202307","WC","LysA","10cm","39","MSM","39_MSM_202307_WC_LysA_10cm",1063.2926,8852.7983,33.1657080474111,249.726327221439,15.9970325281
"68","4","GCW","202307","UP","LysC","20cm","4","GCW","4_GCW_202307_UP_LysC_20cm",5.653,0.1476,0.176325639426076,0.00416361071932299,0.0002927132
"69","40","MSM","202307","WC","LysA","20cm","40","MSM","40_MSM_202307_WC_LysA_20cm",967.6514,8406.7476,30.1825140361822,237.143796897038,15.1910189132
"70","41","MSM","202307","WC","LysA","45cm","41","MSM","41_MSM_202307_WC_LysA_45cm",74.3475,7910.6792,2.31901122894573,223.150330042313,14.2946233144
"71","42","MSM","202307","WC","LysB","10cm","42","MSM","42_MSM_202307_WC_LysB_10cm",620.7032,8868.6968,19.3606737367436,250.174803949224,16.0257611176
"72","43","MSM","202307","WC","LysB","20cm","43","MSM","43_MSM_202307_WC_LysB_20cm",706.9865,8426.7097,22.0519806612601,237.706902679831,15.2270904279
"73","44","MSM","202307","WC","LysB","45cm","44","MSM","44_MSM_202307_WC_LysB_45cm",162.6276,7977.7014,5.0726013724267,225.040942172073,14.4157324298
"74","45","MSM","202307","WC","LysC","10cm","45","MSM","45_MSM_202307_WC_LysC_10cm",688.9171,8350.8593,21.488368683718,235.567258110014,15.0900287551
"75","46","MSM","202037","WC","LysC","20cm","46","MSM","46_MSM_202037_WC_LysC_20cm",650.2437,7739.8836,20.2820867124142,218.332400564175,13.9859956652
"76","47","MSM","202307","WC","LysC","45cm","47","MSM","47_MSM_202307_WC_LysC_45cm",66.2836,7548.069,2.06748596381784,212.921551480959,13.639386683
"77","48","MSM","202307","SW","A","48","MSM","202307","48_MSM_202307_SW_A",1161.0182,8591.1575,36.213917654398,242.345768688293,15.5242476025
"78","49","MSM","202307","SW","B","49","MSM","202307","49_MSM_202307_SW_B",1152.6563,8538.0343,35.9530973175296,240.847229901269,15.4282539801
"79","5","GCW","202307","TR","LysA","20cm","5","GCW","5_GCW_202307_TR_LysA_20cm",8.8034,62.6102,0.274591391141609,1.76615514809591,0.1131626314
"80","50","MSM","202307","SW","C","50","MSM","202307","50_MSM_202307_SW_C",720.7318,5305.9974,22.4807174048659,149.675526093089,9.5879633018
"81","51","GWI","202307","UP","LysA","10cm","51","GWI","51_GWI_202307_UP_LysA_10cm",453.396,3165.553,14.1421085464754,89.2962764456982,5.720180271
"82","52","GWI","202307","UP","LysA","20cm","52","GWI","52_GWI_202307_UP_LysA_20cm",606.416,4280.9278,18.9150343106675,120.759599435825,7.7356625346
"83","53","GWI","202307","UP","LysA","45cm","53","GWI","53_GWI_202307_UP_LysA_45cm",604.4219,4875.5539,18.852835308796,137.53325528914,8.8101518973
"84","54","GWI","202307","UP","LysB","10cm","54","GWI","54_GWI_202307_UP_LysB_10cm",170.0541,1265.7263,5.30424516531503,35.7045500705219,2.2871934241
"85","55","GWI","202307","UP","LysB","20cm","55","GWI","55_GWI_202307_UP_LysB_20cm",385.0371,2883.0102,12.0098908296943,81.3260987306065,5.2096254314
"86","56","GWI","202307","UP","LysC","10cm","56","GWI","56_GWI_202307_UP_LysC_10cm",682.3363,4840.3851,21.2831035558328,136.541187588152,8.7466018757
"87","57","GWI","202307","UP","LysC","20cm","57","GWI","57_GWI_202307_UP_LysC_20cm",563.9504,4585.8661,17.5904678727386,129.361526093089,8.2866860427
"88","58","GWI","202307","UP","LysC","45cm","58","GWI","58_GWI_202307_UP_LysC_45cm",627.6117,4700.6201,19.5761603243918,132.598592383639,8.4940465207
"89","59","GWI","202307","TR","LysA","10cm","59","GWI","59_GWI_202307_TR_LysA_10cm",753.0785,8324.2697,23.4896600124766,234.81719887165,15.0419813479
"90","6","GCW","202307","TR","LysA","45cm","6","GCW","6_GCW_202307_TR_LysA_45cm",18.6434,4.8013,0.581515907673113,0.135438645980254,0.0087019491
"91","60","GWI","202307","TR","LysA","20cm","60","GWI","60_GWI_202307_TR_LysA_20cm",830.2435,8667.9821,25.8965533374922,244.512894217207,15.6630696547
"92","61","GWI","202307","TR","LysA","45cm","61","GWI","61_GWI_202307_TR_LysA_45cm",771.5374,8474.4743,24.0654210854648,239.054282087447,15.3134010601
"93","62","GWI","202307","TR","LysB","10cm","62","GWI","62_GWI_202307_TR_LysB_10cm",861.392,6751.7466,26.8681222707424,190.458296191819,12.2004321062
"94","63","GWI","202307","TR","LysB","20cm","63","GWI","63_GWI_202307_TR_LysB_20cm",359.7055,7629.7358,11.2197598253275,215.225269393512,13.7869585906
"95","64","GWI","202307","TR","LysB","45cm","64","GWI","64_GWI_202307_TR_LysB_45cm",935.8254,7640.9459,29.1898128509045,215.541492242595,13.8072152413
"96","65","GWI","202307","TR","LysC","10cm","65","GWI","65_GWI_202307_TR_LysC_10cm",542.0541,4812.0547,16.9074890829694,135.742022566996,8.6954088429
"97","66","GWI","202307","TR","LysC","20cm","66","GWI","66_GWI_202307_TR_LysC_20cm",879.656,8002.9607,27.4378041172801,225.753475317348,14.4613759849
"98","67","GWI","202307","TR","LysC","45cm","67","GWI","67_GWI_202307_TR_LysC_45cm",1050.3611,8192.4573,32.762354959451,231.098936530324,14.8037963411
"99","68","GWI","202307","WC","LysA","10cm","68","GWI","68_GWI_202307_WC_LysA_10cm",686.7787,9522.7318,21.4216687461011,268.624310296192,17.2076023626
"100","69","GWI","202307","WC","LysA","20cm","69","GWI","69_GWI_202307_WC_LysA_20cm",1081.0056,10415.003,33.7182033686837,293.794160789845,18.819936421
"101","7","GCW","202307","TR","LysB","10cm","7","GCW","7_GCW_202307_TR_LysB_10cm",16.6885,117.9954,0.520539613225203,3.32850211565585,0.2132436878
"102","70","GWI","202307","WC","LysA","45cm","70","GWI","70_GWI_202307_WC_LysA_45cm",1199.5768,10087.3029,37.4166188396756,284.550152327221,18.2277823403
"103","71","GWI","202307","WC","LysB","10cm","71","GWI","71_GWI_202307_WC_LysB_10cm",918.5799,11741.9481,28.6518995633188,331.225616361072,21.2177262167
"104","72","GWI","202307","WC","LysB","20cm","72","GWI","72_GWI_202307_WC_LysB_20cm",1025.3364,10700.0701,31.9817966313163,301.83554583921,19.3350526707
"105","73","GWI","202307","WC","LysB","45cm","73","GWI","73_GWI_202307_WC_LysB_45cm",1361.1263,10878.9015,42.4555926388022,306.880155148096,19.6582010105
"106","74","GWI","202307","WC","LysC","10cm","74","GWI","74_GWI_202307_WC_LysC_10cm",752.8586,10631.5287,23.4828009981285,299.902078984485,19.2111983609
"107","75","GWI","202307","WC","LysC","20cm","75","GWI","75_GWI_202307_WC_LysC_20cm",1194.9463,11309.7015,37.2721865252651,319.032482369535,20.4366566105
"108","76","GWI","202307","SW","A","76","GWI","202307","76_GWI_202307_SW_A",1538.5654,11244.9442,47.9901871490954,317.20576022567,20.3196401694
"109","77","GWI","202307","SW","B","77","GWI","202307","77_GWI_202307_SW_B",1560.1897,11383.4088,48.6646818465377,321.111672778561,20.5698457016
"110","78","GWI","202307","SW","C","78","GWI","202307","78_GWI_202307_SW_C",1580.7081,11540.0307,49.3046818465377,325.529779971791,20.8528614749
"111","79","SWH","202307","UP","LysA","10cm","79","SWH","79_SWH_202307_UP_LysA_10cm",5.9208,197.6871,0.184678727386151,5.57650493653032,0.3572465897
"112","8","GCW","202307","TR","LysB","45cm","8","GCW","8_GCW_202307_TR_LysB_45cm",13.1347,124.921,0.409691203992514,3.52386459802539,0.225758247
"113","80","SWH","202307","UP","LysA","20cm","80","SWH","80_SWH_202307_UP_LysA_20cm",5.9103,171.2173,0.18435121646912,4.82982510578279,0.3094156611
"114","81","SWH","202307","UP","LysA","45cm","81","SWH","81_SWH_202307_UP_LysA_45cm",4.6692,133.5238,0.145639426076107,3.76653878702398,0.2413035066
"115","82","SWH","202307","UP","LysB","10cm","82","SWH","82_SWH_202307_UP_LysB_10cm",6.5429,193.2081,0.204082969432314,5.45015796897038,0.3491530367
"116","83","SWH","202307","UP","LysB","20cm","83","SWH","83_SWH_202307_UP_LysB_20cm",4.9446,154.5605,0.15422956955708,4.35995768688293,0.2793168235
"117","84","SWH","202307","UP","LysB","45cm","84","SWH","84_SWH_202307_UP_LysB_45cm",4.2958,116.6785,0.133992514036182,3.29135401974612,0.2108640495
"118","85","SWH","202307","UP","LysC","10cm","85","SWH","85_SWH_202307_UP_LysC_10cm",7.3106,70.5782,0.228028696194635,1.99092242595204,0.1275608074
"119","86","SWH","202307","UP","LysC","20cm","86","SWH","86_SWH_202307_UP_LysC_20cm",5.5109,76.5063,0.171893325015596,2.1581466854725,0.1382728841
"120","87","SWH","202307","UP","LysC","45cm","87","SWH","87_SWH_202307_UP_LysC_45cm",4.7828,111.9682,0.149182782283219,3.15848236953456,0.2023525374
"121","88","SWH","202307","UPCON","LysA","10cm","88","SWH","88_SWH_202307_UPCON_LysA_10cm",12.62,2.1453,0.393636930754835,0.0605162200282087,0.0039025571
"122","89","SWH","202307","UPCON","LysA","20cm","89","SWH","89_SWH_202307_UPCON_LysA_20cm",14.2377,3.0806,0.444095446038677,0.0868998589562764,0.0055926442
"123","9","GCW","202307","TR","LysC","10cm","9","GCW","9_GCW_202307_TR_LysC_10cm",23.3824,54.2112,0.729332501559576,1.52922990126939,0.0979856384
"124","90","SWH","202307","UPCON","LysA","45cm","90","SWH","90_SWH_202307_UPCON_LysA_45cm",13.5279,4.0092,0.421955708047411,0.113094499294781,0.0072706244
"125","91","SWH","202307","UPCON","LysB","10cm","91","SWH","91_SWH_202307_UPCON_LysB_10cm",9.0624,4.9079,0.282669993761697,0.138445698166432,0.0088945753
"126","92","SWH","202307","UPCON","LysB","20cm","92","SWH","92_SWH_202307_UPCON_LysB_20cm",9.2652,8.6182,0.288995633187773,0.243108603667137,0.0155990874
"127","93","SWH","202307","UPCON","LysB","45cm","93","SWH","93_SWH_202307_UPCON_LysB_45cm",7.2504,8.3017,0.226150966936993,0.234180535966149,0.0150271719
"128","94","SWH","202307","UPCON","LysC","10cm","94","SWH","94_SWH_202307_UPCON_LysC_10cm",19.0342,78.4974,0.593705552089831,2.21431311706629,0.1418708018
"129","95","SWH","202307","UPCON","LysC","20cm","95","SWH","95_SWH_202307_UPCON_LysC_20cm",13.599,75.275,0.424173424828447,2.12341325811001,0.136047925
"130","96","SWH","202307","UPCON","LysC","45cm","96","SWH","96_SWH_202307_UPCON_LysC_45cm",4.9297,51.612,0.153764815970056,1.45590973201693,0.093288884
"131","97","SWH","202307","TR","LysA","10cm","97","SWH","97_SWH_202307_TR_LysA_10cm",6.8064,765.7474,0.212301933873986,21.6007729196051,1.3837315518
"132","98","SWH","202307","TR","LysA","20cm","98","SWH","98_SWH_202307_TR_LysA_20cm",0,675.831,0,19.0643441466855,1.221252617
"133","99","SWH","202307","TR","LysA","45cm","99","SWH","99_SWH_202307_TR_LysA_45cm",0,714.0097,0,20.141317348378,1.2902415279
