"Project","Region","Sample_ID","Year","Month","Day","Time","Time_Zone","Site","Zone","Replicate","Depth_cm","H2S_mean_uM","H2S_sd_uM","H2S_cv","H2S_Conc_flag","H2S_cv_flag","H2S_QAQC_flag","Analysis_rundate","Run_notes","Field_notes"
"COMPASS: Synoptic","CB","MSM_202206_TR_LYSC_20CM",2022,"6",6,NA,NA,"MSM","TR","C",20,39.7576,0.3184,0.8008,"Within Range","Within Range","Std curve r2 low",202206,"Plate2 std curve used.",NA
"COMPASS: Synoptic","CB","MSM_202206_TR_LYSC_45CM",2022,"6",6,NA,NA,"MSM","TR","C",45,0,0,0,"bdl","Within Range","Std curve r2 low",202206,"Plate2 std curve used.",NA
"COMPASS: Synoptic","CB","MSM_202206_UP_LYSA_10CM",2022,"6",6,NA,NA,"MSM","UP","A",10,0,0,0,"bdl","Within Range","Std curve r2 low",202206,"Plate2 std curve used.",NA
"COMPASS: Synoptic","CB","MSM_202206_UP_LYSA_20CM",2022,"6",6,NA,NA,"MSM","UP","A",20,0,0,0,"bdl","Within Range","Std curve r2 low",202206,"Plate2 std curve used.",NA
"COMPASS: Synoptic","CB","MSM_202206_UP_LYSA_45CM",2022,"6",6,NA,NA,"MSM","UP","A",45,120.4523,1.8194,1.5104,"adl","Within Range","Std curve r2 low",202206,"Plate2 std curve used.",NA
"COMPASS: Synoptic","CB","MSM_202206_UP_LYSB_10CM",2022,"6",6,NA,NA,"MSM","UP","B",10,0,0,0,"bdl","Within Range","Std curve r2 low",202206,"Plate2 std curve used.",NA
"COMPASS: Synoptic","CB","MSM_202206_UP_LYSB_20CM",2022,"6",6,NA,NA,"MSM","UP","B",20,0,0,0,"bdl","Within Range","Std curve r2 low",202206,"Plate2 std curve used.",NA
"COMPASS: Synoptic","CB","MSM_202206_UP_LYSB_45CM",2022,"6",6,NA,NA,"MSM","UP","B",45,153.8687,9.87,6.4146,"adl","Within Range","Std curve r2 low",202206,"Plate2 std curve used.",NA
"COMPASS: Synoptic","CB","MSM_202206_UP_LYSC_10CM",2022,"6",6,NA,NA,"MSM","UP","C",10,0,0,0,"bdl","Within Range","Std curve r2 low",202206,"Plate2 std curve used.",NA
"COMPASS: Synoptic","CB","MSM_202206_UP_LYSC_20CM",2022,"6",6,NA,NA,"MSM","UP","C",20,0,0,0,"bdl","Within Range","Std curve r2 low",202206,"Plate2 std curve used.",NA
"COMPASS: Synoptic","CB","MSM_202206_UP_LYSC_45CM",2022,"6",6,NA,NA,"MSM","UP","C",45,0,0,0,"bdl","Within Range","Std curve r2 low",202206,"Plate2 std curve used.",NA
"COMPASS: Synoptic","CB","MSM_202206_WC_LYSA_10CM",2022,"6",6,NA,NA,"MSM","WC","A",10,0,0,0,"bdl","Within Range","Std curve r2 low",202206,"Plate2 std curve used.",NA
"COMPASS: Synoptic","CB","MSM_202206_WC_LYSA_20CM",2022,"6",6,NA,NA,"MSM","WC","A",20,0,0,0,"bdl","Within Range","Std curve r2 low",202206,"Plate2 std curve used.",NA
"COMPASS: Synoptic","CB","MSM_202206_WC_LYSA_45CM",NA,NA,NA,NA,NA,"MSM","WC","A",45,100.7048,2.5826,2.5645,"adl","Within Range","",202206,"Plate2 std curve used.",NA
"COMPASS: Synoptic","CB","MSM_202206_WC_LYSB_10CM",2022,"6",6,NA,NA,"MSM","WC","B",10,0,0,0,"bdl","Within Range","Std curve r2 low",202206,"Plate2 std curve used.",NA
"COMPASS: Synoptic","CB","MSM_202206_WC_LYSB_20CM",2022,"6",6,NA,NA,"MSM","WC","B",20,99.5791,2.6836,2.6949,"adl","Within Range","Std curve r2 low",202206,"Plate2 std curve used.",NA
"COMPASS: Synoptic","CB","MSM_202206_WC_LYSB_45CM",2022,"6",6,NA,NA,"MSM","WC","B",45,0,0,0,"bdl","Within Range","",202206,"Plate2 std curve used.",NA
"COMPASS: Synoptic","CB","MSM_202206_WC_LYSC_10CM",2022,"6",6,NA,NA,"MSM","WC","C",10,0,0,0,"bdl","Within Range","Std curve r2 low",202206,"Plate2 std curve used.",NA
"COMPASS: Synoptic","CB","MSM_202206_WC_LYSC_20CM",2022,"6",6,NA,NA,"MSM","WC","C",20,145.4422,10.8707,7.4742,"adl","Within Range","Std curve r2 low",202206,"Plate2 std curve used.",NA
"COMPASS: Synoptic","CB","MSM_202206_WC_LYSC_45CM",2022,"6",6,NA,NA,"MSM","WC","C",45,0,0,0,"bdl","Within Range","",202206,"Plate2 std curve used.",NA
"COMPASS: Synoptic","CB","GCW_202207_TR_LYSA_20CM",2022,"7",11,NA,NA,"GCW","TR","A",20,0,0,0,"bdl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GCW_202207_TR_LYSA_45CM",2022,"7",11,NA,NA,"GCW","TR","A",45,0,0,0,"bdl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GCW_202207_TR_LYSB_10CM",2022,"7",11,NA,NA,"GCW","TR","B",10,0,0,0,"bdl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GCW_202207_TR_LYSB_20CM",2022,"7",11,NA,NA,"GCW","TR","B",20,0,0,0,"bdl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GCW_202207_TR_LYSB_45CM",2022,"7",11,NA,NA,"GCW","TR","B",45,0,0,0,"bdl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GCW_202207_TR_LYSC_10CM",2022,"7",11,NA,NA,"GCW","TR","C",10,0,0,0,"bdl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GCW_202207_TR_LYSC_20CM",2022,"7",11,NA,NA,"GCW","TR","C",20,0,0,0,"bdl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GCW_202207_TR_LYSC_45CM",2022,"7",11,NA,NA,"GCW","TR","C",45,0,0,0,"bdl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GCW_202207_UP_LYSA_20CM",2022,"7",11,NA,NA,"GCW","UP","A",20,0,0,0,"bdl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GCW_202207_UP_LYSB_10CM",2022,"7",11,NA,NA,"GCW","UP","B",10,0,0,0,"bdl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GCW_202207_UP_LYSB_20CM",2022,"7",11,NA,NA,"GCW","UP","B",20,0,0,0,"bdl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GCW_202207_UP_LYSB_45CM",2022,"7",11,NA,NA,"GCW","UP","B",45,0,0,0,"bdl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GCW_202207_UP_LYSC_10CM",2022,"7",11,NA,NA,"GCW","UP","C",10,0,0,0,"bdl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GCW_202207_UP_LYSC_20CM",2022,"7",11,NA,NA,"GCW","UP","C",20,0,0,0,"bdl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GCW_202207_UP_LYSC_45CM",2022,"7",11,NA,NA,"GCW","UP","C",45,0,0,0,"bdl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GCW_202207_WC_LYSA_10CM",2022,"7",11,NA,NA,"GCW","WC","A",10,9172.9764,508.2522,5.5408,"adl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GCW_202207_WC_LYSA_20CM",2022,"7",11,NA,NA,"GCW","WC","A",20,8874.8441,380.5715,4.2882,"adl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GCW_202207_WC_LYSA_45CM",2022,"7",11,NA,NA,"GCW","WC","A",45,9084.0788,258.2567,2.843,"adl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GWI_202207_TR_LYSA_10CM",2022,"7",13,NA,NA,"GWI","TR","A",10,0,0,0,"bdl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GWI_202207_TR_LYSA_20CM",2022,"7",13,NA,NA,"GWI","TR","A",20,0,0,0,"bdl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GWI_202207_TR_LYSA_45CM",2022,"7",13,NA,NA,"GWI","TR","A",45,0,0,0,"bdl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GWI_202207_TR_LYSB_10CM",2022,"7",13,NA,NA,"GWI","TR","B",10,0,0,0,"bdl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GWI_202207_TR_LYSB_20CM",2022,"7",13,NA,NA,"GWI","TR","B",20,171.1873,4.8852,2.8537,"adl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GWI_202207_TR_LYSB_45CM",2022,"7",13,NA,NA,"GWI","TR","B",45,0,0,0,"bdl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GWI_202207_TR_LYSC_10CM",2022,"7",13,NA,NA,"GWI","TR","C",10,0,0,0,"bdl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GWI_202207_TR_LYSC_20CM",2022,"7",13,NA,NA,"GWI","TR","C",20,35.9112,2.1811,6.0736,"Within Range","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GWI_202207_TR_LYSC_45CM",2022,"7",13,NA,NA,"GWI","TR","C",45,0,0,0,"bdl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GWI_202207_UP_LYSA_10CM",2022,"7",13,NA,NA,"GWI","UP","A",10,0,0,0,"bdl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GWI_202207_UP_LYSA_20CM",2022,"7",13,NA,NA,"GWI","UP","A",20,0,0,0,"bdl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GWI_202207_UP_LYSA_45CM",2022,"7",13,NA,NA,"GWI","UP","A",45,0,0,0,"bdl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GWI_202207_UP_LYSB_10CM",2022,"7",13,NA,NA,"GWI","UP","B",10,0,0,0,"bdl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GWI_202207_UP_LYSB_20CM",2022,"7",13,NA,NA,"GWI","UP","B",20,0,0,0,"bdl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GWI_202207_UP_LYSB_45CM",2022,"7",13,NA,NA,"GWI","UP","B",45,0,0,0,"bdl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GWI_202207_UP_LYSC_10CM",2022,"7",13,NA,NA,"GWI","UP","C",10,0,0,0,"bdl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GWI_202207_UP_LYSC_20CM",2022,"7",13,NA,NA,"GWI","UP","C",20,0,0,0,"bdl","Within Range","",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","MSM_202207_UP_LYSA_20CM",2022,"7",14,NA,NA,"MSM","UP","A",20,0,0,0,"bdl","Within Range","Spk recovery out of range",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","MSM_202207_UP_LYSA_45CM",2022,"7",14,NA,NA,"MSM","UP","A",45,0,0,0,"bdl","Within Range","Spk recovery out of range",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","MSM_202207_UP_LYSB_10CM",2022,"7",14,NA,NA,"MSM","UP","B",10,0,0,0,"bdl","Within Range","Spk recovery out of range",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","MSM_202207_UP_LYSB_20CM",2022,"7",14,NA,NA,"MSM","UP","B",20,0,0,0,"bdl","Within Range","Spk recovery out of range",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","MSM_202207_UP_LYSC_10CM",2022,"7",14,NA,NA,"MSM","UP","C",10,0,0,0,"bdl","Within Range","Spk recovery out of range",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","MSM_202207_UP_LYSC_20CM",2022,"7",14,NA,NA,"MSM","UP","C",20,0,0,0,"bdl","Within Range","Spk recovery out of range",202207,"Plate2 std curve used. 
Some high CV, adl, and bdl samples. 
5/6 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GCW_202208_SW_A",2022,"8",15,NA,NA,"GCW","SW","A",0,0,0,0,"bdl","Within Range","Spk recovery out of range",202208,"Plate2 std curve used. 
Some adl samples. 
2/5 plates had bad MC 10 and 1/5 plates had bad MC 20. 
3/7 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GCW_202208_SW_B",2022,"8",15,NA,NA,"GCW","SW","B",0,0,0,0,"bdl","Within Range","Spk recovery out of range",202208,"Plate2 std curve used. 
Some adl samples. 
2/5 plates had bad MC 10 and 1/5 plates had bad MC 20. 
3/7 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GCW_202208_SW_C",2022,"8",15,NA,NA,"GCW","SW","C",0,0,0,0,"bdl","Within Range","Spk recovery out of range",202208,"Plate2 std curve used. 
Some adl samples. 
2/5 plates had bad MC 10 and 1/5 plates had bad MC 20. 
3/7 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GCW_202208_TR_LYSA_10CM",2022,"8",15,NA,NA,"GCW","TR","A",10,0,0,0,"bdl","Within Range","",202208,"Plate2 std curve used. 
Some adl samples. 
2/5 plates had bad MC 10 and 1/5 plates had bad MC 20. 
3/7 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GCW_202208_TR_LYSA_20CM",2022,"8",15,NA,NA,"GCW","TR","A",20,0,0,0,"bdl","Within Range","",202208,"Plate2 std curve used. 
Some adl samples. 
2/5 plates had bad MC 10 and 1/5 plates had bad MC 20. 
3/7 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GCW_202208_TR_LYSA_45CM",2022,"8",15,NA,NA,"GCW","TR","A",45,0,0,0,"bdl","Within Range","",202208,"Plate2 std curve used. 
Some adl samples. 
2/5 plates had bad MC 10 and 1/5 plates had bad MC 20. 
3/7 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GCW_202208_TR_LYSB_20CM",2022,"8",15,NA,NA,"GCW","TR","B",20,0,0,0,"bdl","Within Range","",202208,"Plate2 std curve used. 
Some adl samples. 
2/5 plates had bad MC 10 and 1/5 plates had bad MC 20. 
3/7 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
"COMPASS: Synoptic","CB","GCW_202208_TR_LYSB_45CM",2022,"8",15,NA,NA,"GCW","TR","B",45,0,0,0,"bdl","Within Range","",202208,"Plate2 std curve used. 
Some adl samples. 
2/5 plates had bad MC 10 and 1/5 plates had bad MC 20. 
3/7 spikes were bad. 
No dups. 
Some samples high CV, adl, bdl",NA
