[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	5/26/2026 9:15:29 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260512.2026_05_13_10_58_09.cal	1.00		5/21/2026 3:15:07 PM	1	3	NPOC	206.2	50.21	NPOC:50.49mg/L TN:1.609mg/L	0	50	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260512.2026_05_13_14_13_03.cal	1.00		5/21/2026 3:06:08 PM	1	1	TN	19.61	1.635	NPOC:50.49mg/L TN:1.609mg/L	0	50	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260512.2026_05_13_14_13_03.cal	1.00		5/21/2026 3:10:37 PM	1	2	TN	18.58	1.549	NPOC:50.49mg/L TN:1.609mg/L	0	50	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260512.2026_05_13_14_13_03.cal	1.00		5/21/2026 3:15:07 PM	1	3	TN	19.71	1.643	NPOC:50.49mg/L TN:1.609mg/L	0	50	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260512.2026_05_13_14_13_03.cal	1.00		5/21/2026 3:21:28 PM	1	4	TN	0.8794	0.06449	NPOC:50.49mg/L TN:1.609mg/L	1	50	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20260512.2026_05_13_14_13_03.cal	1.00		5/21/2026 3:25:29 PM	1	5	TN	0.6833	0.04805	NPOC:50.49mg/L TN:1.609mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260512.2026_05_13_10_58_09.cal	1.00		5/21/2026 3:34:04 PM	1	1	NPOC	2.194	0.2083	NPOC:-0.04410mg/L TN:0.05648mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260512.2026_05_13_10_58_09.cal	1.00		5/21/2026 3:39:25 PM	1	2	NPOC	1.243	-0.02478	NPOC:-0.04410mg/L TN:0.05648mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260512.2026_05_13_10_58_09.cal	1.00		5/21/2026 3:43:14 PM	1	3	NPOC	0.9875	-0.08739	NPOC:-0.04410mg/L TN:0.05648mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_NPOC100_20260512.2026_05_13_10_58_09.cal	1.00		5/21/2026 3:47:16 PM	1	4	NPOC	1.262	-0.02012	NPOC:-0.04410mg/L TN:0.05648mg/L	0	50	
