[Header]	
System	TOCL TNML ASIL 24ML	
S/W Version	1.00	
User	cp	
Date/Time	12/16/2025 1:14:12 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	IC	202511_GWI_TR_LysC_20cm	Untitled			3.947				mg/L	79	11/22/2025 1:04:46 AM	
Unknown	IC	202511_GWI_WC_LysA_10cm	Untitled			3.947				mg/L	80	11/22/2025 1:30:03 AM	
Unknown	IC	202511_GWI_WC_LysB_10cm	Untitled			3.947				mg/L	81	11/22/2025 1:47:23 AM	
Unknown	IC	202511_GWI_WC_LysB_20cm	Untitled			100.5				mg/L	82	11/22/2025 2:04:53 AM	
Unknown	IC	202511_GWI_WC_LysC_10cm	Untitled			85.15				mg/L	83	11/22/2025 2:31:18 AM	
Unknown	IC	202511_GWI_WC_LysC_10cm_dup	Untitled			71.63				mg/L	84	11/22/2025 2:58:49 AM	
Unknown	IC	202511_GWI_SW_A	Untitled			12.00				mg/L	85	11/22/2025 3:22:16 AM	
Unknown	IC	DI	Untitled			4.257				mg/L	0	11/22/2025 3:38:25 AM	
Unknown	IC	Chk_Std_crm221	Untitled			36.30				mg/L	86	11/22/2025 4:00:53 AM	
Unknown	IC	Chk_Std_1mgL	Untitled			5.492				mg/L	87	11/22/2025 4:14:09 AM	
Unknown	IC	DI	Untitled			4.196				mg/L	0	11/22/2025 4:32:15 AM	
Unknown	IC	202511_GWI_SW_B	Untitled			3.947				mg/L	88	11/22/2025 4:46:24 AM	
Unknown	IC	202511_GWI_SW_C	Untitled			33.41				mg/L	89	11/22/2025 5:01:33 AM	
Unknown	IC	202511_GCW_TR_LysB_10cm	Untitled			6.221				mg/L	90	11/22/2025 5:17:10 AM	
Unknown	IC	202511_GCW_WC_LysA_10cm	Untitled			122.4				mg/L	91	11/22/2025 5:40:40 AM	
Unknown	IC	202511_GCW_WC_LysA_20cm	Untitled			144.3				mg/L	92	11/22/2025 5:59:19 AM	
Unknown	IC	202511_GCW_WC_LysA_45cm	Untitled			291.7				mg/L	93	11/22/2025 6:18:35 AM	
Unknown	IC	202511_GCW_WC_LysB_10cm	Untitled			241.3				mg/L	1	11/22/2025 6:37:09 AM	
Unknown	IC	202511_GCW_WC_LysB_20cm	Untitled			177.0				mg/L	2	11/22/2025 7:00:58 AM	
Unknown	IC	202511_GCW_WC_LysB_45cm	Untitled			215.1				mg/L	3	11/22/2025 7:36:07 AM	
