"Project","Region","Sample_ID","Year","Month","Day","Site","Zone","Lysimeter","Depth_cm","Sampling_Time","Sampling_Time_Zone","Field_Notes","ic_mgL","ic_uM","ic_flag","npoc_mgL","npoc_uM","npoc_flag","tdn_mgL","tdn_uM","tdn_flag","NOx_mgL","NOx_uM","NOx_Conc_Flag","NH3_mgL","NH3_uM","NH3_Conc_Flag","PO4_mgL","PO4_uM","PO4_Conc_Flag","SO4_ppm","SO4_mM","SO4_Conc_flag","Cl_ppm","Cl_mM","Cl_Conc_flag","salinity","H2S_mean_uM","H2S_sd_uM","H2S_cv","H2S_Conc_flag","H2S_cv_flag"
"COMPASS:Synoptic","CB","GWI_202206_TR_LYSA_20CM",2022,6,9,"GWI","TR","A",20,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.5617,40.1006,"Within_Range",0.0101,0.7231,"Within_Range",1048.1038,32.6919,NA,7487.9046,211.2244,NA,13.5307,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GWI_202206_TR_LYSA_45CM",2022,6,9,"GWI","TR","A",45,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,633.3503,19.7552,NA,5328.1588,150.3007,NA,9.628,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GWI_202206_TR_LYSB_10CM",2022,6,9,"GWI","TR","B",10,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.2809,20.0512,"Within_Range",0.0068,0.4825,"Within_Range",1054.9614,32.9058,NA,7896.1734,222.7411,NA,14.2684,0.7772,0.0455,5.8521,"Within Range","Within Range"
"COMPASS:Synoptic","CB","GWI_202206_TR_LYSB_20CM",2022,6,9,"GWI","TR","B",20,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.4074,29.0862,"Within_Range",0.0075,0.5357,"Within_Range",1145.7933,35.739,NA,8878.5123,250.4517,NA,16.0435,26.3246,0.7056,2.6804,"Within Range","Within Range"
"COMPASS:Synoptic","CB","GWI_202206_TR_LYSB_45CM",2022,6,9,"GWI","TR","B",45,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.5963,42.5714,"Within_Range",0.0108,0.7714,"Within_Range",1065.4746,33.2338,NA,7901.501,222.8914,NA,14.278,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GWI_202206_TR_LYSC_10CM",2022,6,9,"GWI","TR","C",10,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.1407,10.0441,"Within_Range",0.008,0.5685,"Within_Range",939.7829,29.3133,NA,7379.9328,208.1786,NA,13.3356,13.5456,0.9713,7.1704,"Within Range","Within Range"
"COMPASS:Synoptic","CB","GWI_202206_TR_LYSC_20CM",2022,6,9,"GWI","TR","C",20,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.2743,19.5803,"Within_Range",0.0065,0.4651,"Within_Range",1031.8017,32.1835,NA,8228.9291,232.1278,NA,14.8697,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GWI_202206_TR_LYSC_45CM",2022,6,9,"GWI","TR","C",45,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.4098,29.2564,"Within_Range",0.0288,2.0592,"Within_Range",884.0311,27.5743,NA,7337.9827,206.9953,NA,13.2598,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GWI_202206_UP_LYSA_10CM",2022,6,9,"GWI","UP","A",10,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.1717,12.2598,"Within_Range",0.0175,1.2501,"Within_Range",705.1898,21.9959,NA,4974.0704,140.3123,NA,8.9882,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GWI_202206_UP_LYSA_20CM",2022,6,9,"GWI","UP","A",20,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.8607,61.4522,"Within_Range",0.0151,1.0783,"Within_Range",682.3081,21.2822,NA,5074.2239,143.1375,NA,9.1691,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GWI_202206_UP_LYSA_45CM",2022,6,9,"GWI","UP","A",45,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.2337,16.685,"Within_Range",0.0149,1.0666,"Within_Range",620.3873,19.3508,NA,5158.362,145.5109,NA,9.3212,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GWI_202206_UP_LYSB_10CM",2022,6,9,"GWI","UP","B",10,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.0888,6.343,"Within_Range",0.0205,1.4621,"Within_Range",531.2826,16.5715,NA,3905.7877,110.1774,NA,7.0578,1.7957,0.0983,5.4718,"Within Range","Within Range"
"COMPASS:Synoptic","CB","GWI_202206_UP_LYSB_20CM",2022,6,9,"GWI","UP","B",20,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.0934,6.6679,"Within_Range",0.0088,0.6268,"Within_Range",650.3517,20.2855,NA,4976.2069,140.3726,NA,8.992,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GWI_202206_UP_LYSB_45CM",2022,6,9,"GWI","UP","B",45,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.2293,16.3686,"Within_Range",0.0089,0.633,"Within_Range",565.631,17.6429,NA,4357.2527,122.9126,NA,7.8736,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GWI_202206_UP_LYSC_10CM",2022,6,9,"GWI","UP","C",10,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.3265,23.3108,"Within_Range",0.0105,0.7466,"Within_Range",1136.6741,35.4546,NA,7773.1471,219.2707,NA,14.0461,30.9131,1.6412,5.3091,"Within Range","Within Range"
"COMPASS:Synoptic","CB","GWI_202206_UP_LYSC_20CM",2022,6,9,"GWI","UP","C",20,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.2117,15.1112,"Within_Range",0.009,0.6458,"Within_Range",750.6523,23.414,NA,6075.7183,171.3884,NA,10.9788,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GWI_202206_UP_LYSC_45CM",2022,6,9,"GWI","UP","C",45,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,853.7856,26.6309,NA,6483.2126,182.8833,NA,11.7152,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GCW_202206_TR_LYSA_10CM",2022,6,10,"GCW","TR","A",10,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.3684,26.3016,"Within_Range",0.0045,0.3213,"Within_Range",4.4018,0.1373,NA,5.802,0.1637,NA,0.0105,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GCW_202206_TR_LYSA_20CM",2022,6,10,"GCW","TR","A",20,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0014,0.0977,"bdl",0.253,18.0597,"Within_Range",0.0038,0.2742,"Within_Range",9.4652,0.2952,NA,3.7973,0.1071,NA,0.0069,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GCW_202206_TR_LYSA_45CM",2022,6,10,"GCW","TR","A",45,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0012,0.0884,"bdl",0.0817,5.836,"Within_Range",0.0038,0.2698,"Within_Range",3.1151,0.0972,NA,11.191,0.3157,NA,0.0202,169.7889,1.2736,0.7501,"adl","Within Range"
"COMPASS:Synoptic","CB","GCW_202206_TR_LYSB_10CM",2022,6,10,"GCW","TR","B",10,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",1.1709,83.5972,"Within_Range",0.0081,0.5753,"Within_Range",0,0,NA,29.7153,0.8382,NA,0.0537,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GCW_202206_TR_LYSB_20CM",2022,6,10,"GCW","TR","B",20,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.7528,53.7454,"Within_Range",0.0064,0.4552,"Within_Range",0,0,NA,5.8317,0.1645,NA,0.0106,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GCW_202206_TR_LYSB_45CM",2022,6,10,"GCW","TR","B",45,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.1727,12.3317,"Within_Range",0.0037,0.2627,"Within_Range",6.4804,0.2021,NA,7.8649,0.2219,NA,0.0142,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GCW_202206_TR_LYSC_10CM",2022,6,10,"GCW","TR","C",10,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0017,0.1197,"bdl",0.3146,22.4586,"Within_Range",0.0236,1.6838,"Within_Range",12.3101,0.384,NA,22.1716,0.6254,NA,0.0401,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GCW_202206_TR_LYSC_20CM",2022,6,10,"GCW","TR","C",20,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,3e-04,0.0205,"bdl",0.2751,19.6425,"Within_Range",0.009,0.6445,"Within_Range",33.2619,1.0375,NA,34.6283,0.9768,NA,0.0626,132.6417,5.8674,4.4235,"adl","Within Range"
"COMPASS:Synoptic","CB","GCW_202206_TR_LYSC_45CM",2022,6,10,"GCW","TR","C",45,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.0656,4.6852,"Within_Range",0.0059,0.42,"Within_Range",8.4172,0.2625,NA,4.2921,0.1211,NA,0.0078,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GCW_202206_UP_LYSA_10CM",2022,6,10,"GCW","UP","A",10,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0686,4.8959,"Within_Range",2.036,145.3582,"adl",1.1614,82.9194,"Within_Range",3.6335,0.1133,NA,0,0,NA,0,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GCW_202206_UP_LYSA_20CM",2022,6,10,"GCW","UP","A",20,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0061,0.4327,"bdl",0.8581,61.2645,"Within_Range",0.9378,66.9503,"Within_Range",6.3223,0.1972,NA,7.4852,0.2111,NA,0.0136,159.0468,8.7329,5.4908,"adl","Within Range"
"COMPASS:Synoptic","CB","GCW_202206_UP_LYSA_45CM",2022,6,10,"GCW","UP","A",45,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3993,0.0436,NA,8.6165,0.2431,NA,0.0156,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GCW_202206_UP_LYSB_10CM",2022,6,10,"GCW","UP","B",10,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0088,0.6263,"bdl",0.0638,4.5546,"Within_Range",0.0204,1.458,"Within_Range",1.4062,0.0439,NA,6.0218,0.1699,NA,0.0109,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GCW_202206_UP_LYSB_20CM",2022,6,10,"GCW","UP","B",20,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.0488,3.4828,"Within_Range",0.0156,1.1115,"Within_Range",1.4627,0.0456,NA,5.4847,0.1547,NA,0.0099,152.9681,11.3255,7.4038,"adl","Within Range"
"COMPASS:Synoptic","CB","GCW_202206_UP_LYSC_10CM",2022,6,10,"GCW","UP","C",10,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6083,0.0814,NA,10.7516,0.3033,NA,0.0195,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GCW_202206_WC_LYSA_10CM",2022,6,10,"GCW","WC","A",10,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.1826,13.036,"Within_Range",0.1718,12.2654,"Within_Range",285.3617,8.9009,NA,3313.6944,93.4752,NA,5.9879,NA,NA,NA,NA,NA
"COMPASS:Synoptic","CB","GCW_202206_WC_LYSA_20CM",2022,6,10,"GCW","WC","A",20,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.5137,36.6783,"Within_Range",0.2549,18.1966,"Within_Range",380.7819,11.8772,NA,4139.3895,116.767,NA,7.4799,NA,NA,NA,NA,NA
"COMPASS:Synoptic","CB","GCW_202206_WC_LYSA_45CM",2022,6,10,"GCW","WC","A",45,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",1.8457,131.7729,"Within_Range",0.4712,33.6413,"Within_Range",145.5024,4.5384,NA,4983.5113,140.5786,NA,9.0052,NA,NA,NA,NA,NA
"COMPASS:Synoptic","CB","GCW_202207_TR_LYSA_20CM",2022,7,11,"GCW","TR","A",20,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0026,"bdl",0.3069,21.9087,"Within_Range",0.0388,2.7684,"Within_Range",22.5506,0.7034,NA,4.2462,0.1198,NA,0.0077,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GCW_202207_TR_LYSA_45CM",2022,7,11,"GCW","TR","A",45,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.0739,5.2793,"Within_Range",0.0259,1.8505,"Within_Range",22.5602,0.7037,NA,2.5252,0.0712,NA,0.0046,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GCW_202207_TR_LYSB_10CM",2022,7,11,"GCW","TR","B",10,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0011,0.0809,"bdl",1.3936,99.4956,"Within_Range",0.0678,4.8431,"Within_Range",6.0239,0.1879,NA,43.1294,1.2166,NA,0.078,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GCW_202207_TR_LYSB_20CM",2022,7,11,"GCW","TR","B",20,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",1.0475,74.7846,"Within_Range",0.0368,2.6251,"Within_Range",4.1594,0.1297,NA,24.038,0.6781,NA,0.0435,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GCW_202207_TR_LYSB_45CM",2022,7,11,"GCW","TR","B",45,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0085,0.6054,"bdl",0.0442,3.1563,"Within_Range",0.0316,2.2556,"Within_Range",23.8275,0.7432,NA,29.3885,0.829,NA,0.0531,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GCW_202207_TR_LYSC_10CM",2022,7,11,"GCW","TR","C",10,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.0429,3.066,"Within_Range",0.0344,2.4594,"Within_Range",14.4031,0.4493,NA,31.7915,0.8968,NA,0.0575,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GCW_202207_TR_LYSC_20CM",2022,7,11,"GCW","TR","C",20,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.41,29.2682,"Within_Range",0.0395,2.8197,"Within_Range",19.4722,0.6074,NA,44.7562,1.2625,NA,0.0809,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GCW_202207_TR_LYSC_45CM",2022,7,11,"GCW","TR","C",45,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0093,0.6628,"bdl",0.0839,5.9926,"Within_Range",0.0346,2.4711,"Within_Range",26.1724,0.8164,NA,6.1883,0.1746,NA,0.0112,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GCW_202207_UP_LYSA_20CM",2022,7,11,"GCW","UP","A",20,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"bdl",0.0399,2.8513,"Within_Range",0.1354,9.6701,"Within_Range",4.5447,0.1418,NA,1.2245,0.0345,NA,0.0022,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GCW_202207_UP_LYSB_10CM",2022,7,11,"GCW","UP","B",10,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0078,0.5552,"bdl",0.0646,4.6126,"Within_Range",0.0064,0.4594,"Within_Range",3.3588,0.1048,NA,12.7223,0.3589,NA,0.023,0,0,0,"bdl","Within Range"
"COMPASS:Synoptic","CB","GCW_202207_UP_LYSB_20CM",2022,7,11,"GCW","UP","B",20,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0117,0.8327,"bdl",0.0329,2.3472,"Within_Range",0.0131,0.9323,"Within_Range",3.6999,0.1154,NA,11.977,0.3379,NA,0.0217,0,0,0,"bdl","Within Range"
