"","Year","Site","Zone","Depth_cm","min_ic_mgL","max_ic_mgL","mean_ic_mgL","sd_ic_mgL"
"121",2025,"SWH","SWAMP",10,7.694,24.92,16.7683636363636,6.4634398778472
"122",2025,"SWH","SWAMP",20,7.611,32.22,18.9952727272727,8.36866933378191
"123",2025,"SWH","SWAMP",45,9.059,31.5,18.407375,8.96996612411982
"124",2025,"SWH","TR",10,8.815,45.94,28.02375,13.1499870592747
"125",2025,"SWH","TR",20,24.9,86.4,45.855,17.0559440451922
"126",2025,"SWH","TR",45,38.48,102,59.25,16.48080370944
"127",2025,"SWH","UP",10,6.159,24.28,13.8331666666667,6.93850820902207
"128",2025,"SWH","UP",20,18.54,37.56,30.1045454545455,5.74099532073727
"129",2025,"SWH","UP",45,16.45,41.06,32.0325,10.8547574055496
"130",2025,"SWH","WC",10,35.81,61.72,44.9136363636364,7.54807958718941
"131",2025,"SWH","WC",20,52.11,65.1,58.29,6.95598064018774
"132",2025,"SWH","WC",45,54.06,96.22,72.744,16.386252774811
