"","Year","Site","Zone","Depth_cm","min_CH4_ppm","max_CH4_ppm","mean_CH4_ppm","sd_CH4_ppm","min_CO2_ppm","max_CO2_ppm","mean_CO2_ppm","sd_CO2_ppm"
"49",2023,"SWH","UP","45",2,74349,10642,21916,38750,118006,88183,26591
"50",2023,"SWH","WC","0",3,89152,14879,36386,479,115848,19757,47075
"51",2023,"SWH","WC","10",307,73586,40881,22372,41528,119394,84269,23171
"52",2023,"SWH","WC","20",74,188373,48500,46900,596,117693,84583,29210
"53",2023,"SWH","WC","45",13,101058,31654,29812,68284,109999,86443,10784
"54",2024,"GCW","TR","0",2,6,3,1,340,1374,636,352
"55",2024,"GCW","TR","10",1,3534,252,737,3950,83516,28276,20907
"56",2024,"GCW","TR","20",3,5444,272,1105,1188,61275,33296,17637
"57",2024,"GCW","TR","45",2,4224,320,947,14774,63257,38512,13190
"58",2024,"GCW","UP","0",2,3,2,0,204,4678,728,1069
"59",2024,"GCW","UP","10",1,3,1,1,981,18565,4675,2767
"60",2024,"GCW","UP","20",0,3,1,1,2512,34848,10928,5428
"61",2024,"GCW","UP","35",0,2,1,1,3423,50541,14422,6571
"62",2024,"GCW","UP","50",0,2,0,1,5542,41802,17737,5844
"63",2024,"GCW","WC","0",4,16,8,5,445,785,560,110
"64",2024,"GCW","WC","10",3941,28594,12469,9279,37759,109240,65724,18476
"65",2024,"GCW","WC","20",3470,27652,13746,6719,28660,104593,68336,17981
"66",2024,"GCW","WC","45",467,17217,7770,5533,36811,109766,65527,18337
"67",2024,"GWI","TR","0",2,38,7,13,299,17944,3060,6568
"68",2024,"GWI","TR","10",1,54,12,15,6376,82573,35020,22980
"69",2024,"GWI","TR","20",2,62,18,19,9894,118215,53335,24027
"70",2024,"GWI","TR","45",2,116,37,39,374,83430,48061,26900
"71",2024,"GWI","UP","0",2,3,2,1,297,458,410,54
"72",2024,"GWI","UP","10",1,12,3,2,2318,62649,12183,15647
"73",2024,"GWI","UP","20",1,5,2,1,3832,69127,14697,16520
"74",2024,"GWI","UP","45",0,13,2,3,2503,53878,18542,16811
"75",2024,"GWI","WC","0",2,6,3,1,359,644,504,97
"76",2024,"GWI","WC","10",2,30,12,8,8880,148202,81120,40817
"77",2024,"GWI","WC","20",2,54,9,11,12547,153585,82967,36847
"78",2024,"GWI","WC","45",1,83,9,18,530,107079,44782,32326
"79",2024,"MSM","TR","0",2,3,2,0,381,736,538,124
"80",2024,"MSM","TR","10",2,242,20,48,16118,69851,43245,15720
"81",2024,"MSM","TR","20",3,3755,262,812,24223,113972,49226,26747
"82",2024,"MSM","TR","45",6,448,97,141,16154,77837,50818,14260
"83",2024,"MSM","UP","0",2,3,2,1,130,503,409,131
"84",2024,"MSM","UP","10",2,429,27,90,2647,17957,7140,4319
"85",2024,"MSM","UP","20",2,30,4,6,4279,24991,10481,4943
"86",2024,"MSM","UP","45",1,102,12,24,15755,62003,30475,12393
"87",2024,"MSM","WC","0",2,142,20,49,430,634,511,72
"88",2024,"MSM","WC","10",25,3157,822,787,27484,115257,65916,23986
"89",2024,"MSM","WC","20",3,1450,526,381,471,86875,61037,18739
"90",2024,"MSM","WC","45",4,3495,196,739,33759,114622,68367,18348
"91",2024,"SWH","SWAMP","0",2,42,20,16,415,714,522,111
"92",2024,"SWH","SWAMP","10",19,168002,70714,58671,9710,80848,46685,19816
"93",2024,"SWH","SWAMP","20",8,154927,41006,51288,244,75384,39156,19783
"94",2024,"SWH","SWAMP","45",9,74001,13012,24964,20235,64073,40446,14716
"95",2024,"SWH","TR","0",13,361,118,107,447,838,592,125
"96",2024,"SWH","TR","10",72,185821,74287,74443,1322,133945,57485,44619
"97",2024,"SWH","TR","20",732,190172,109085,54042,9067,119670,71956,31272
"98",2024,"SWH","TR","45",8711,167724,109641,42492,20960,102004,77292,20983
"99",2024,"SWH","UP","0",2,15,7,5,357,788,557,170
"100",2024,"SWH","UP","10",2,23,5,5,502,66295,27203,17170
"101",2024,"SWH","UP","20",2,220,21,48,22864,83836,45245,16311
"102",2024,"SWH","UP","45",2,56596,7144,13049,13855,103316,71279,24253
"103",2024,"SWH","WC","0",5,90,19,29,352,2034,721,545
"104",2024,"SWH","WC","10",32,94040,37181,32517,16221,103506,66624,21733
"105",2024,"SWH","WC","20",12,47197,6917,12436,22175,119116,82041,25509
"106",2024,"SWH","WC","45",14,16612,2271,4107,53041,126383,91807,20592
