HydraGO Serial,HydraProbe Serial,Timestamp,Location,Latitude,Longitude,Soil Moisture (wfv),Soil Moisture (%),Soil Temperature (C),Soil Temperature (F),Bulk EC(Raw) (dS/m),Bulk EC(TC) (dS/m),Pore Water EC (dS/m),Pore Water EC Offset,Raw Real Dielectric,Raw Imaginary Dielectric,Loss Tangent,Memo,Soil Moisture Calibration,A,B,C,D,E,F
HG279332,278928,6/22/2023 13:50,Default,37.219207,-76.409275,0.95,95,23.3,73.9,3.1,3.17,1.95,3.4,131.4,111.4,0.85,GWI-TR-SF-2B,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 13:50,Default,37.219201,-76.409259,0.95,95,23.3,73.9,3.16,3.24,1.74,3.4,150,113.6,0.76,GWI-TR-SF-2C,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 13:53,Default,37.219197,-76.409276,0.95,95,23.3,73.9,3.89,3.99,2.11,3.4,152.2,139.8,0.92,GWI-TR-SF-3A,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 13:53,Default,37.219156,-76.409272,0.95,95,23,73.4,3.71,3.8,1.97,3.4,155,133.3,0.86,GWI-TR-SF-3B,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 13:54,Default,37.219161,-76.409283,0.95,95,23,73.4,3.12,3.21,1.57,3.4,164.6,112.3,0.68,GWI-TR-SF-3C,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 13:56,Default,37.219377,-76.409351,0.95,95,22.6,72.6,3.24,3.34,1.66,3.4,161.6,116.5,0.72,GWI-TR-SF-7A,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 13:57,Default,37.219328,-76.409334,0.95,95,22.6,72.6,3.25,3.35,1.99,3.4,135.8,117,0.86,GWI-TR-SF-7B,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 13:57,Default,37.219335,-76.40929,0.95,95,22.8,73,3.51,3.62,2.6,3.4,112.9,126.2,1.12,GWI-TR-SF-7C,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 13:59,Default,37.219384,-76.409374,0.95,95,22.8,73,3.24,3.34,1.66,3.4,161.6,116.5,0.72,GWI-TR-SF-8A,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 13:59,Default,37.219335,-76.409283,0.95,95,22.8,73,3.38,3.49,1.76,3.4,159.3,121.5,0.76,GWI-TR-SF-8B,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 14:00,Default,37.21933,-76.409288,0.95,95,22.8,73,3.38,3.49,1.76,3.4,159.3,121.5,0.76,GWI-TR-SF-8C,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 14:06,Default,37.219231,-76.408624,0.278,27.8,22.8,73,1.96,2.02,11.21,3.4,17.6,70.6,4.01,GWI-UP-SF-2A,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 14:07,Default,37.219285,-76.408632,0.459,45.9,22.8,73,2.62,2.7,6.88,3.4,34.3,94.1,2.74,GWI-UP-SF-2B,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 14:08,Default,37.219298,-76.408636,0.246,24.6,22.8,73,1.41,1.46,9.75,3.4,15.2,50.9,3.35,GWI-UP-SF-2C,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 14:10,Default,37.219293,-76.408605,0.353,35.3,22.8,73,1,1.03,3.98,3.4,23.8,35.8,1.5,GWI-UP-SF-3A,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 14:10,Default,37.219269,-76.408657,0.387,38.7,22.8,73,1.23,1.27,4.24,3.4,27,44.3,1.64,GWI-UP-SF-3B,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 14:11,Default,37.219295,-76.408674,0.489,48.9,22.8,73,1.56,1.62,3.73,3.4,37.6,56.3,1.5,GWI-UP-SF-3C,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 14:13,Default,37.219176,-76.408605,0.277,27.7,22.6,72.6,1.26,1.3,7.26,3.4,17.5,45.3,2.59,GWI-UP-SF-1A,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 14:14,Default,37.219189,-76.408656,0.317,31.7,22.6,72.6,1.48,1.53,6.97,3.4,20.7,53.1,2.57,GWI-UP-SF-1B,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 14:14,Default,37.219187,-76.40866,0.258,25.8,22.6,72.6,1.03,1.07,6.64,3.4,16.1,37,2.3,GWI-UP-SF-1C,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 14:16,Default,37.219117,-76.408484,0.324,32.4,22.4,72.3,1.6,1.65,7.26,3.4,21.3,57.5,2.7,GWI-UP-SF-8A,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 14:16,Default,37.219148,-76.408508,0.228,22.8,22.4,72.3,0.87,0.91,6.83,3.4,13.9,31.4,2.26,GWI-UP-SF-8B,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 14:17,Default,37.21917,-76.408557,0.193,19.3,22.4,72.3,0.72,0.75,7.12,3.4,11.7,26,2.22,GWI-UP-SF-8C,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 14:18,Default,37.21921,-76.408556,0.236,23.6,22.4,72.3,0.68,0.7,4.97,3.4,14.5,24.3,1.68,GWI-UP-SF-7A,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 14:19,Default,37.219247,-76.408582,0.278,27.8,22.4,72.3,0.76,0.79,4.41,3.4,17.5,27.3,1.56,GWI-UP-SF-7B,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 14:19,Default,37.219245,-76.408559,0.248,24.8,22.4,72.3,1.16,1.2,7.94,3.4,15.3,41.7,2.73,GWI-UP-SF-7C,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 14:21,Default,37.219366,-76.408554,0.399,39.9,22.4,72.3,0.76,0.79,2.52,3.4,28.1,27.2,0.97,GWI-UP-SF-6A,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 14:22,Default,37.219286,-76.408551,0.412,41.2,22.4,72.3,0.92,0.96,2.91,3.4,29.4,33.2,1.13,GWI-UP-SF-6B,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 14:22,Default,37.219291,-76.408543,0.291,29.1,22.4,72.3,0.91,0.94,4.87,3.4,18.6,32.7,1.76,GWI-UP-SF-6C,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 14:24,Default,37.219412,-76.408552,0.37,37,22.4,72.3,0.9,0.93,3.33,3.4,25.4,32.3,1.27,GWI-UP-SF-5A,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 14:24,Default,37.219342,-76.408539,0.282,28.2,22.4,72.3,0.84,0.87,4.73,3.4,17.9,30.2,1.69,GWI-UP-SF-5B,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 14:25,Default,37.219345,-76.408555,0.303,30.3,22.4,72.3,1,1.04,5.09,3.4,19.5,36.1,1.85,GWI-UP-SF-5C,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 14:28,Default,37.219481,-76.408816,0.382,38.2,22.6,72.6,0.79,0.82,2.8,3.4,26.5,28.5,1.08,GWI-UP-SF-4A,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 14:29,Default,37.219362,-76.408559,0.367,36.7,22.6,72.6,0.86,0.89,3.23,3.4,25.1,31,1.24,GWI-UP-SF-4B,Default,0,0,0,0,0,0
HG279332,278928,6/22/2023 14:29,Default,37.219364,-76.408574,0.349,34.9,22.6,72.6,1.64,1.7,6.7,3.4,23.4,58.9,2.52,GWI-UP-SF-4C,Default,0,0,0,0,0,0
