HydraGO Serial    ,HydraProbe Serial    ,Timestamp    ,Location    ,Latitude    ,Longitude    ,Soil Moisture (wfv)    ,Soil Moisture (%)    ,Soil Temperature (C)    ,Soil Temperature (F)    ,Bulk EC(Raw) (dS/m),Bulk EC(TC) (dS/m),Pore Water EC (dS/m)    ,Pore Water EC Offset    ,Raw Real Dielectric    ,Raw Imaginary Dielectric    ,Loss Tangent    ,Memo    ,Calibration    ,A    ,B    ,C    ,D    ,E    ,F
HG279332,278928,7/6/2023 14:06,Default,38.8745,-76.550079,0.074,7.4,26.9,80.5,0.07,0.06,2.36,3.4,5.392,2.406,0.45,GCW-TR-SF-1c,Default,,,,,,
HG279332,278928,7/6/2023 14:07,Default,38.8745,-76.550079,0.291,29.1,26.9,80.5,0.21,0.21,1.08,3.4,18.623,7.71,0.41,GCW-UP-SF-C12a,Default,,,,,,
HG279332,278928,7/6/2023 14:09,Default,38.874592,-76.549957,0.307,30.7,26.9,80.5,0.21,0.21,1,3.4,19.87,7.658,0.39,GCW-UP-SF-C12b,Default,,,,,,
HG279332,278928,7/6/2023 14:09,Default,38.874691,-76.552099,0.237,23.7,26.9,80.5,0.14,0.14,0.98,3.4,14.577,5.098,0.35,GCW-UP-SF-C12c,Default,,,,,,
HG279332,278928,7/6/2023 14:10,Default,38.874663,-76.552117,0.381,38.1,26.7,80,0.38,0.37,1.26,3.4,26.435,13.674,0.52,GCW-UP-SF-C10a,Default,,,,,,
HG279332,278928,7/6/2023 14:12,Default,38.87473,-76.55163,0.46,46,26.7,80,0.47,0.46,1.17,3.4,34.375,16.983,0.49,GCW-UP-SF-C10b,Default,,,,,,
HG279332,278928,7/6/2023 14:13,Default,38.8745,-76.550079,0.263,26.3,26.7,80,0.28,0.27,1.63,3.4,16.439,10.067,0.61,GCW-UP-SF-C10c,Default,,,,,,
HG279332,278928,7/6/2023 14:14,Default,38.874667,-76.551991,0.202,20.2,26.7,80,0.14,0.13,1.15,3.4,12.246,4.923,0.4,GCW-UP-SF-C11a,Default,,,,,,
HG279332,278928,7/6/2023 14:15,Default,38.874601,-76.549941,0.228,22.8,26.7,80,0.14,0.13,0.97,3.4,13.93,4.963,0.36,GCW-UP-SF-C11b,Default,,,,,,
HG279332,278928,7/6/2023 14:15,Default,38.875278,-76.551211,0.213,21.3,26.7,80,0.14,0.13,1.07,3.4,12.947,4.955,0.38,GCW-UP-SF-C11c,Default,,,,,,
HG279332,278928,7/6/2023 14:17,Default,38.874567,-76.552069,0.307,30.7,26.7,80,0.24,0.23,1.09,3.4,19.908,8.515,0.43,GCW-UP-SF-C7b,Default,,,,,,
HG279332,278928,7/6/2023 14:18,Default,38.874525,-76.550082,0.203,20.3,26.7,80,0.15,0.15,1.32,3.4,12.311,5.524,0.45,GCW-UP-SF-C7c,Default,,,,,,
HG279332,278928,7/6/2023 14:19,Default,38.874525,-76.550082,0.232,23.2,26.7,80,0.23,0.22,1.59,3.4,14.232,8.144,0.57,GCW-UP-SF-C19a,Default,,,,,,
HG279332,278928,7/6/2023 14:20,Default,38.874525,-76.550082,0.215,21.5,26.7,80,0.2,0.2,1.62,3.4,13.098,7.334,0.56,GCW-UP-SF-C19b,Default,,,,,,
HG279332,278928,7/6/2023 14:21,Default,38.874525,-76.550082,0.162,16.2,26.7,80,0.14,0.14,1.72,3.4,9.776,5.155,0.53,GCW-UP-SF-C19c,Default,,,,,,
HG279332,278928,7/6/2023 14:21,Default,38.874525,-76.550082,0.359,35.9,26.7,80,0.29,0.28,1.05,3.4,24.352,10.384,0.43,GCW-UP-SF-C7a,Default,,,,,,
HG279332,278928,7/6/2023 14:23,Default,38.874525,-76.550082,0.196,19.6,26.7,80,0.22,0.21,1.95,3.4,11.844,7.839,0.66,GCW-UP-SF-C9a,Default,,,,,,
HG279332,278928,7/6/2023 14:23,Default,38.874525,-76.550082,0.301,30.1,26.7,80,0.43,0.42,2.07,3.4,19.353,15.398,0.8,GCW-UP-SF-C9b,Default,,,,,,
HG279332,278928,7/6/2023 14:24,Default,38.874525,-76.550082,0.169,16.9,26.9,80.5,0.15,0.15,1.74,3.4,10.175,5.557,0.55,GCW-UP-SF-C9c,Default,,,,,,
