HydraGO Serial    ,HydraProbe Serial    ,Timestamp    ,Location    ,Latitude    ,Longitude    ,Soil Moisture (wfv)    ,Soil Moisture (%)    ,Soil Temperature (C)    ,Soil Temperature (F)    ,Bulk EC(Raw) (dS/m)    ,Bulk EC(TC) (dS/m)    ,Pore Water EC (dS/m)    ,Pore Water EC Offset    ,Raw Real Dielectric    ,Raw Imaginary Dielectric    ,Loss Tangent    ,Memo    ,Calibration    ,A    ,B    ,C    ,D    ,E    ,F
HG279332,00000278928,06/29/23 11:51,Default,38.430542,-76.226922,0.321,32.10,+29.8,+85.6,2.35,2.20,9.77,3.4,+21.076,+84.678,4.02,MSM-TR-SF-4b,Default,,,,,,
HG279332,00000278928,06/29/23 11:52,Default,38.430542,-76.226922,0.460,46.00,+29.8,+85.6,3.52,3.29,8.34,3.4,+34.354,+126.591,3.68,MSM-TR-SF-4c,Default,,,,,,
HG279332,00000278928,06/29/23 11:55,Default,38.430542,-76.226922,0.877,87.70,+29.8,+85.6,3.15,2.95,2.56,3.4,+93.855,+113.375,1.21,MSM-TR-SF-1a,Default,,,,,,
HG279332,00000278928,06/29/23 11:55,Default,38.430445,-76.227044,0.699,69.90,+29.8,+85.6,3.30,3.09,3.94,3.4,+64.922,+118.708,1.83,MSM-TR-SF-1b,Default,,,,,,
HG279332,00000278928,06/29/23 11:55,Default,38.430448,-76.227132,0.950,95.00,+29.8,+85.6,3.22,3.01,1.66,3.4,+145.720,+115.722,0.79,MSM-TR-SF-1c,Default,,,,,,
HG279332,00000278928,06/29/23 11:56,Default,38.430542,-76.226922,0.950,95.00,+29.8,+85.6,2.91,2.72,1.36,3.4,+160.799,+104.567,0.65,MSM-TR-SF-8a,Default,,,,,,
HG279332,00000278928,06/29/23 11:56,Default,38.430479,-76.227023,0.950,95.00,+29.8,+85.6,3.22,3.01,1.98,3.4,+122.815,+115.722,0.94,MSM-TR-SF-8b,Default,,,,,,
HG279332,00000278928,06/29/23 11:56,Default,38.430470,-76.227110,0.950,95.00,+29.8,+85.6,3.59,3.36,1.65,3.4,+163.075,+129.202,0.79,MSM-TR-SF-8c,Default,,,,,,
HG279332,00000278928,06/29/23 12:00,Default,38.430542,-76.226922,0.950,95.00,+29.8,+85.6,3.77,3.53,2.11,3.4,+134.591,+135.695,1.01,MSM-TR-SF-2a,Default,,,,,,
HG279332,00000278928,06/29/23 12:00,Default,38.430470,-76.227166,0.950,95.00,+29.8,+85.6,3.89,3.64,2.04,3.4,+143.597,+140.091,0.98,MSM-TR-SF-2b,Default,,,,,,
HG279332,00000278928,06/29/23 12:00,Default,38.430489,-76.227086,0.950,95.00,+29.8,+85.6,3.45,3.23,2.23,3.4,+117.257,+124.146,1.06,MSM-TR-SF-2c,Default,,,,,,
HG279332,00000278928,06/29/23 12:06,Default,38.430542,-76.226922,0.950,95.00,+30.4,+86.8,3.50,3.25,1.84,3.4,+141.784,+125.996,0.89,MSM-TR-SF-5a,Default,,,,,,
HG279332,00000278928,06/29/23 12:06,Default,38.430542,-76.226922,0.950,95.00,+30.4,+86.8,3.75,3.48,2.54,3.4,+111.059,+134.983,1.22,MSM-TR-SF-5b,Default,,,,,,
HG279332,00000278928,06/29/23 12:07,Default,38.430376,-76.226968,0.942,94.20,+30.4,+86.8,3.27,3.04,2.33,3.4,+105.754,+117.722,1.11,MSM-TR-SF-5c,Default,,,,,,
HG279332,00000278928,06/29/23 12:10,Default,38.430542,-76.226922,0.655,65.50,+30.4,+86.8,3.15,2.92,4.16,3.4,+58.551,+113.481,1.94,MSM-TR-SF-7a,Default,,,,,,
HG279332,00000278928,06/29/23 12:10,Default,38.430394,-76.226766,0.950,95.00,+30.4,+86.8,3.61,3.34,1.77,3.4,+151.548,+129.871,0.86,MSM-TR-SF-7b,Default,,,,,,
HG279332,00000278928,06/29/23 12:11,Default,38.430366,-76.226848,0.950,95.00,+30.4,+86.8,3.36,3.11,2.07,3.4,+121.163,+120.690,1.00,MSM-TR-SF-7c,Default,,,,,,
HG279332,00000278928,06/29/23 12:11,Default,38.430542,-76.226922,0.502,50.20,+30.4,+86.8,3.26,3.01,6.64,3.4,+38.999,+117.097,3.00,MSM-TR-SF-6a,Default,,,,,,
HG279332,00000278928,06/29/23 12:12,Default,38.430383,-76.226960,0.459,45.90,+30.4,+86.8,4.09,3.79,9.64,3.4,+34.276,+147.282,4.30,MSM-TR-SF-6b,Default,,,,,,
HG279332,00000278928,06/29/23 12:12,Default,38.430451,-76.226925,0.950,95.00,+30.4,+86.8,3.76,3.48,2.20,3.4,+127.585,+135.371,1.06,MSM-TR-SF-6c,Default,,,,,,
HG279332,00000278928,06/29/23 12:13,Default,38.430542,-76.226922,0.950,95.00,+30.4,+86.8,3.48,3.22,1.94,3.4,+133.965,+125.056,0.93,MSM-TR-SF-3a,Default,,,,,,
HG279332,00000278928,06/29/23 12:14,Default,38.430542,-76.226922,0.950,95.00,+30.4,+86.8,3.66,3.38,1.95,3.4,+139.369,+131.588,0.94,MSM-TR-SF-3b,Default,,,,,,
HG279332,00000278928,06/29/23 12:14,Default,38.430427,-76.227060,0.477,47.70,+30.4,+86.8,3.40,3.15,7.52,3.4,+36.262,+122.350,3.37,MSM-TR-SF-3c,Default,,,,,,
HG279332,00000278928,06/29/23 12:38,Default,38.430667,-76.226585,0.950,95.00,+30.1,+86.2,3.17,2.95,1.50,3.4,+158.218,+114.091,0.72,MSM-WC-1,Default,,,,,,
HG279332,00000278928,06/29/23 12:41,Default,38.429138,-76.227445,0.950,95.00,+30.1,+86.2,3.13,2.90,1.86,3.4,+126.103,+112.430,0.89,MSM-WC-A,Default,,,,,,
HG279332,00000278928,06/29/23 12:41,Default,38.429104,-76.227474,0.950,95.00,+30.1,+86.2,3.18,2.95,1.49,3.4,+158.475,+114.236,0.72,MSM-WC-3,Default,,,,,,
HG279332,00000278928,06/29/23 12:42,Default,38.429131,-76.227465,0.950,95.00,+30.4,+86.8,2.99,2.77,1.56,3.4,+142.995,+107.451,0.75,MSM-WC-B,Default,,,,,,
HG279332,00000278928,06/29/23 12:42,Default,38.429141,-76.227474,0.950,95.00,+30.4,+86.8,3.81,3.54,1.56,3.4,+181.443,+137.142,0.76,MSM-WC-3,Default,,,,,,
HG279332,00000278928,06/29/23 12:42,Default,38.429141,-76.227479,0.950,95.00,+30.1,+86.2,3.80,3.53,1.75,3.4,+162.042,+136.835,0.84,MSM-WC-4,Default,,,,,,
HG279332,00000278928,06/29/23 12:43,Default,38.429181,-76.227492,0.950,95.00,+30.1,+86.2,3.17,2.95,1.38,3.4,+171.544,+114.127,0.67,MSM-WC-C,Default,,,,,,
HG279332,00000278928,06/29/23 12:43,Default,38.429223,-76.227509,0.950,95.00,+30.1,+86.2,3.17,2.95,1.50,3.4,+158.218,+114.091,0.72,MSM-WC-5,Default,,,,,,
