HydraGO Serial    ,HydraProbe Serial    ,Timestamp    ,Location    ,Latitude    ,Longitude    ,Soil Moisture (wfv)    ,Soil Moisture (%)    ,Soil Temperature (C)    ,Soil Temperature (F)    ,Bulk EC(Raw) (dS/m)    ,Bulk EC(TC) (dS/m)    ,Pore Water EC (dS/m)    ,Pore Water EC Offset    ,Raw Real Dielectric    ,Raw Imaginary Dielectric    ,Loss Tangent    ,Memo    ,Calibration    ,A    ,B    ,C    ,D    ,E    ,F
HG279332,278928,7/13/2023 12:12,Default,38.430742,-76.226114,0.15,15,32.1,89.7,0.33,0.3,4.13,3.4,9.107,12.002,1.32,MSM-UP-SF-5c,Default,,,,,,
HG279332,278928,7/13/2023 12:13,Default,38.430863,-76.226032,0.15,15,32.1,89.7,0.28,0.26,3.59,3.4,9.089,10.156,1.12,MSM-UP-SF-5a,Default,,,,,,
HG279332,278928,7/13/2023 12:14,Default,38.430505,-76.225679,0.127,12.7,32.1,89.7,0.13,0.12,2.11,3.4,7.875,4.795,0.61,MSM-UP-SF-5b,Default,,,,,,
HG279332,278928,7/13/2023 12:18,Default,38.430832,-76.225953,0.066,6.6,32.4,90.3,0.11,0.1,4.7,3.4,5.071,4.009,0.79,MSM-UP-SF-6a,Default,,,,,,
HG279332,278928,7/13/2023 12:19,Default,38.430834,-76.226133,0.042,4.2,32.1,89.7,0.08,0.07,7.81,3.4,4.104,2.715,0.66,MSM-UP-SF-6b,Default,,,,,,
HG279332,278928,7/13/2023 12:21,Default,38.430883,-76.226173,0.087,8.7,32.1,89.7,0.13,0.11,3.35,3.4,5.975,4.537,0.76,MSM-UP-SF-6c,Default,,,,,,
HG279332,278928,7/13/2023 12:26,Default,38.430856,-76.226168,0.146,14.6,32.1,89.7,0.37,0.33,4.73,3.4,8.871,13.189,1.49,MSM-UP-SF-7a,Default,,,,,,
HG279332,278928,7/13/2023 12:28,Default,38.430968,-76.226127,0.164,16.4,32.1,89.7,0.47,0.43,5.19,3.4,9.903,17.027,1.72,MSM-UP-SF-7b,Default,,,,,,
HG279332,278928,7/13/2023 12:29,Default,38.430902,-76.226109,0.185,18.5,32.1,89.7,0.59,0.53,5.39,3.4,11.124,21.074,1.89,MSM-UP-SF-7c,Default,,,,,,
HG279332,278928,7/13/2023 12:32,Default,38.430854,-76.226141,0.137,13.7,31.7,89.1,0.32,0.29,4.55,3.4,8.4,11.369,1.35,MSM-UP-SF-8a,Default,,,,,,
HG279332,278928,7/13/2023 12:32,Default,38.431124,-76.226359,0.084,8.4,31.7,89.1,0.15,0.13,4.2,3.4,5.828,5.271,0.9,MSM-UP-SF-8b,Default,,,,,,
HG279332,278928,7/13/2023 12:33,Default,38.431076,-76.226276,0.104,10.4,31.4,88.5,0.22,0.2,4.72,3.4,6.728,7.74,1.15,MSM-UP-SF-8c,Default,,,,,,
HG279332,278928,7/13/2023 12:36,Default,38.431046,-76.226536,0.936,93.6,32.1,89.7,3.63,3.3,2.56,3.4,104.658,130.589,1.25,MSM-TR-SF-4a,Default,,,,,,
HG279332,278928,7/13/2023 12:38,Default,38.430368,-76.226941,0.592,59.2,31.7,89.1,4.27,3.88,6.53,3.4,50.049,153.656,3.07,MSM-TR-SF-4b,Default,,,,,,
HG279332,278928,7/13/2023 12:39,Default,38.430504,-76.226999,0.263,26.3,31.7,89.1,2.81,2.56,15.42,3.4,16.436,101.148,6.15,MSM-TR-SF-4c,Default,,,,,,
HG279332,278928,7/13/2023 12:42,Default,38.43047,-76.226982,0.95,95,32.4,90.3,3.18,2.88,1.51,3.4,152.988,114.303,0.75,MSM-TR-SF-7a,Default,,,,,,
HG279332,278928,7/13/2023 12:43,Default,38.430307,-76.226899,0.95,95,32.4,90.3,3.18,2.88,1.51,3.4,153.247,114.456,0.75,MSM-TR-SF-7b,Default,,,,,,
HG279332,278928,7/13/2023 12:43,Default,38.430344,-76.226858,0.95,95,32.1,89.7,3.55,3.21,2.01,3.4,128.769,127.6,0.99,MSM-TR-SF-7c,Default,,,,,,
HG279332,278928,7/13/2023 12:54,Default,38.430331,-76.226868,0.95,95,32.7,90.9,3.43,3.09,1.77,3.4,140.615,123.471,0.88,MSM-TR-SF-6a,Default,,,,,,
HG279332,278928,7/13/2023 12:54,Default,38.430262,-76.226905,0.95,95,33.1,91.6,3.56,3.21,1.61,3.4,159.554,128.233,0.8,MSM-TR-SF-6b,Default,,,,,,
HG279332,278928,7/13/2023 12:57,Default,38.430391,-76.22696,0.95,95,33.1,91.6,3.91,3.5,2.14,3.4,131.777,140.606,1.07,MSM-TR-SF-6c,Default,,,,,,
HG279332,278928,7/13/2023 12:59,Default,38.430423,-76.226842,0.95,95,33.8,92.9,3.82,3.4,1.56,3.4,174.234,137.486,0.79,MSM-TR-SF-5a,Default,,,,,,
HG279332,278928,7/13/2023 13:00,Default,38.430454,-76.227023,0.875,87.5,34.2,93.5,4.39,3.89,3.39,3.4,93.534,157.792,1.69,MSM-TR-SF-5b,Default,,,,,,
HG279332,278928,7/13/2023 13:01,Default,38.430364,-76.227004,0.95,95,34.2,93.5,3.84,3.4,1.56,3.4,174.984,138.046,0.79,MSM-TR-SF-5c,Default,,,,,,
HG279332,278928,7/13/2023 13:04,Default,38.430375,-76.226996,0.95,95,33.8,92.9,3.62,3.21,1.59,3.4,162.318,130.25,0.8,MSM-TR-SF-3a,Default,,,,,,
HG279332,278928,7/13/2023 13:05,Default,38.430009,-76.227012,0.902,90.2,33.4,92.2,3.81,3.37,2.79,3.4,98.329,136.977,1.39,MSM-TR-SF-3b,Default,,,,,,
HG279332,278928,7/13/2023 13:05,Default,38.430302,-76.226932,0.95,95,33.1,91.6,3.52,3.13,1.65,3.4,151.953,126.675,0.83,MSM-TR-SF-3c,Default,,,,,,
HG279332,278928,7/13/2023 13:10,Default,38.430364,-76.226972,0.95,95,33.4,92.2,3.17,2.81,1.33,3.4,169.188,113.879,0.67,MSM-TR-SF-2a,Default,,,,,,
HG279332,278928,7/13/2023 13:10,Default,38.43055,-76.226915,0.95,95,33.8,92.9,3.22,2.85,1.55,3.4,147.716,115.709,0.78,MSM-TR-SF-2b,Default,,,,,,
HG279332,278928,7/13/2023 13:11,Default,38.430621,-76.226976,0.95,95,33.8,92.9,3.52,3.13,1.65,3.4,151.953,126.675,0.83,MSM-TR-SF-2c,Default,,,,,,
HG279332,278928,7/13/2023 13:13,Default,38.430639,-76.227021,0.95,95,33.8,92.9,3.53,3.13,1.65,3.4,152.517,127.102,0.83,MSM-Dead_tree-SF-3a,Default,,,,,,
HG279332,278928,7/13/2023 13:14,Default,38.430589,-76.22699,0.95,95,33.8,92.9,3.53,3.13,1.65,3.4,152.517,127.102,0.83,MSM-Dead_tree-SF-3b,Default,,,,,,
HG279332,278928,7/13/2023 13:14,Default,38.43057,-76.226992,0.95,95,33.8,92.9,3.63,3.22,1.58,3.4,162.962,130.722,0.8,MSM-Dead_tree-SF-3c,Default,,,,,,
HG279332,278928,7/13/2023 13:17,Default,38.43043,-76.226889,0.95,95,33.4,92.2,3.46,3.07,1.49,3.4,164.759,124.34,0.75,MSM-TR-SF-1a,Default,,,,,,
HG279332,278928,7/13/2023 13:17,Default,38.430561,-76.227059,0.95,95,33.4,92.2,3.84,3.41,1.88,3.4,145.933,138.103,0.95,MSM-TR-SF-1b,Default,,,,,,
HG279332,278928,7/13/2023 13:18,Default,38.430562,-76.227037,0.95,95,33.4,92.2,3.76,3.34,2.11,3.4,127.906,135.425,1.06,MSM-TR-SF-1c,Default,,,,,,
HG279332,278928,7/13/2023 13:21,Default,38.430523,-76.227071,0.95,95,34.2,93.5,3.49,3.09,1.37,3.4,180.543,125.434,0.69,MSM-TR-SF-8a,Default,,,,,,
HG279332,278928,7/13/2023 13:21,Default,38.43032,-76.226823,0.95,95,34.2,93.5,3.32,2.94,1.29,3.4,182.993,119.538,0.65,MSM-TR-SF-8b,Default,,,,,,
HG279332,278928,7/13/2023 13:21,Default,38.430373,-76.2269,0.95,95,34.2,93.5,3.12,2.75,1.38,3.4,159.683,112.17,0.7,MSM-TR-SF-8c,Default,,,,,,
HG279332,278928,7/13/2023 13:24,Default,38.430371,-76.226939,0.95,95,34.6,94.2,4.17,3.67,2.68,3.4,111.031,149.827,1.35,MSM-Dead_tree-SF-1a,Default,,,,,,
HG279332,278928,7/13/2023 13:27,Default,38.430416,-76.226783,0.95,95,34.9,94.9,3.53,3.09,1.72,3.4,144.806,126.89,0.88,MSM-Dead_tree-SF-1b,Default,,,,,,
HG279332,278928,7/13/2023 13:30,Default,38.430479,-76.22728,0.95,95,35.3,95.6,3.54,3.09,1.34,3.4,183.811,127.283,0.69,MSM-Dead_tree-SF-2a,Default,,,,,,
HG279332,278928,7/13/2023 13:30,Default,38.430452,-76.22712,0.95,95,35.3,95.6,3.03,2.64,1.29,3.4,164.286,109.003,0.66,MSM-Dead_tree-SF-2b,Default,,,,,,
HG279332,278928,7/13/2023 13:30,Default,38.430464,-76.227175,0.95,95,35.7,96.3,3.22,2.81,1.3,3.4,173.041,115.783,0.67,MSM-Dead_tree-SF-2c,Default,,,,,,
