HydraGO Serial    ,HydraProbe Serial    ,Timestamp    ,Location    ,Latitude    ,Longitude    ,Soil Moisture (wfv)    ,Soil Moisture (%)    ,Soil Temperature (C)    ,Soil Temperature (F)    ,Bulk EC(Raw) (dS/m),Bulk EC(TC) (dS/m),Pore Water EC (dS/m),Pore Water EC Offset    ,Raw Real Dielectric    ,Raw Imaginary Dielectric    ,Loss Tangent    ,Memo    ,Calibration    ,A    ,B    ,C    ,D    ,E    ,F
HG279332,278928,5/19/2023 10:33,Default,38.430041,-76.227161,0.705,70.5,20.9,69.6,4.56,4.84,6.09,3.4,65.816,164.143,2.49,MSM-TR-SF-7A,Default,,,,,,
HG279332,278928,5/19/2023 10:33,Default,38.430327,-76.226944,0.93,93,20.9,69.6,3.68,3.9,3.06,3.4,103.502,132.389,1.28,MSM-TR-SF-7B,Default,,,,,,
HG279332,278928,5/19/2023 10:34,Default,38.430373,-76.227073,0.865,86.5,20.9,69.6,4.69,4.97,4.41,3.4,91.816,168.784,1.84,MSM-TR-SF-7C,Default,,,,,,
HG279332,278928,5/19/2023 10:36,Default,38.430041,-76.227161,0.832,83.2,20.9,69.6,3.98,4.22,4.01,3.4,86.035,143.034,1.66,MSM-TR-SF-8A,Default,,,,,,
HG279332,278928,5/19/2023 10:37,Default,38.430506,-76.22716,0.592,59.2,20.9,69.6,3.58,3.8,6.4,3.4,50.014,128.924,2.58,MSM-TR-SF-8B,Default,,,,,,
HG279332,278928,5/19/2023 10:37,Default,38.4305,-76.227148,0.461,46.1,20.9,69.6,3.04,3.22,8.14,3.4,34.458,109.386,3.17,MSM-TR-SF-8C,Default,,,,,,
HG279332,278928,5/19/2023 10:58,Default,38.430041,-76.227161,0.95,95,21.1,70,3.94,4.15,2.31,3.4,144.528,141.592,0.98,MSM-WC-1,Default,,,,,,
HG279332,278928,5/19/2023 10:59,Default,38.429154,-76.227307,0.95,95,21.3,70.3,3.87,4.07,1.93,3.4,169.291,139.077,0.82,MSM-WC-A,Default,,,,,,
HG279332,278928,5/19/2023 11:00,Default,38.429095,-76.227461,0.95,95,21.1,70,4.27,4.5,2.23,3.4,162.164,153.51,0.95,MSM-WC-2,Default,,,,,,
HG279332,278928,5/19/2023 11:00,Default,38.429241,-76.22747,0.95,95,20.9,69.6,4.27,4.5,2.23,3.4,162.164,153.51,0.95,MSM-WC-B,Default,,,,,,
HG279332,278928,5/19/2023 11:01,Default,38.429178,-76.22747,0.95,95,21.1,70,4.26,4.5,2.23,3.4,161.963,153.259,0.95,MSM-WC-3,Default,,,,,,
HG279332,278928,5/19/2023 11:01,Default,38.429153,-76.227474,0.95,95,21.1,70,3.21,3.38,1.89,3.4,143.764,115.405,0.8,MSM-WC-4,Default,,,,,,
HG279332,278928,5/19/2023 11:02,Default,38.42915,-76.227484,0.95,95,21.1,70,3.67,3.87,1.8,3.4,171.761,132.181,0.77,MSM-WC-C,Default,,,,,,
HG279332,278928,5/19/2023 11:02,Default,38.429149,-76.227492,0.95,95,21.1,70,3.46,3.65,1.91,3.4,153.6,124.409,0.81,MSM-WC-5,Default,,,,,,
HG279332,278928,5/23/2023 9:38,Default,37.219112,-76.408322,0.122,12.2,20.7,69.2,0.21,0.23,4.27,3.4,7.628,7.693,1.01,GWI-UP-SF-1A,Default,,,,,,
HG279332,278928,5/23/2023 9:38,Default,37.219278,-76.408624,0.086,8.6,20.7,69.2,0.17,0.18,5.65,3.4,5.902,6.103,1.03,GWI-UP-SF-1B,Default,,,,,,
HG279332,278928,5/23/2023 9:39,Default,37.219264,-76.40862,0.174,17.4,20.7,69.2,0.08,0.08,0.89,3.4,10.466,2.804,0.27,GWI-UP-SF-1C,Default,,,,,,
HG279332,278928,5/23/2023 9:41,Default,37.219258,-76.408623,0.125,12.5,20.7,69.2,0.37,0.39,7.01,3.4,7.769,13.143,1.69,GWI-UP-SF-2A,Default,,,,,,
HG279332,278928,5/23/2023 9:41,Default,37.219338,-76.408646,0.051,5.1,20.7,69.2,0.08,0.09,6.72,3.4,4.451,3.024,0.68,GWI-UP-SF-2B,Default,,,,,,
HG279332,278928,5/23/2023 9:41,Default,37.219351,-76.408579,0.241,24.1,20.7,69.2,0.94,1,6.85,3.4,14.859,33.752,2.27,GWI-UP-SF-2C,Default,,,,,,
HG279332,278928,5/23/2023 9:44,Default,37.219276,-76.408658,0.059,5.9,20.9,69.6,0.1,0.1,5.79,3.4,4.755,3.544,0.75,GWI-UP-SF-3A,Default,,,,,,
HG279332,278928,5/23/2023 9:44,Default,37.219259,-76.408736,0.209,20.9,20.9,69.6,0.67,0.71,6.03,3.4,12.644,24.134,1.91,GWI-UP-SF-3B,Default,,,,,,
HG279332,278928,5/23/2023 9:44,Default,37.219275,-76.408628,0.063,6.3,20.9,69.6,0.08,0.09,4.67,3.4,4.913,2.954,0.6,GWI-UP-SF-3C,Default,,,,,,
HG279332,278928,5/23/2023 9:48,Default,37.219342,-76.408705,0.102,10.2,20.9,69.6,0.21,0.23,5.56,3.4,6.649,7.667,1.15,GWI-UP-SF-4A,Default,,,,,,
HG279332,278928,5/23/2023 9:49,Default,37.219402,-76.408618,0.113,11.3,20.9,69.6,0.23,0.24,5.02,3.4,7.155,8.1,1.13,GWI-UP-SF-4B,Default,,,,,,
HG279332,278928,5/23/2023 9:49,Default,37.21936,-76.408646,0.069,6.9,20.9,69.6,0.11,0.12,5.26,3.4,5.192,3.956,0.76,GWI-UP-SF-4C,Default,,,,,,
HG279332,278928,5/23/2023 9:51,Default,37.219363,-76.408612,0.226,22.6,20.9,69.6,0.15,0.16,1.21,3.4,13.815,5.264,0.38,GWI-UP-SF-5A,Default,,,,,,
HG279332,278928,5/23/2023 9:51,Default,37.219368,-76.408627,0.104,10.4,21.1,70,0.2,0.21,4.94,3.4,6.74,7.079,1.05,GWI-UP-SF-5B,Default,,,,,,
HG279332,278928,5/23/2023 9:52,Default,37.219339,-76.408605,0.134,13.4,21.1,70,0.07,0.07,1.13,3.4,8.254,2.362,0.29,GWI-UP-SF-5C,Default,,,,,,
HG279332,278928,5/23/2023 9:55,Default,37.219275,-76.408577,0.172,17.2,21.1,70,0.1,0.11,1.24,3.4,10.374,3.767,0.36,GWI-UP-SF-6A,Default,,,,,,
HG279332,278928,5/23/2023 9:55,Default,37.219278,-76.408717,0.14,14,21.1,70,0.07,0.08,1.22,3.4,8.541,2.652,0.31,GWI-UP-SF-6B,Default,,,,,,
HG279332,278928,5/23/2023 9:55,Default,37.219312,-76.408526,0.255,25.5,21.1,70,0.11,0.12,0.76,3.4,15.847,3.983,0.25,GWI-UP-SF-6C,Default,,,,,,
HG279332,278928,5/23/2023 9:57,Default,37.219305,-76.408522,0.082,8.2,21.1,70,0.14,0.15,5.02,3.4,5.745,5.13,0.89,GWI-UP-SF-7A,Default,,,,,,
HG279332,278928,5/23/2023 9:58,Default,37.219284,-76.408606,0.075,7.5,21.3,70.3,0.08,0.08,3.11,3.4,5.421,2.74,0.51,GWI-UP-SF-7B,Default,,,,,,
HG279332,278928,5/23/2023 9:58,Default,37.2193,-76.408555,0.059,5.9,21.3,70.3,0.08,0.09,5.14,3.4,4.774,2.984,0.63,GWI-UP-SF-7C,Default,,,,,,
HG279332,278928,5/23/2023 10:00,Default,37.219288,-76.408558,0.1,10,21.3,70.3,0.38,0.4,10.02,3.4,6.533,13.514,2.07,GWI-UP-SF-8A,Default,,,,,,
HG279332,278928,5/23/2023 10:00,Default,37.219257,-76.408581,0.059,5.9,21.3,70.3,0.06,0.06,3.47,3.4,4.757,2.2,0.46,GWI-UP-SF-8B,Default,,,,,,
HG279332,278928,5/23/2023 10:01,Default,37.219254,-76.408586,0.114,11.4,21.3,70.3,0.1,0.11,2.26,3.4,7.229,3.75,0.52,GWI-UP-SF-8C,Default,,,,,,
HG279332,278928,5/23/2023 10:32,Default,37.219242,-76.40922,0.271,27.1,21.1,70,1.21,1.29,7.4,3.4,17.079,43.649,2.56,GWI-TR-SF-1A,Default,,,,,,
HG279332,278928,5/23/2023 10:34,Default,37.219207,-76.409258,0.518,51.8,21.1,70,4.16,4.4,9.23,3.4,40.835,149.736,3.67,GWI-TR-SF-1B,Default,,,,,,
HG279332,278928,5/23/2023 10:34,Default,37.21921,-76.409265,0.496,49.6,21.1,70,3.07,3.25,7.3,3.4,38.334,110.397,2.88,GWI-TR-SF-1C,Default,,,,,,
HG279332,278928,5/23/2023 10:38,Default,37.219198,-76.409302,0.341,34.1,21.3,70.3,0.78,0.83,3.36,3.4,22.773,28.132,1.24,GWI-TR-SF-2A,Default,,,,,,
HG279332,278928,5/23/2023 10:39,Default,37.219229,-76.409394,0.428,42.8,21.3,70.3,2.17,2.29,6.5,3.4,31.055,77.904,2.51,GWI-TR-SF-2B,Default,,,,,,
HG279332,278928,5/23/2023 10:39,Default,37.219254,-76.409222,0.298,29.8,21.3,70.3,1.75,1.85,9.21,3.4,19.173,63.046,3.29,GWI-TR-SF-2C,Default,,,,,,
HG279332,278928,5/23/2023 10:40,Default,37.219226,-76.409229,0.578,57.8,21.5,70.7,3.33,3.5,6.12,3.4,48.289,119.727,2.48,GWI-TR-SF-3A,Default,,,,,,
HG279332,278928,5/23/2023 10:41,Default,37.219135,-76.409252,0.292,29.2,21.7,71.1,2.32,2.44,12.55,3.4,18.667,83.477,4.47,GWI-TR-SF-3B,Default,,,,,,
HG279332,278928,5/23/2023 10:41,Default,37.219132,-76.409253,0.383,38.3,21.7,71.1,3.07,3.23,10.96,3.4,26.542,110.511,4.16,GWI-TR-SF-3C,Default,,,,,,
HG279332,278928,5/23/2023 10:43,Default,37.219129,-76.409264,0.347,34.7,21.7,71.1,2,2.1,8.27,3.4,23.324,72.082,3.09,GWI-TR-SF-4A,Default,,,,,,
HG279332,278928,5/23/2023 10:44,Default,37.219261,-76.409337,0.216,21.6,21.7,71.1,1.78,1.87,15.12,3.4,13.109,64.127,4.89,GWI-TR-SF-4B,Default,,,,,,
HG279332,278928,5/23/2023 10:44,Default,37.219162,-76.409299,0.386,38.6,21.9,71.5,1.61,1.68,5.62,3.4,26.856,57.829,2.15,GWI-TR-SF-4C,Default,,,,,,
HG279332,278928,5/23/2023 10:52,Default,37.219441,-76.409694,0.178,17.8,22.8,73,0.71,0.73,7.8,3.4,10.746,25.428,2.37,GWI-TR-SF-5A,Default,,,,,,
HG279332,278928,5/23/2023 10:53,Default,37.219255,-76.409458,0.385,38.5,22.8,73,2.57,2.66,8.92,3.4,26.816,92.605,3.45,GWI-TR-SF-5B,Default,,,,,,
HG279332,278928,5/23/2023 10:53,Default,37.219292,-76.40947,0.415,41.5,22.8,73,3.09,3.19,9.52,3.4,29.708,111.119,3.74,GWI-TR-SF-5C,Default,,,,,,
HG279332,278928,5/23/2023 10:55,Default,37.219316,-76.409391,0.504,50.4,23,73.4,3.22,3.31,7.25,3.4,39.263,115.68,2.95,GWI-TR-SF-6A,Default,,,,,,
HG279332,278928,5/23/2023 10:55,Default,37.219327,-76.409402,0.313,31.3,23,73.4,1.42,1.46,6.76,3.4,20.344,51.204,2.52,GWI-TR-SF-6B,Default,,,,,,
HG279332,278928,5/23/2023 10:56,Default,37.219319,-76.409416,0.338,33.8,23,73.4,2.98,3.06,12.6,3.4,22.464,107.161,4.77,GWI-TR-SF-6C,Default,,,,,,
HG279332,278928,5/23/2023 11:05,Default,37.219309,-76.409406,0.512,51.2,23.3,73.9,3.44,3.52,7.52,3.4,40.135,123.624,3.08,GWI-TR-SF-7A,Default,,,,,,
HG279332,278928,5/23/2023 11:05,Default,37.219283,-76.409358,0.531,53.1,23.3,73.9,3.43,3.51,7.05,3.4,42.485,123.217,2.9,GWI-TR-SF-7B,Default,,,,,,
HG279332,278928,5/23/2023 11:06,Default,37.219374,-76.409296,0.372,37.2,23.3,73.9,2.43,2.49,8.81,3.4,25.58,87.295,3.41,GWI-TR-SF-7C,Default,,,,,,
HG279332,278928,5/23/2023 11:08,Default,37.219373,-76.409313,0.261,26.1,23.5,74.3,1.13,1.16,7.07,3.4,16.28,40.772,2.5,GWI-TR-SF-8A,Default,,,,,,
HG279332,278928,5/23/2023 11:08,Default,37.219345,-76.409241,0.364,36.4,23.5,74.3,2.22,2.27,8.33,3.4,24.795,79.827,3.22,GWI-TR-SF-8B,Default,,,,,,
HG279332,278928,5/23/2023 11:09,Default,37.21933,-76.409233,0.549,54.9,23.5,74.3,3.24,3.31,6.3,3.4,44.617,116.633,2.61,GWI-TR-SF-8C,Default,,,,,,
HG279332,278928,5/23/2023 11:20,Default,37.219262,-76.409262,0.95,95,23.9,75.1,4.19,4.2,2.22,3.4,152.107,150.758,0.99,GWI-WC-1,Default,,,,,,
HG279332,278928,5/23/2023 11:20,Default,37.218858,-76.41,0.95,95,23.7,74.7,4.17,4.19,2.22,3.4,151.515,149.995,0.99,GWI-WC-A,Default,,,,,,
HG279332,278928,5/23/2023 11:21,Default,37.218844,-76.410044,0.95,95,23.7,74.7,4.13,4.16,2.5,3.4,134.248,148.442,1.11,GWI-WC-2,Default,,,,,,
HG279332,278928,5/23/2023 11:21,Default,37.218843,-76.410054,0.95,95,23.7,74.7,4.16,4.19,2.23,3.4,151.124,149.498,0.99,GWI-WC-B,Default,,,,,,
HG279332,278928,5/23/2023 11:22,Default,37.218863,-76.410069,0.95,95,23.7,74.7,3.32,3.35,1.8,3.4,149.753,119.515,0.8,GWI-WC-3,Default,,,,,,
HG279332,278928,5/23/2023 11:22,Default,37.218877,-76.410098,0.95,95,23.7,74.7,3.95,3.99,2.07,3.4,154.52,142.014,0.92,GWI-WC-4,Default,,,,,,
HG279332,278928,5/23/2023 11:22,Default,37.21887,-76.41012,0.95,95,23.5,74.3,4.14,4.19,2.23,3.4,150.738,149.007,0.99,GWI-WC-C,Default,,,,,,
HG279332,278928,5/23/2023 11:23,Default,37.218862,-76.410127,0.95,95,23.5,74.3,3.77,3.81,1.94,3.4,157.654,135.663,0.86,GWI-WC-5,Default,,,,,,
HG279332,278928,6/22/2023 9:34,Default,37.218715,-76.421355,0.95,95,21.9,71.5,4.09,4.28,2.05,3.4,167.251,147.189,0.88,GWI-WC-1,Default,,,,,,
HG279332,278928,6/22/2023 9:35,Default,37.218937,-76.410065,0.95,95,21.9,71.5,3.9,4.08,1.92,3.4,170.637,140.283,0.82,GWI-WC-A,Default,,,,,,
HG279332,278928,6/22/2023 9:46,Default,37.21886,-76.410077,0.95,95,21.5,70.7,4.28,4.5,2.22,3.4,162.57,154.019,0.95,GWI-WC-2,Default,,,,,,
HG279332,278928,6/22/2023 9:46,Default,37.218858,-76.410106,0.95,95,21.5,70.7,3.77,3.97,2.15,3.4,148.283,135.757,0.92,GWI-WC-B,Default,,,,,,
HG279332,278928,6/22/2023 9:46,Default,37.218848,-76.410125,0.95,95,21.7,71.1,3.77,3.97,2.15,3.4,148.283,135.757,0.92,GWI-WC-3,Default,,,,,,
HG279332,278928,6/22/2023 9:47,Default,37.218872,-76.410182,0.95,95,21.7,71.1,3.68,3.88,1.8,3.4,172.214,132.529,0.77,GWI-WC-4,Default,,,,,,
HG279332,278928,6/22/2023 9:47,Default,37.21885,-76.41021,0.95,95,21.7,71.1,4.08,4.29,2.06,3.4,166.628,146.804,0.88,GWI-WC-C,Default,,,,,,
HG279332,278928,6/22/2023 9:47,Default,37.218854,-76.410202,0.95,95,21.7,71.1,3.32,3.49,1.79,3.4,156.431,119.559,0.76,GWI-WC-5,Default,,,,,,
HG279332,278928,6/22/2023 12:13,Default,37.21933,-76.40928,0.95,95,25.9,78.6,3.42,3.35,2.18,3.4,123.976,122.883,0.99,GWI-TR-1,Default,,,,,,
HG279332,278928,6/22/2023 12:13,Default,37.219292,-76.409236,0.95,95,25.9,78.6,3.84,3.78,2.29,3.4,133.199,138.308,1.04,GWI-TR-2,Default,,,,,,
HG279332,278928,6/22/2023 12:15,Default,37.219292,-76.409236,0.95,95,25.4,77.7,3.39,3.35,2.2,3.4,123.151,122.035,0.99,GWI-TR-3,Default,,,,,,
HG279332,278928,6/22/2023 12:38,Default,37.219292,-76.409236,0.95,95,24.4,75.9,3.23,3.26,2.39,3.4,110.289,116.352,1.05,GWI-TR-4,Default,,,,,,
HG279332,278928,6/22/2023 13:01,Default,37.219292,-76.409236,0.95,95,22.8,73,3.27,3.37,1.84,3.4,146.979,117.729,0.8,GWI-TR-5,Default,,,,,,
HG279332,278928,6/28/2023 14:27,Default,38.87438,-76.550234,0.95,95,25.6,78.2,3.83,3.81,2.13,3.4,143.614,137.687,0.96,GCW-WC-1,Default,,,,,,
HG279332,278928,6/28/2023 14:28,Default,38.874952,-76.549965,0.95,95,25.6,78.2,4,3.98,2.78,3.4,115.848,144.004,1.24,GCW-WC-A,Default,,,,,,
HG279332,278928,6/28/2023 14:29,Default,38.874941,-76.549966,0.95,95,25.6,78.2,3.96,3.93,2.48,3.4,128.025,142.465,1.11,GCW-WC-2,Default,,,,,,
HG279332,278928,6/28/2023 14:29,Default,38.874994,-76.550059,0.95,95,25.6,78.2,4.25,4.22,2.2,3.4,153.745,152.882,0.99,GCW-WC-3,Default,,,,,,
HG279332,278928,6/28/2023 14:30,Default,38.874966,-76.550052,0.95,95,25.6,78.2,4.49,4.45,2.39,3.4,149.261,161.477,1.08,GCW-WC-B,Default,,,,,,
HG279332,278928,6/28/2023 14:30,Default,38.874955,-76.550073,0.95,95,25.4,77.7,3.8,3.77,2.3,3.4,131.942,136.748,1.04,GCW-WC-C,Default,,,,,,
HG279332,278928,6/28/2023 14:31,Default,38.874964,-76.550085,0.95,95,25.4,77.7,3.83,3.81,2.56,3.4,120.073,137.783,1.15,GCW-WC-5,Default,,,,,,
HG279332,278928,6/28/2023 14:38,Default,38.874386,-76.550231,0.504,50.4,24.9,76.8,0.39,0.39,0.85,3.4,39.275,14.062,0.36,GCW-TR-SF-5a,Default,,,,,,
HG279332,278928,6/28/2023 14:39,Default,38.874289,-76.550336,0.572,57.2,24.9,76.8,0.43,0.43,0.77,3.4,47.494,15.32,0.32,GCW-TR-SF-5b,Default,,,,,,
HG279332,278928,6/28/2023 14:39,Default,38.874403,-76.551135,0.653,65.3,24.7,76.4,0.45,0.45,0.64,3.4,58.287,16.088,0.28,GCW-TR-SF-5c,Default,,,,,,
HG279332,278928,6/28/2023 14:41,Default,38.874423,-76.551149,0.524,52.4,24.2,75.5,0.32,0.32,0.66,3.4,41.545,11.546,0.28,GCW-TR-SF-2a,Default,,,,,,
HG279332,278928,6/28/2023 14:42,Default,38.87464,-76.551437,0.494,49.4,24.2,75.5,0.36,0.36,0.81,3.4,38.11,12.865,0.34,GCW-TR-SF-2b,Default,,,,,,
HG279332,278928,6/28/2023 14:42,Default,38.874601,-76.551361,0.531,53.1,24.2,75.5,0.58,0.58,1.17,3.4,42.408,20.719,0.49,GCW-TR-SF-2c,Default,,,,,,
HG279332,278928,6/28/2023 14:44,Default,38.874596,-76.551399,0.362,36.2,24.2,75.5,0.34,0.35,1.3,3.4,24.596,12.325,0.5,GCW-TR-SF-3a,Default,,,,,,
