Site,Plot,Tag,Species,Sapflow,Date_2022,DBH_cm_2022,Status_2022,Notes_2022,Date_2023,DBH_cm_2023,Status_2023,Notes_2023,Date_2024,DBH_cm_2024,Status_2024,Notes_2024,Date_2025,DBH_cm_2025,Status_2025,Notes_2025
MSM,UP,421,PITA,N,20220411,31.5,LI,,20230323,28.2,LI,,20240312,29.0,LI,,20250313,28.7,LI,checked
MSM,UP,407,PITA,Y,20220411,36.5,LI,SF,20230323,36.0,LI,SF 07,20240312,36.4,LI,SF 07,20250313,35.9,LI,SF 07; checked
MSM,UP,422,PITA,N,20220411,32.7,LI,,20230323,33.3,LI,,20240312,32.9,LI,,20250313,32.9,LI,
MSM,UP,423,PITA,N,20220411,43.5,LI,,20230323,43.1,LI,,20240312,43.5,LI,,20250313,43.3,LI,checked
MSM,UP,424,LIST2,N,20220411,8.5,LI,,20230323,8.5,LI,,20240312,8.6,LI,,20250313,8.5,LI,checked
MSM,UP,425,QUMI,N,20220411,25.7,LI,,20230323,25.6,LI,,20240312,25.8,LI,,20250313,25.5,LI,checked
MSM,UP,405,PITA,Y,20220411,42.2,LI,SF,20230323,41.2,LI,SF 05,20240312,41.5,LI,SF 05,20250313,41.2,LI,SF 05; checked
MSM,UP,426,Oak,N,20220411,26.2,LI,dying,20230323,26.1,LI,ck status,20240312,26.0,DS,,20250313,25.8,DS,
MSM,UP,404,PITA,Y,20220411,36.4,LI,SF; DBH unclear; checked 5/1,20230323,35.9,LI,SF 04,20240312,35.9,LI,SF 04,20250313,35.7,LI,SF 04; checked
MSM,UP,406,PITA,Y,20220411,49.3,LI,SF,20230323,49.3,LI,SF 06,20240312,50.2,LI,SF 06; IR; injured,20250313,50.2,LI,SF 06; IR; injured; scaring
MSM,UP,427,LIST2,N,20220411,7.9,DS,HOM below branch,20230323,8.0,DS,HOM below branch,20240312,,DS,HOM below branch,20250313,,DS,HOM below branch; HOM 1.15 m
MSM,UP,428,PITA,N,20220411,30.9,LI,,20230323,30.2,LI,,20240312,30.6,LI,,20250313,30.5,LI,HOM 1.4 m
MSM,UP,429,LIST2,N,20220411,7.6,DS,,20230323,7.4,DS,,20240312,,DS,,20250313,,DS,
MSM,UP,430,PITA,N,20220411,28.1,LI,,20230323,27.9,LI,,20240312,28.3,LI,,20250313,28.1,LI,HOM 1.4 m
MSM,UP,431,LIST2,N,20220411,5.8,DS,,20230323,5.6,DS,,20240312,,DS,,20250313,,DS,
MSM,UP,403,PITA,Y,20220411,35.0,LI,SF,20230323,35.3,LI,SF 03; alt HOM low,20240312,35.4,LI,SF 03; alt HOM low,20250313,35.4,LI,SF 03; alt HOM low
MSM,UP,432,PITA,N,20220411,6.1,LI,,20230323,5.8,DS,,20240312,,DS,,20250313,,DS,
MSM,UP,402,PITA,Y,20220411,45.0,LI,SF,20230323,45.1,LI,SF 02,20240312,44.4,LI,SF 02,20250313,45.0,LI,SF 02
MSM,UP,433,LIST2,N,20220411,8.3,DS,,20230323,7.8,DS,,20240312,,DS,,20250313,,DS,
MSM,UP,434,ILOP,N,20220411,8.4,LI,,20230323,8.6,LI,,20240312,8.9,LI,female,20250313,9.1,LI,female
MSM,UP,435,NYSY,N,20220411,6.8,DS,,20230323,6.8,DS,,20240312,,DS,,20250313,,DS,
MSM,UP,436,NYSY,N,20220411,11.5,DS,,20230323,11.6,DS,,20240312,11.0,DS,,20250313,,DS,
MSM,UP,437,PITA,N,20220411,18.7,LI,,20230323,17.8,LI,,20240312,17.8,LI,,20250313,17.6,LI,checked
MSM,UP,438,NYSY,N,20220411,8.6,LI,,20230323,8.5,DS,ck status,20240312,,DS,X,20250313,,DS,X
MSM,UP,439,PITA,N,20220411,44.6,LI,,20230323,44.4,LI,,20240312,44.5,LI,,20250313,44.7,LI,
MSM,UP,440,Oak,N,20220411,18.5,LI,,20230323,18.4,LI,,20240312,18.5,LI,sp change to black oak,20250313,18.5,LI,sp change to black oak
MSM,UP,441,PITA,N,20220411,40.0,LI,,20230323,39.7,LI,,20240312,39.9,LI,,20250313,39.9,LI,
MSM,UP,442,LIST2,N,20220411,8.5,LI,,20230323,8.5,LI,,20240312,8.7,LI,,20250313,8.5,LI,checked
MSM,UP,443,NYSY,N,20220411,15.4,LI,,20230323,15.1,LI,,20240312,15.5,LI,ck sp,20250313,15.0,LI,ck sp
MSM,UP,444,Oak,N,20220411,12.2,LI,black oak,20230323,12.0,LI,black oak,20240312,12.0,LI,black oak; ck sp,20250313,11.9,LI,black oak; ck sp; ck status 2025
MSM,UP,488,PITA,N,,,,,20230323,9.5,DS,missed in 2022; added 2023,20240312,,DS,missed in 2022; added 2023,20250313,,DS,missed in 2022; added 2023
MSM,TR,409,PITA,Y,20220411,26.9,LI,SF; outside of tree plot,20230323,26.8,LI,SF 08; outside of tree plot; flux,20240312,26.3,LI,SF 08; outside of tree plot; flux,20250313,26.3,DS,SF 08; outside of tree plot; flux
MSM,TR,410,PITA,Y,20220411,34.0,LI,SF; outside of tree plot,20230323,33.6,LI,SF 01; outside of tree plot; flux,20240312,32.6,LI,SF 01; outside of tree plot; flux,20250313,32.5,DS,SF 01; outside of tree plot; flux
MSM,TR,411,PITA,Y,20220411,25.6,LI,SF,20230323,25.3,LI,SF 02,20240312,25.0,LI,SF 02,20250313,24.9,LI,SF 02
MSM,TR,413,PITA,Y,20220411,31.6,LI,SF,20230323,31.2,LI,SF 04,20240312,31.2,LI,SF 04,20250313,31.1,LI,SF 04
MSM,TR,414,PITA,Y,20220411,28.0,LI,SF,20230323,27.9,LI,SF 05,20240312,27.7,LI,SF 05,20250313,27.6,DS,SF 05
MSM,TR,415,PITA,Y,20220411,29.3,LI,SF,20230323,29.0,LI,SF 07,20240312,29.1,LI,SF 07,20250313,28.9,LI,SF 07
MSM,TR,412,PITA,Y,20220411,25.2,LI,SF,20230323,25.0,LI,SF 06,20240312,24.9,LI,SF 06; measured above blue mark,20250313,24.9,LI,SF 06; measured above blue mark
MSM,TR,416,PITA,Y,20220411,28.1,LI,SF,20230323,28.0,LI,SF 03,20240312,27.6,LI,SF 03,20250313,27.7,LI,SF 03
MSM,TR,446,PITA,N,20220411,13.2,DS,,20230323,12.6,DS,,20240312,,DN,,20250313,,DN,
MSM,TR,447,PITA,N,20220411,26.5,LI,,20230323,26.3,LI,,20240312,26.0,LI,,20250313,25.7,LI,checked
MSM,TR,448,PITA,N,20220411,29.2,DS,cored/gas well,20230323,28.8,DS,gas well,20240312,28.3,DS,gas well,20250313,,DS,gas well
MSM,TR,449,PITA,N,20220411,20.2,LI,,20230323,19.8,LI,,20240312,19.5,LI,,20250313,19.3,LI,
MSM,TR,450,PITA,N,20220411,27.2,DS,,20230323,26.8,DS,near SF 02,20240312,26.6,DS,near SF 02,20250313,,DS,near SF 02
MSM,TR,451,PITA,N,20220411,25.5,DS,,20230323,25.5,DS,,20240312,,DS,,20250313,,DS,
MSM,TR,452,PITA,N,20220411,12.3,DS,,20230323,12.0,DS,,20240312,,DS,,20250313,,DS,
MSM,TR,453,PITA,N,20220411,20.6,DS,,20230323,20.4,DS,,20240312,,DS,X,20250313,,DS,X
MSM,TR,445,PITA,N,20220411,40.5,LI,backup cored tree,20230323,40.5,LI,,20240312,40.5,LI,,20250313,40.4,LI,
