"","Analysis_No","Site","Date","Zone","Replicate","Depth","Sample_ID","SO4_ppm","Cl_ppm","SO4_mM","Cl_mM","salinity"
"38","43","MSM","202309","WC","LysC","10cm","43_MSM_202309_WC_LysC_10cm",715.4543,9437.8836,22.3161041796631,266.230849083216,17.0542816652
"39","44","MSM","202309","WC","LysC","20cm","44_MSM_202309_WC_LysC_20cm",456.3583,8437.5841,14.2345071740487,238.013655853315,15.2467404687
"40","45","MSM","202309","WC","LysC","45cm","45_MSM_202309_WC_LysC_45cm",52.0456,7008.8131,1.62338116032439,197.709819464034,12.6649512717
"41","46","MSM","202309","SW","A","46","46_MSM_202309_SW_A",1201.1444,8723.1382,37.4655146600125,246.068778561354,15.7627367274
"42","47","MSM","202309","SW","B","47","47_MSM_202309_SW_B",1200.8849,8726.424,37.4574204616344,246.161466854725,15.768674168
"43","48","MSM","202309","SW","C","48","48_MSM_202309_SW_C",1205.7288,8752.5005,37.6085090455396,246.897052186178,15.8157944035
"44","49","SWH","202309","UPCON","LysA","10cm","49_SWH_202309_UPCON_LysA_10cm",0,0.9723,0,0.0274273624823695,0.0017829461
"45","5","GCW","202309","TR","LysB","20cm","5_GCW_202309_TR_LysB_20cm",25.692,267.8079,0.801372426699938,7.55452468265162,0.4839548753
"46","50","SWH","202309","UPCON","LysA","20cm","50_SWH_202309_UPCON_LysA_20cm",0.1084,0.6823,0.00338116032439176,0.01924682651622,0.0012589161
"47","51","SWH","202309","UPCON","LysA","45cm","51_SWH_202309_UPCON_LysA_45cm",30.357,117.3651,0.946880848409233,3.3107221438646,0.2121047357
"48","52","SWH","202309","UPCON","LysB","10cm","52_SWH_202309_UPCON_LysB_10cm",23.359,7.7931,0.728602620087336,0.219833568406206,0.0141081317
"49","53","SWH","202309","UPCON","LysB","20cm","53_SWH_202309_UPCON_LysB_20cm",50.9605,56.9288,1.58953524641298,1.60588998589563,0.1028963416
"50","54","SWH","202309","UPCON","LysB","45cm","54_SWH_202309_UPCON_LysB_45cm",16.4347,100.8057,0.512623206487835,2.84360225669958,0.1821818999
"51","55","SWH","202309","UPCON","LysC","10cm","55_SWH_202309_UPCON_LysC_10cm",26.0762,61.1381,0.813356207111666,1.72462905500705,0.1105025467
"52","56","SWH","202309","UPCON","LysC","20cm","56_SWH_202309_UPCON_LysC_20cm",54.0317,94.1461,1.68533063006862,2.65574330042313,0.1701480027
"53","57","SWH","202309","UPCON","LysC","45cm","57_SWH_202309_UPCON_LysC_45cm",5.3712,87.1215,0.167535870243294,2.45758815232722,0.1574545505
"54","58","SWH","202309","UP","LysA","10cm","58_SWH_202309_UP_LysA_10cm",115.1014,969.4154,3.59018714909545,27.3459915373766,1.7517596278
"55","59","SWH","202309","UP","LysA","20cm","59_SWH_202309_UP_LysA_20cm",66.5222,736.2646,2.07492825951341,20.7691001410437,1.3304561322
"56","6","GCW","202309","TR","LysB","45cm","6_GCW_202309_TR_LysB_45cm",11.4937,181.1123,0.358505926388022,5.10895063469676,0.3272959261
"57","60","SWH","202309","UP","LysA","45cm","60_SWH_202309_UP_LysA_45cm",7.1839,227.6073,0.224076731129133,6.42051622002821,0.4113123911
"58","61","SWH","202309","UP","LysB","10cm","61_SWH_202309_UP_LysB_10cm",48.4169,502.6916,1.51019650655022,14.1802990126939,0.9083897212
"59","62","SWH","202309","UP","LysB","20cm","62_SWH_202309_UP_LysB_20cm",145.5849,487.9044,4.541013724267,13.7631706629055,0.8816692508
"60","63","SWH","202309","UP","LysB","45cm","63_SWH_202309_UP_LysB_45cm",4.0573,97.4005,0.126553337492202,2.74754583921015,0.1760287035
"61","64","SWH","202309","UP","LysC","10cm","64_SWH_202309_UP_LysC_10cm",137.3027,927.1675,4.28267935121647,26.1542313117066,1.6754176725
"62","65","SWH","202309","UP","LysC","20cm","65_SWH_202309_UP_LysC_20cm",96.2032,807.5429,3.00072364316906,22.7797715091678,1.4592560203
"63","66","SWH","202309","UP","LysC","45cm","66_SWH_202309_UP_LysC_45cm",150.2839,1389.2461,4.68758265751715,39.1888885754584,2.5103937027
"64","67","SWH","202309","TR","LysA","10cm","67_SWH_202309_TR_LysA_10cm",109.054,2690.5223,3.40155957579538,75.8962566995769,4.8617997961
"65","68","SWH","202309","TR","LysA","20cm","68_SWH_202309_TR_LysA_20cm",69.6925,2361.0433,2.17381472239551,66.6020677009873,4.2664312431
"66","69","SWH","202309","TR","LysA","45cm","69_SWH_202309_TR_LysA_45cm",26.7554,1786.1214,0.834541484716157,50.3842425952045,3.2275473698
"67","7","GCW","202309","TR","LysC","10cm","7_GCW_202309_TR_LysC_10cm",31.9036,90.9168,0.99512164691204,2.56464880112835,0.1643126576
"68","70","SWH","202309","TR","LysB","10cm","70_SWH_202309_TR_LysB_10cm",203.6413,2326.1883,6.35188084840923,65.6188519040903,4.2034482581
"69","71","SWH","202309","TR","LysB","20cm","71_SWH_202309_TR_LysB_20cm",126.2873,2269.3828,3.93909232688709,64.0164400564175,4.1008007196
"70","72","SWH","202309","TR","LysB","45cm","72_SWH_202309_TR_LysB_45cm",1.106,1631.7049,0.0344978165938865,46.0283469675599,2.9485167543
"71","73","SWH","202309","TR","LysC","10cm","73_SWH_202309_TR_LysC_10cm",249.9739,2388.4026,7.79706487835309,67.3738392101551,4.3158694982
"72","74","SWH","202309","TR","LysC","20cm","74_SWH_202309_TR_LysC_20cm",152.6105,2250.7617,4.76015283842795,63.4911622002821,4.0671523919
"73","75","SWH","202309","TR","LysC","45cm","75_SWH_202309_TR_LysC_45cm",50.6908,1871.8522,1.58112289457268,52.8026008462623,3.3824629254
"74","8","GCW","202309","TR","LysC","20cm","8_GCW_202309_TR_LysC_20cm",25.9022,84.1103,0.80792888334373,2.37264598025388,0.1520133121
"75","9","GCW","202309","TR","LysC","45cm","9_GCW_202309_TR_LysC_45cm",14.8381,134.2325,0.462822832189644,3.78653032440056,0.2425841275
