"Project","Region","Year","Month","Day","Site","Plot","Replicate","Depth_cm","Sample_ID","Sampler_Type","SO4_ppm","SO4_mM","SO4_flag","Cl_ppm","Cl_mM","Cl_flag","Salinity","H2S_mean_uM","H2S_sd_uM","H2S_flag","NH3_mgL","NH3_uM","NH3_flag","PO4_mgL","PO4_uM","PO4_flag","NOx_mgL","NOx_uM","NOx_flag","FE_2_mean_uM","FE_2_sd_uM","FE_2_flag","FE_3_mean_uM","FE_3_sd_uM","FE_3_flag","DIC_mgL","DIC_uM","DIC_flag"
"COMPASS: Synoptic","CB",2022,8,18,"GWI","WC","A",45,"GWI_202208_WC_SIPA_45CM","Porewater Sipper (Teflon)",2148.3213,67.0094,"",11375.3832,320.8853,NA,20.5553,0,0,"bdl",0.667151,47.630848,"",0.050745,3.622909,"",4.5e-05,0.003213,"bdl",1739.668,123.592,"",136.77,64.717,"",23.49,1955.71,""
"COMPASS: Synoptic","CB",2022,8,18,"GWI","WC","B",10,"GWI_202208_WC_SIPB_10CM","Porewater Sipper (Teflon)",1397.058,43.5764,"",9892.3338,279.0503,NA,17.8755,0,0,"bdl",0.28835,20.586576,"",0.026115,1.864465,"",0.003816,0.272441,"bdl",395.701,36.503,"",0,0,"bdl",46.09,3837.32,""
"COMPASS: Synoptic","CB",2022,8,18,"GWI","WC","B",20,"GWI_202208_WC_SIPB_20CM","Porewater Sipper (Teflon)",1821.5671,56.8174,"",11525.3524,325.1157,NA,20.8263,0,0,"bdl",0.535352,38.221137,"",0.038322,2.735976,"",-0.002026,0,"bdl",194.286,23.923,"",47.215,32.497,"",46.87,3902.26,""
"COMPASS: Synoptic","CB",2022,8,18,"GWI","WC","B",45,"GWI_202208_WC_SIPB_45CM","Porewater Sipper (Teflon)",1382.6705,43.1276,"",10189.8429,287.4427,NA,18.4131,0,0,"bdl",0.608358,43.433357,"",0.026411,1.885598,"",0.001311,0.093598,"bdl",824.723,95.741,"",553.863,186.894,"",38.4,3197.07,""
"COMPASS: Synoptic","CB",2022,8,18,"GWI","WC","C",10,"GWI_202208_WC_SIPC_10CM","Porewater Sipper (Teflon)",2298.1676,71.6833,"",10217.167,288.2135,NA,18.4624,0,0,"bdl",0.460949,32.909179,"",0.047081,3.36132,"",0.000838,0.059829,"bdl",244.736,12.514,"",16.633,9.278,"",50.06,4167.85,""
"COMPASS: Synoptic","CB",2022,8,31,"MSM","WC","A",10,"MSM_202208_WC_SIPA_10CM","Porewater Sipper (Teflon)",879.307,27.4269,"",7411.5875,209.0716,NA,13.3928,NA,NA,"",0.283508,20.240885,"",0.043291,3.090735,"",0.005772,0.412089,"bdl",52.755,1.7,"",0,0,"bdl",43.43,3615.85,""
"COMPASS: Synoptic","CB",2022,8,31,"MSM","WC","A",20,"MSM_202208_WC_SIPA_20CM","Porewater Sipper (Teflon)",789.0551,24.6118,"",6994.7563,197.3133,NA,12.6396,NA,NA,"",0.597028,42.624458,"",0.086712,6.190752,"",0.004169,0.297643,"bdl",5.458,1.279,"",0,0,"bdl",66.27,5517.44,""
"COMPASS: Synoptic","CB",2022,8,31,"MSM","WC","A",45,"MSM_202208_WC_SIPA_45CM","Porewater Sipper (Teflon)",69.7056,2.1742,"",6560.6049,185.0664,NA,11.855,NA,NA,"",0.101582,7.252386,"",0.019266,1.375485,"",0.004854,0.346548,"bdl",183.798,18.666,"",136.085,12.271,"",118.3,9849.3,""
"COMPASS: Synoptic","CB",2022,8,31,"MSM","WC","B",10,"MSM_202208_WC_SIPB_10CM","Porewater Sipper (Teflon)",914.6513,28.5294,"",7548.212,212.9256,NA,13.6396,NA,NA,"",0.414624,29.601833,"",0.741276,52.922958,"",0.004112,0.293574,"bdl",172.258,10.967,"",0,0,"bdl",69.41,5778.87,""
"COMPASS: Synoptic","CB",2022,8,31,"MSM","WC","B",20,"MSM_202208_WC_SIPB_20CM","Porewater Sipper (Teflon)",821.3436,25.619,"",7253.7586,204.6194,NA,13.1076,NA,NA,"",0.642327,45.858553,"",0.090251,6.443416,"",0.004917,0.351046,"bdl",9.512,0.39,"",0,0,"bdl",105.3,8766.96,""
"COMPASS: Synoptic","CB",2022,8,31,"MSM","WC","C",10,"MSM_202208_WC_SIPC_10CM","Porewater Sipper (Teflon)",697.8872,21.7682,"",6554.2609,184.8875,NA,11.8436,NA,NA,"",0.960027,68.540556,"",0.124046,8.85619,"",0.004218,0.301142,"bdl",15.818,0.85,"",0,0,"bdl",91.15,7588.88,""
"COMPASS: Synoptic","CB",2022,8,31,"MSM","WC","C",20,"MSM_202208_WC_SIPC_20CM","Porewater Sipper (Teflon)",508.4243,15.8585,"",6165.8604,173.9312,NA,11.1417,NA,NA,"",0.94649,67.57409,"",0.079586,5.681995,"",0.003968,0.283293,"bdl",5.458,0.39,"",0,0,"bdl",130.6,10873.37,""
"COMPASS: Synoptic","CB",2022,8,31,"MSM","WC","C",45,"MSM_202208_WC_SIPC_45CM","Porewater Sipper (Teflon)",52.4325,1.6354,"",6240.8845,176.0475,NA,11.2773,NA,NA,"",1.011305,72.201518,"",0.022381,1.597878,"",0.00746,0.532602,"bdl",448.671,152.337,"",22.498,19.497,"",123.8,10307.22,""
"COMPASS: Synoptic","CB",2022,9,18,"MSM","WC","A",10,"MSM_202209_WC_SIPA_10CM","Porewater Sipper (Teflon)",903.4437,28.1798,"",8155.9469,230.069,NA,14.7378,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",0,0,"bdl",11.894,0.519,"",37.92,3157.11,""
"COMPASS: Synoptic","CB",2022,9,18,"MSM","WC","A",20,"MSM_202209_WC_SIPA_20CM","Porewater Sipper (Teflon)",868.1506,27.0789,"",8225.3989,232.0282,NA,14.8633,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",0,0,"bdl",12,0.143,"",56.8,4729,""
"COMPASS: Synoptic","CB",2022,9,18,"MSM","WC","A",45,"MSM_202209_WC_SIPA_45CM","Porewater Sipper (Teflon)",52.8767,1.6493,"",8548.8314,241.1518,NA,15.4478,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",202.524,13.29,"",135.469,3.772,"",140.6,11705.94,""
"COMPASS: Synoptic","CB",2022,9,18,"MSM","WC","B",10,"MSM_202209_WC_SIPB_10CM","Porewater Sipper (Teflon)",860.1581,26.8296,"",9655.1847,272.3606,NA,17.4469,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",0,0,"bdl",11.725,0.952,"",82.91,6902.84,""
"COMPASS: Synoptic","CB",2022,9,18,"MSM","WC","B",20,"MSM_202209_WC_SIPB_20CM","Porewater Sipper (Teflon)",850.1219,26.5166,"",9355.854,263.9169,NA,16.9061,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",0,0,"bdl",11.412,0.195,"",113.1,9416.37,""
"COMPASS: Synoptic","CB",2022,9,18,"MSM","WC","C",10,"MSM_202209_WC_SIPC_10CM","Porewater Sipper (Teflon)",809.9642,25.264,"",8554.1584,241.3021,NA,15.4574,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",0,0,"bdl",11.306,0.707,"",101.4,8442.26,""
"COMPASS: Synoptic","CB",2022,9,18,"MSM","WC","C",20,"MSM_202209_WC_SIPC_20CM","Porewater Sipper (Teflon)",540.403,16.856,"",7859.0282,221.6933,NA,14.2013,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",0,0,"bdl",11.33,0.318,"",136.9,11397.89,""
"COMPASS: Synoptic","CB",2022,9,18,"MSM","WC","C",45,"MSM_202209_WC_SIPC_45CM","Porewater Sipper (Teflon)",NA,NA,"",7741.0746,218.366,NA,13.9881,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",456.839,5.696,"",160.793,23.034,"",102.1,8500.54,""
"COMPASS: Synoptic","CB",2022,9,19,"GCW","WC","A",10,"GCW_202209_WC_SIPA_10CM","Porewater Sipper (Teflon)",859.1732,26.7989,"",7084.9499,199.8575,NA,12.8025,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",0,0,"bdl",11.865,0.378,"",91.99,7658.81,""
"COMPASS: Synoptic","CB",2022,9,19,"GCW","WC","A",20,"GCW_202209_WC_SIPA_20CM","Porewater Sipper (Teflon)",725.596,22.6324,"",6904.6111,194.7704,NA,12.4767,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",0,0,"bdl",11.443,0.26,"",130.8,10890.02,""
"COMPASS: Synoptic","CB",2022,9,19,"GCW","WC","A",45,"GCW_202209_WC_SIPA_45CM","Porewater Sipper (Teflon)",50.8383,1.5857,"",5615.6024,158.4091,NA,10.1474,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",0,0,"bdl",11.111,0.221,"",196.4,16351.68,""
"COMPASS: Synoptic","CB",2022,9,19,"GCW","WC","B",10,"GCW_202209_WC_SIPB_10CM","Porewater Sipper (Teflon)",513.2206,16.0081,"",5952.1023,167.9013,NA,10.7555,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",0,0,"bdl",12.535,0.3,"",112,9324.79,""
"COMPASS: Synoptic","CB",2022,9,19,"GCW","WC","B",20,"GCW_202209_WC_SIPB_20CM","Porewater Sipper (Teflon)",308.5498,9.6241,"",4867.2377,137.2987,NA,8.7951,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",0,0,"bdl",11.888,0.143,"",122.1,10165.68,""
"COMPASS: Synoptic","CB",2022,9,19,"GCW","WC","B",45,"GCW_202209_WC_SIPB_45CM","Porewater Sipper (Teflon)",56.1617,1.7518,"",5155.6866,145.4354,NA,9.3164,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",0,0,"bdl",11.857,0.195,"",174.8,14553.33,""
"COMPASS: Synoptic","CB",2022,9,19,"GCW","WC","C",10,"GCW_202209_WC_SIPC_10CM","Porewater Sipper (Teflon)",669.4286,20.8805,"",7459.0636,210.4108,NA,13.4786,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",0,0,"bdl",10.485,1.063,"",83.4,6943.64,""
"COMPASS: Synoptic","CB",2022,9,19,"GCW","WC","C",45,"GCW_202209_WC_SIPC_45CM","Porewater Sipper (Teflon)",305.7805,9.5378,"",4841.9483,136.5853,NA,8.7494,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",0,0,"bdl",12.091,0.76,"",125.6,10457.08,""
"COMPASS: Synoptic","CB",2022,9,22,"GWI","WC","A",10,"GWI_202209_WC_SIPA_10CM","Porewater Sipper (Teflon)",2289.9622,71.4274,"",13888.7228,391.7834,NA,25.0969,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",1625.759,94.932,"",402.364,187.401,"",40.09,3337.77,""
"COMPASS: Synoptic","CB",2022,9,22,"GWI","WC","A",20,"GWI_202209_WC_SIPA_20CM","Porewater Sipper (Teflon)",1383.3947,43.1502,"",11336.2408,319.7811,NA,20.4846,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",680.61,30.378,"",528.832,37.047,"",54.89,4569.98,""
"COMPASS: Synoptic","CB",2022,9,22,"GWI","WC","A",45,"GWI_202209_WC_SIPA_45CM","Porewater Sipper (Teflon)",1279.8917,39.9218,"",11293.4365,318.5737,NA,20.4073,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",2619.239,68.351,"",264.343,91.468,"",48.37,4027.14,""
"COMPASS: Synoptic","CB",2022,9,22,"GWI","WC","B",10,"GWI_202209_WC_SIPB_10CM","Porewater Sipper (Teflon)",1925.9192,60.0723,"",13905.9219,392.2686,NA,25.128,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",720.886,15.189,"",410.911,96.099,"",39.08,3253.68,""
"COMPASS: Synoptic","CB",2022,9,22,"GWI","WC","B",20,"GWI_202209_WC_SIPB_20CM","Porewater Sipper (Teflon)",1676.8623,52.3039,"",12437.6802,350.8513,NA,22.4749,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",596.477,45.435,"",538.952,144.69,"",47.55,3958.87,""
"COMPASS: Synoptic","CB",2022,9,22,"GWI","WC","B",45,"GWI_202209_WC_SIPB_45CM","Porewater Sipper (Teflon)",1504.4631,46.9265,"",12051.0293,339.9444,NA,21.7762,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",2064.769,36.074,"",619.932,40.983,"",52.24,4349.35,""
"COMPASS: Synoptic","CB",2022,9,22,"GWI","WC","C",10,"GWI_202209_WC_SIPC_10CM","Porewater Sipper (Teflon)",2268.2926,70.7515,"",13645.0836,384.9107,NA,24.6567,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",1080.687,28.033,"",427.076,90.107,"",35.53,2958.12,""
"COMPASS: Synoptic","CB",2022,9,22,"GWI","WC","C",20,"GWI_202209_WC_SIPC_20CM","Porewater Sipper (Teflon)",1193.2157,37.2182,"",9896.915,279.1795,NA,17.8838,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",2497.068,271.505,"",412.396,173.257,"",87.8,7309.97,""
"COMPASS: Synoptic","CB",2022,9,22,"GWI","WC","C",45,"GWI_202209_WC_SIPC_45CM","Porewater Sipper (Teflon)",2171.5972,67.7354,"",13402.5391,378.0688,NA,24.2184,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",1047.571,33.999,"",495.609,28.658,"",51.05,4250.27,""
"COMPASS: Synoptic","CB",2022,10,11,"GCW","WC","A",10,"GCW_202210_WC_SIPA_10CM","Porewater Sipper (Teflon)",708.4208,22.0967,"",6698.7292,188.9627,NA,12.1046,954.065,47.865,"",0.271291,19.368659,"",0.109196,7.795983,"",0.008291,0.591931,"bdl",12.024,1.28,"",0.214,0.371,"bdl",74.97,6241.78,""
"COMPASS: Synoptic","CB",2022,10,11,"GCW","WC","A",20,"GCW_202210_WC_SIPA_20CM","Porewater Sipper (Teflon)",717.9932,22.3953,"",7170.1196,202.2601,NA,12.9564,1081.03,45.278,"",0.542478,38.729894,"",0.093441,6.671165,"",0.01507,1.075914,"bdl",2.668,0.183,"",0,0,"bdl",94.14,7837.82,""
"COMPASS: Synoptic","CB",2022,10,11,"GCW","WC","A",45,"GCW_202210_WC_SIPA_45CM","Porewater Sipper (Teflon)",127.003,3.9614,"",5282.1364,149.0024,NA,9.5448,1686.284,38.987,"adl",2.570916,183.549016,"",0.459142,32.780169,"",0.023485,1.676698,"bdl",2.773,0.183,"",0,0,"bdl",179.2,14919.66,""
"COMPASS: Synoptic","CB",2022,10,11,"GCW","WC","B",10,"GCW_202210_WC_SIPB_10CM","Porewater Sipper (Teflon)",675.9449,21.0837,"",6863.6896,193.6161,NA,12.4027,964.521,84.133,"",0.514324,36.719855,"",0.159101,11.358921,"",0.009754,0.696381,"bdl",1.612,0.317,"",0,0,"bdl",80.46,6698.86,""
"COMPASS: Synoptic","CB",2022,10,11,"GCW","WC","B",20,"GCW_202210_WC_SIPB_20CM","Porewater Sipper (Teflon)",441.4171,13.7685,"",5832.4646,164.5265,NA,10.5393,1220.842,36.738,"",1.130095,80.682459,"",0.192109,13.715508,"",0.008043,0.574225,"bdl",4.04,0.183,"",0,0,"bdl",101.8,8475.56,""
"COMPASS: Synoptic","CB",2022,10,11,"GCW","WC","B",45,"GCW_202210_WC_SIPB_45CM","Porewater Sipper (Teflon)",421.842,13.1579,"",5626.6706,158.7213,NA,10.1674,1426.377,98.77,"adl",2.051002,146.430066,"",0.350151,24.998822,"",0.009449,0.674606,"bdl",7.628,1.142,"",0,0,"bdl",119.8,9974.19,""
"COMPASS: Synoptic","CB",2022,10,11,"GCW","WC","C",10,"GCW_202210_WC_SIPC_10CM","Porewater Sipper (Teflon)",444.8095,13.8743,"",4141.1329,116.8162,NA,7.4831,265.761,22.412,"",0.076251,5.443895,"",0.003031,0.216396,"bdl",0.009659,0.689599,"bdl",4.251,0.183,"",0,0,"bdl",42.04,3500.12,""
"COMPASS: Synoptic","CB",2022,10,11,"GCW","WC","C",20,"GCW_202210_WC_SIPC_20CM","Porewater Sipper (Teflon)",815.2247,25.4281,"",6978.3961,196.8518,NA,12.61,540.306,15.315,"",0.229954,16.417429,"",0.123332,8.805215,"",0.007335,0.523678,"bdl",3.934,0.366,"",0,0,"bdl",48.56,4042.96,""
"COMPASS: Synoptic","CB",2022,10,11,"GCW","WC","C",45,"GCW_202210_WC_SIPC_45CM","Porewater Sipper (Teflon)",381.4934,11.8994,"",5105.5722,144.0218,NA,9.2258,1337.651,59.289,"adl",1.29653,92.564987,"",0.291262,20.794477,"",0.026187,1.869605,"",1.612,0,"",0,0,"bdl",100.9,8400.63,""
"COMPASS: Synoptic","CB",2022,10,14,"GWI","WC","A",10,"GWI_202210_WC_SIPA_10CM","Porewater Sipper (Teflon)",2418.1928,75.4271,"",15120.9494,426.543,NA,27.3236,0.922,0.072,"",0.710875,50.752497,"",0.012304,0.878437,"",0.002911,0.207829,"bdl",137.754,2.573,"",40.955,1.619,"",35.98,2995.59,""
"COMPASS: Synoptic","CB",2022,10,14,"GWI","WC","A",20,"GWI_202210_WC_SIPA_20CM","Porewater Sipper (Teflon)",1596.975,49.8121,"",12097.2737,341.2489,NA,21.8598,0.492,0.101,"",0.530832,37.898434,"",0.018152,1.295951,"",0.002369,0.169133,"bdl",113.741,2.058,"",32.532,5.16,"",43.15,3592.54,""
"COMPASS: Synoptic","CB",2022,10,14,"GWI","WC","A",45,"GWI_202210_WC_SIPA_45CM","Porewater Sipper (Teflon)",1292.2328,40.3067,"",11103.8554,313.2258,NA,20.0647,0,0,"bdl",0.760599,54.302512,"",0.019012,1.35735,"",0.002201,0.157139,"bdl",300.022,8.747,"",60.13,13.606,"",49.54,4124.55,""
"COMPASS: Synoptic","CB",2022,10,14,"GWI","WC","B",10,"GWI_202210_WC_SIPB_10CM","Porewater Sipper (Teflon)",2051.3371,63.9843,"",14480.0854,408.465,NA,26.1655,13.278,1.143,"",0.434533,31.023225,"",0.007742,0.552735,"",-0.000671,0,"bdl",122.109,2.573,"",28.939,2.573,"",44.01,3664.14,""
"COMPASS: Synoptic","CB",2022,10,14,"GWI","WC","B",20,"GWI_202210_WC_SIPB_20CM","Porewater Sipper (Teflon)",1886.7897,58.8518,"",13502.0255,380.8752,NA,24.3982,0.062,0,"",0.958958,68.464235,"",0.023421,1.672128,"",0.002592,0.185054,"bdl",380.428,19.831,"",13.861,14.057,"",34.12,2840.73,""
"COMPASS: Synoptic","CB",2022,10,14,"GWI","WC","B",45,"GWI_202210_WC_SIPB_45CM","Porewater Sipper (Teflon)",1559.8676,48.6546,"",12259.534,345.8261,NA,22.153,0.456,0.051,"",0.756064,53.978739,"",-0.000265,-0.01892,"bdl",0.002978,0.212613,"bdl",360.6,29.586,"",17.5,11.656,"",51.9,4321.04,""
"COMPASS: Synoptic","CB",2022,10,14,"GWI","WC","C",10,"GWI_202210_WC_SIPC_10CM","Porewater Sipper (Teflon)",2399.7673,74.8524,"",14800.5109,417.5038,NA,26.7445,0.827,0.041,"",1.10746,79.066447,"",0.054843,3.915483,"",0.001007,0.071894,"bdl",89.365,5.66,"",34.022,4.12,"",42.51,3539.26,""
"COMPASS: Synoptic","CB",2022,10,14,"GWI","WC","C",20,"GWI_202210_WC_SIPC_20CM","Porewater Sipper (Teflon)",1221.3311,38.0952,"",9168.6201,258.6353,NA,16.5677,0,0,"bdl",0.488766,34.895157,"",0.010122,0.722654,"",0.011912,0.85045,"bdl",304.934,7.461,"",28.271,39.982,"bdl",76.85,6398.3,""
"COMPASS: Synoptic","CB",2022,10,27,"MSM","WC","A",10,"MSM_202210_WC_SIPA_10CM","Porewater Sipper (Teflon)",1219.3395,38.033,"",9158.0059,258.3359,NA,16.5485,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",3.406,0.914,"",0,0,"bdl",24.74,2059.78,""
"COMPASS: Synoptic","CB",2022,10,27,"MSM","WC","A",20,"MSM_202210_WC_SIPA_20CM","Porewater Sipper (Teflon)",964.2949,30.0778,"",8445.7431,238.2438,NA,15.2615,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",4.04,3.656,"",0,0,"bdl",51.91,4321.87,""
"COMPASS: Synoptic","CB",2022,10,27,"MSM","WC","B",10,"MSM_202210_WC_SIPB_10CM","Porewater Sipper (Teflon)",954.6175,29.776,"",8396.8172,236.8637,NA,15.1731,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",3.934,0.183,"",0,0,"bdl",48.75,4058.78,""
"COMPASS: Synoptic","CB",2022,10,27,"MSM","WC","B",20,"MSM_202210_WC_SIPB_20CM","Porewater Sipper (Teflon)",826.1925,25.7702,"",8765.8782,247.2744,NA,15.84,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",2.14,0.183,"",0,0,"bdl",91.53,7620.51,""
"COMPASS: Synoptic","CB",2022,10,27,"MSM","WC","C",10,"MSM_202210_WC_SIPC_10CM","Porewater Sipper (Teflon)",804.2978,25.0873,"",8565.08,241.6102,NA,15.4771,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",3.301,0.797,"",0,0,"bdl",82.71,6886.19,""
"COMPASS: Synoptic","CB",2022,10,27,"MSM","WC","C",20,"MSM_202210_WC_SIPC_20CM","Porewater Sipper (Teflon)",519.6645,16.2091,"",7928.3707,223.6494,NA,14.3266,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",4.568,0.183,"",0,0,"bdl",115,9574.56,""
"COMPASS: Synoptic","CB",2022,11,15,"GCW","WC","A",10,"GCW_202211_WC_SIPA_10CM","Porewater Sipper (Teflon)",705.7256,22.0127,"",6762.9137,190.7733,NA,12.2206,567.613,47.946,"",0.077998,5.568621,"",0.070713,5.048512,"",0.004417,0.315349,"bdl",2.38,0,"",0,0,"bdl",67.75,5640.66,""
"COMPASS: Synoptic","CB",2022,11,15,"GCW","WC","A",20,"GCW_202211_WC_SIPA_20CM","Porewater Sipper (Teflon)",241.4455,7.5311,"",6041.3935,170.4201,NA,10.9168,1532.497,56.486,"adl",1.182624,84.432736,"",0.314126,22.426839,"",0.016603,1.185361,"bdl",2.533,0.7,"",0,0,"bdl",166.1,13828.99,""
"COMPASS: Synoptic","CB",2022,11,15,"GCW","WC","A",45,"GCW_202211_WC_SIPA_45CM","Porewater Sipper (Teflon)",630.0428,19.652,"",6834.2797,192.7865,NA,12.3496,955.65,16.429,"",0.233439,16.666238,"",0.099354,7.09332,"",0.009047,0.645905,"bdl",9.71,0.458,"",0,0,"bdl",92.84,7729.58,""
"COMPASS: Synoptic","CB",2022,11,15,"GCW","WC","B",10,"GCW_202211_WC_SIPB_10CM","Porewater Sipper (Teflon)",492.9064,15.3745,"",4949.5749,139.6213,NA,8.9439,827.389,63.082,"",0.289266,20.651974,"",0.100612,7.183134,"",0.004732,0.337838,"bdl",2.686,0.264,"",0,0,"bdl",78.38,6525.68,""
"COMPASS: Synoptic","CB",2022,11,15,"GCW","WC","B",20,"GCW_202211_WC_SIPB_20CM","Porewater Sipper (Teflon)",487.103,15.1935,"",5389.0015,152.017,NA,9.738,906.494,60.56,"",0.50604,36.128424,"",0.237834,16.980017,"",0.00846,0.603997,"bdl",1.006,0,"",0,0,"bdl",89.35,7439.01,""
