"Project","Region","Year","Month","Day","Site","Plot","Sample_ID","Sampler_Type","Replicate","SO4_ppm","SO4_mM","SO4_flag","Cl_ppm","Cl_mM","Cl_flag","Salinity","H2S_mean_uM","H2S_sd_uM","H2S_flag","NH3_mgL","NH3_uM","NH3_flag","PO4_mgL","PO4_uM","PO4_flag","NOx_mgL","NOx_uM","NOx_flag","FE_2_mean_uM","FE_2_sd_uM","FE_2_flag","FE_3_mean_uM","FE_3_sd_uM","FE_3_flag"
"COMPASS: Synoptic","CB",2022,7,13,"GWI","TR","GWI_202207_TR_RHZ_8","Rhizon Sampler","8",554.713,17.3023,"",4314.7657,121.7141,"",7.7968,0,0,"bdl",0.054856,3.916411,"",0.028345,2.023674,"",0.011295,0.8064,"bdl",246.313,29.569,"",35.918,11.932,""
"COMPASS: Synoptic","CB",2022,7,14,"MSM","UP","MSM_202207_UP_RHZ_1","Rhizon Sampler","1",117.7618,3.6732,"",1320.8872,37.2606,"",2.3869,NA,NA,"",0.051987,3.711581,"",0.164148,11.719249,"",-0.003262,0,"bdl",77.62,17.75,"",3.704,3.312,"bdl"
"COMPASS: Synoptic","CB",2022,7,14,"MSM","UP","MSM_202207_UP_RHZ_2","Rhizon Sampler","2",71.4786,2.2295,"",678.4436,19.138,"",1.226,NA,NA,"",0.053031,3.786117,"",0.078115,5.576974,"",-0.000976,0,"bdl",42.936,4.923,"",1.761,1.556,"bdl"
"COMPASS: Synoptic","CB",2022,7,14,"MSM","UP","MSM_202207_UP_RHZ_3","Rhizon Sampler","3",108.3185,3.3786,"",1146.0401,32.3284,"",2.0709,NA,NA,"",0.057469,4.102965,"",0.095827,6.841512,"",-0.00103,0,"bdl",25.593,1.365,"",1.037,1.796,""
"COMPASS: Synoptic","CB",2022,7,14,"MSM","UP","MSM_202207_UP_RHZ_4","Rhizon Sampler","4",75.5974,2.358,"",1068.3906,30.138,"",1.9306,NA,NA,"",0.063748,4.55125,"",0.073032,5.214076,"",0.003178,0.226891,"bdl",50.818,6.257,"",0,0,"bdl"
"COMPASS: Synoptic","CB",2022,7,14,"MSM","UP","MSM_202207_UP_RHZ_5","Rhizon Sampler","5",95.9523,2.9929,"",1157.6156,32.6549,"",2.0918,NA,NA,"",0.041657,2.974077,"",0.087225,6.227377,"",-0.002408,0,"bdl",16.922,1.365,"",0.217,0.375,"bdl"
"COMPASS: Synoptic","CB",2022,7,14,"MSM","UP","MSM_202207_UP_RHZ_6","Rhizon Sampler","6",137.1408,4.2776,"",1131.5675,31.9201,"",2.0448,NA,NA,"",0.064,4.569242,"",0.073876,5.274333,"",-0.002691,0,"bdl",15.346,2.365,"",1.718,1.551,"bdl"
"COMPASS: Synoptic","CB",2022,7,14,"MSM","UP","MSM_202207_UP_RHZ_7","Rhizon Sampler","7",115.0122,3.5874,"",1501.5876,42.3579,"",2.7134,NA,NA,"",0.134736,9.619396,"",0.098008,6.997223,"",-0.002774,0,"bdl",16.922,1.365,"",0.638,0.633,""
"COMPASS: Synoptic","CB",2022,7,14,"MSM","UP","MSM_202207_UP_RHZ_8","Rhizon Sampler","8",81.6136,2.5457,"",1306.9863,36.8684,"",2.3618,NA,NA,"",0.055377,3.953608,"",0.023432,1.672914,"",-0.003205,0,"bdl",85.503,13.447,"",5.345,5.22,"bdl"
"COMPASS: Synoptic","CB",2022,7,14,"MSM","TR","MSM_202207_TR_RHZ_1","Rhizon Sampler","1",349.7258,10.9085,"",2772.1621,78.1992,"",5.0093,NA,NA,"",0.165006,11.780505,"",0.042616,3.042544,"",-0.00202,0,"bdl",112.305,14.385,"",1.036,1.107,"bdl"
"COMPASS: Synoptic","CB",2022,7,14,"MSM","TR","MSM_202207_TR_RHZ_2","Rhizon Sampler","2",333.6696,10.4077,"",2878.1919,81.1902,"",5.2009,NA,NA,"",0.062834,4.485996,"",0.049723,3.549944,"",0.00127,0.090671,"bdl",102.845,7.095,"",18.097,19.929,"bdl"
"COMPASS: Synoptic","CB",2022,7,14,"MSM","TR","MSM_202207_TR_RHZ_3","Rhizon Sampler","3",342.2743,10.6761,"",2747.03,77.4903,"",4.9639,NA,NA,"",0.131099,9.359735,"",0.072018,5.141682,"",-0.007741,0,"bdl",256.561,57.345,"",2.092,3.624,"bdl"
"COMPASS: Synoptic","CB",2022,7,14,"MSM","TR","MSM_202207_TR_RHZ_4","Rhizon Sampler","4",429.4559,13.3954,"",3330.0223,93.9357,"",6.0174,NA,NA,"",0.071175,5.081497,"",0.105576,7.537536,"",0.000299,0.021347,"bdl",36.629,10.308,"",7.074,6.134,"bdl"
"COMPASS: Synoptic","CB",2022,7,14,"MSM","TR","MSM_202207_TR_RHZ_5","Rhizon Sampler","5",423.0852,13.1967,"",3346.1955,94.392,"",6.0466,NA,NA,"",0.209277,14.941207,"",0.082807,5.911956,"",0.00095,0.067825,"bdl",206.899,26.334,"",17.714,23.32,""
"COMPASS: Synoptic","CB",2022,8,18,"GWI","TR","GWI_202208_TR_RHZ_1","Rhizon Sampler","1",680.0869,21.2129,"",4753.0864,134.0786,"",8.5889,0,0,"bdl",0.079109,5.64794,"",0.017179,1.226484,"",0.002288,0.16335,"bdl",21.652,1.365,"",0,0,"bdl"
"COMPASS: Synoptic","CB",2022,8,18,"GWI","TR","GWI_202208_TR_RHZ_2","Rhizon Sampler","2",600.6481,18.7351,"",4449.2865,125.5088,"",8.0399,0,0,"bdl",0.094329,6.734563,"",0.018473,1.318869,"",0.001658,0.118372,"bdl",128.07,11.666,"",6.845,11.856,"bdl"
"COMPASS: Synoptic","CB",2022,8,18,"GWI","TR","GWI_202208_TR_RHZ_3","Rhizon Sampler","3",831.1571,25.925,"",5770.8449,162.7883,"",10.4279,0,0,"bdl",0.219982,15.705484,"",0.017223,1.229626,"",-0.000343,0,"bdl",31.9,2.365,"",1.61,2.379,"bdl"
"COMPASS: Synoptic","CB",2022,8,18,"GWI","TR","GWI_202208_TR_RHZ_4","Rhizon Sampler","4",836.6127,26.0952,"",5301.0474,149.5359,"",9.579,0,0,"bdl",0.181508,12.958656,"",0.04244,3.029979,"",0.004008,0.286149,"bdl",64.219,4.923,"",1.944,0.924,""
"COMPASS: Synoptic","CB",2022,8,18,"GWI","TR","GWI_202208_TR_RHZ_5","Rhizon Sampler","5",806.1031,25.1436,"",6352.0897,179.1845,"",11.4783,0,0,"bdl",0.185522,13.245233,"",0.022391,1.598592,"",0.001632,0.116516,"bdl",38.994,0,"",1.556,1.347,""
"COMPASS: Synoptic","CB",2022,8,18,"GWI","TR","GWI_202208_TR_RHZ_6","Rhizon Sampler","6",727.6633,22.6969,"",5074.5708,143.1473,"",9.1698,0,0,"bdl",0.161946,11.562038,"",0.022053,1.574461,"",0.000244,0.01742,"bdl",165.908,25.064,"",7.837,11.046,""
"COMPASS: Synoptic","CB",2022,8,18,"GWI","TR","GWI_202208_TR_RHZ_7","Rhizon Sampler","7",831.9884,25.951,"",5961.9625,168.1795,"",10.7733,0,0,"bdl",0.258779,18.475373,"",0.035305,2.520579,"",-0.001877,0,"bdl",100.48,14.768,"",3.746,5.101,"bdl"
"COMPASS: Synoptic","CB",2022,8,18,"GWI","TR","GWI_202208_TR_RHZ_8","Rhizon Sampler","8",811.0166,25.2968,"",5405.3731,152.4788,"",9.7675,0,0,"bdl",0.17553,12.53186,"",-0.004794,-0.342265,"bdl",-0.002326,0,"bdl",22.44,2.365,"",4.98,6.215,""
"COMPASS: Synoptic","CB",2022,8,31,"MSM","UP","MSM_202208_UP_RHZ_1","Rhizon Sampler","1",102.8666,3.2086,"",1441.0446,40.6501,"",2.604,NA,NA,"",0.080866,5.77338,"",0.04296,3.067104,"",0.003081,0.219966,"bdl",84.715,8.953,"",1.371,2.375,"bdl"
"COMPASS: Synoptic","CB",2022,8,31,"MSM","UP","MSM_202208_UP_RHZ_2","Rhizon Sampler","2",83.4063,2.6016,"",869.3611,24.5236,"",1.571,NA,NA,"",0.083064,5.930305,"",0.035063,2.503302,"",0.001715,0.122441,"bdl",25.593,1.365,"",0.044,0.076,"bdl"
"COMPASS: Synoptic","CB",2022,8,31,"MSM","UP","MSM_202208_UP_RHZ_3","Rhizon Sampler","3",123.0879,3.8393,"",1444.7407,40.7543,"",2.6107,NA,NA,"",0.099178,7.080754,"",0.005729,0.409019,"",0.012514,0.89343,"bdl",32.688,4.923,"",9.136,0.568,""
"COMPASS: Synoptic","CB",2022,8,31,"MSM","UP","MSM_202208_UP_RHZ_4","Rhizon Sampler","4",68.4764,2.1359,"",1014.594,28.6204,"",1.8334,NA,NA,"",0.084694,6.046678,"",0.035453,2.531146,"",0.002114,0.150928,"bdl",95.751,15.507,"",11.639,4.236,""
"COMPASS: Synoptic","CB",2022,8,31,"MSM","UP","MSM_202208_UP_RHZ_5","Rhizon Sampler","5",78.5371,2.4497,"",1263.2079,35.6335,"",2.2826,NA,NA,"",0.077238,5.514361,"",0.040042,2.858775,"",-0.00013,0,"bdl",48.454,8.527,"",6.469,10.482,""
"COMPASS: Synoptic","CB",2022,8,31,"MSM","UP","MSM_202208_UP_RHZ_6","Rhizon Sampler","6",49.9685,1.5586,"",993.5301,28.0262,"",1.7953,NA,NA,"",0.844305,60.278652,"",0.529105,37.775136,"",NA,NA,"",87.08,4.923,"",7.396,4.344,""
"COMPASS: Synoptic","CB",2022,8,31,"MSM","UP","MSM_202208_UP_RHZ_7","Rhizon Sampler","7",68.3382,2.1316,"",1673.7536,47.2145,"",3.0245,NA,NA,"",0.191636,13.681738,"",0.039855,2.845424,"",0.001329,0.094883,"bdl",230.547,10.308,"",20.391,28.52,""
"COMPASS: Synoptic","CB",2022,8,31,"MSM","UP","MSM_202208_UP_RHZ_8","Rhizon Sampler","8",60.4674,1.8861,"",1640.4626,46.2754,"",2.9643,NA,NA,"",0.107046,7.642485,"",0.029169,2.082503,"",0.001409,0.100595,"bdl",20.864,2.731,"",8.543,3.846,""
"COMPASS: Synoptic","CB",2022,8,31,"MSM","TR","MSM_202208_TR_RHZ_1","Rhizon Sampler","1",622.885,19.4287,"",4509.8798,127.218,"",8.1494,NA,NA,"",0.326423,23.304776,"",0.021664,1.546688,"",0.379352,27.08361,"",9.039,1.365,"",0.996,0.749,""
"COMPASS: Synoptic","CB",2022,8,31,"MSM","TR","MSM_202208_TR_RHZ_2","Rhizon Sampler","2",440.5948,13.7428,"",3759.4802,106.0502,"",6.7934,NA,NA,"",0.347317,24.79649,"",0.016787,1.198498,"",0.000761,0.054331,"bdl",11.404,3.612,"",2.605,1.72,""
"COMPASS: Synoptic","CB",2022,8,31,"MSM","TR","MSM_202208_TR_RHZ_3","Rhizon Sampler","3",399.0884,12.4482,"",2931.274,82.6876,"",5.2968,NA,NA,"",0.126221,9.011473,"",0.029564,2.110704,"",0.495231,35.356722,"",14.557,1.365,"",0.725,0.765,"bdl"
"COMPASS: Synoptic","CB",2022,8,31,"MSM","TR","MSM_202208_TR_RHZ_4","Rhizon Sampler","4",571.3338,17.8208,"",4514.1649,127.3389,"",8.1571,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",24.017,4.923,"",2.452,2.146,"bdl"
"COMPASS: Synoptic","CB",2022,8,31,"MSM","TR","MSM_202208_TR_RHZ_5","Rhizon Sampler","5",475.9529,14.8457,"",3730.9484,105.2454,"",6.7418,NA,NA,"",0.181682,12.971078,"",0.030661,2.189024,"",0.176475,12.599327,"",8.251,0,"",1.287,0.86,""
"COMPASS: Synoptic","CB",2022,8,31,"MSM","TR","MSM_202208_TR_RHZ_6","Rhizon Sampler","6",490.9597,15.3138,"",3693.8271,104.1982,"",6.6748,NA,NA,"",0.882771,63.02491,"",1.5733,112.324816,"",NA,NA,"",5.886,2.365,"",0.681,1.18,"bdl"
"COMPASS: Synoptic","CB",2022,8,31,"MSM","TR","MSM_202208_TR_RHZ_7","Rhizon Sampler","7",502.8438,15.6845,"",3667.7335,103.4622,"",6.6276,NA,NA,"",0.270707,19.326965,"",0.022114,1.578816,"",0.130228,9.29755,"",31.111,2.731,"",0,0,"bdl"
"COMPASS: Synoptic","CB",2022,8,31,"MSM","TR","MSM_202208_TR_RHZ_8","Rhizon Sampler","8",520.7936,16.2443,"",3992.5401,112.6245,"",7.2145,NA,NA,"",0.832385,59.427631,"",0.490377,35.010174,"",0.034925,2.49345,"",28.747,1.365,"",2.69,3.545,""
"COMPASS: Synoptic","CB",2022,9,18,"MSM","WC","MSM_202209_WC_RHZ_6","Rhizon Sampler","6",794.4041,24.7787,"",8421.2656,237.5533,"",15.2173,NA,NA,"",0.29259,20.889289,"",0.072461,5.17331,"",0.011329,0.808827,"bdl",NA,NA,"",NA,NA,""
"COMPASS: Synoptic","CB",2022,9,18,"MSM","WC","MSM_202209_WC_RHZ_7","Rhizon Sampler","7",815.7621,25.4449,"",8675.4857,244.7246,"",15.6766,NA,NA,"",0.654068,46.696795,"",0.201421,14.380332,"",0.020656,1.474723,"bdl",NA,NA,"",NA,NA,""
"COMPASS: Synoptic","CB",2022,9,18,"MSM","WC","MSM_202209_WC_RHZ_8","Rhizon Sampler","8",872.0692,27.2012,"",8465.1766,238.792,"",15.2966,NA,NA,"",0.295598,21.104043,"",0.006279,0.448285,"bdl",0.012667,0.904353,"bdl",NA,NA,"",NA,NA,""
"COMPASS: Synoptic","CB",2022,9,22,"GWI","TR","GWI_202209_TR_RHZ_1","Rhizon Sampler","1",951.8538,29.6898,"",6184.0232,174.4435,"",11.1746,NA,NA,"",0.394228,28.145673,"",0.011783,0.84124,"",0.033437,2.387215,"",134.643,17.878,"",103.943,13.515,""
"COMPASS: Synoptic","CB",2022,9,22,"GWI","TR","GWI_202209_TR_RHZ_2","Rhizon Sampler","2",928.5007,28.9613,"",6415.1454,180.9632,"",11.5922,NA,NA,"",0.5326,38.02466,"",0.01734,1.237979,"",0.086969,6.2091,"",75.571,25.801,"",124.83,15.966,""
"COMPASS: Synoptic","CB",2022,9,22,"GWI","TR","GWI_202209_TR_RHZ_3","Rhizon Sampler","3",958.8354,29.9075,"",6292.7754,177.5113,"",11.3711,NA,NA,"",0.358128,25.568335,"",0.009265,0.661469,"",0.010485,0.74857,"bdl",457.748,56.959,"",362.106,166.766,""
"COMPASS: Synoptic","CB",2022,9,22,"GWI","TR","GWI_202209_TR_RHZ_4","Rhizon Sampler","4",859.4663,26.8081,"",6218.3502,175.4119,"",11.2366,NA,NA,"",0.486857,34.758865,"",0.015815,1.129103,"",0.050029,3.571791,"",0,0,"bdl",96.62,1.362,""
"COMPASS: Synoptic","CB",2022,9,22,"GWI","TR","GWI_202209_TR_RHZ_5","Rhizon Sampler","5",944.5056,29.4606,"",6921.1279,195.2363,"",12.5065,NA,NA,"",0.489732,34.964124,"",0.009803,0.699879,"",0.061951,4.422955,"",14.068,19.894,"bdl",106.698,13.637,""
"COMPASS: Synoptic","CB",2022,9,22,"GWI","TR","GWI_202209_TR_RHZ_6","Rhizon Sampler","6",1001.515,31.2388,"",6691.502,188.7589,"",12.0916,NA,NA,"",0.615848,43.968101,"",0.00918,0.655401,"",0.016582,1.183862,"bdl",476.544,45.567,"",395.074,10.299,""
"COMPASS: Synoptic","CB",2022,9,22,"GWI","TR","GWI_202209_TR_RHZ_7","Rhizon Sampler","7",927.5268,28.931,"",6420.4224,181.1121,"",11.6017,NA,NA,"",0.471386,33.654323,"",0.014561,1.039574,"",0.023626,1.686764,"bdl",108.687,11.392,"",142.338,7.71,""
"COMPASS: Synoptic","CB",2022,9,22,"GWI","TR","GWI_202209_TR_RHZ_8","Rhizon Sampler","8",962.0158,30.0067,"",6500.2561,183.3641,"",11.746,NA,NA,"",0.406874,29.048527,"",0.005181,0.369894,"bdl",0.013193,0.941906,"bdl",0,0,"bdl",102.747,1.912,""
"COMPASS: Synoptic","CB",2022,9,18,"MSM","UP","MSM_202209_UP_RHZ_1","Rhizon Sampler","1",74.2697,2.3166,"",1459.191,41.1619,"",2.6368,NA,NA,"",0.05304,3.786759,"",0.006897,0.492407,"",0.022166,1.582528,"bdl",132.853,17.607,"",125.982,6.226,""
"COMPASS: Synoptic","CB",2022,9,18,"MSM","UP","MSM_202209_UP_RHZ_2","Rhizon Sampler","2",88.841,2.7711,"",1002.2398,28.2719,"",1.8111,NA,NA,"",0.067749,4.836899,"",0.004642,0.331413,"",0.007141,0.509827,"bdl",0.428,0.741,"bdl",114.288,9.709,""
"COMPASS: Synoptic","CB",2022,9,18,"MSM","UP","MSM_202209_UP_RHZ_3","Rhizon Sampler","3",106.8866,3.334,"",1335.9005,37.6841,"",2.414,NA,NA,"",0.240864,17.196342,"",0.00617,0.440503,"",0.013452,0.960398,"bdl",37.98,14.788,"",127.708,22.271,""
"COMPASS: Synoptic","CB",2022,9,18,"MSM","UP","MSM_202209_UP_RHZ_4","Rhizon Sampler","4",77.3244,2.4119,"",1030.7547,29.0763,"",1.8626,NA,NA,"",0.05116,3.652538,"",0.022412,1.600091,"",0.006871,0.490551,"bdl",154.334,15.189,"",154.836,15.189,""
"COMPASS: Synoptic","CB",2022,9,18,"MSM","UP","MSM_202209_UP_RHZ_5","Rhizon Sampler","5",52.1693,1.6272,"",1178.3623,33.2401,"",2.1293,NA,NA,"",0.051419,3.671029,"",0.004851,0.346334,"",0.009343,0.667038,"bdl",259.052,4.651,"",147.893,33.13,""
"COMPASS: Synoptic","CB",2022,9,18,"MSM","UP","MSM_202209_UP_RHZ_6","Rhizon Sampler","6",61.2851,1.9116,"",1117.7225,31.5295,"",2.0198,NA,NA,"",0.161428,11.525056,"",0.009177,0.655186,"",NA,NA,"",179.842,9.493,"",146.684,27.326,""
"COMPASS: Synoptic","CB",2022,9,18,"MSM","UP","MSM_202209_UP_RHZ_7","Rhizon Sampler","7",66.6381,2.0785,"",1839.2307,51.8824,"",3.3235,NA,NA,"",0.106276,7.587512,"",0.010272,0.733363,"",0.004426,0.315992,"bdl",222.803,17.088,"",101.119,11.14,""
"COMPASS: Synoptic","CB",2022,9,18,"MSM","UP","MSM_202209_UP_RHZ_8","Rhizon Sampler","8",73.0955,2.28,"",1211.6435,34.1789,"",2.1895,NA,NA,"",0.043698,3.119793,"",0.005788,0.413231,"bdl",NA,NA,"",83.627,8.631,"",99.419,18.915,""
"COMPASS: Synoptic","CB",2022,9,18,"MSM","TR","MSM_202209_TR_RHZ_1","Rhizon Sampler","1",570.8744,17.8064,"",5208.0966,146.9139,"",9.4111,NA,NA,"",0.833408,59.500668,"",0.016334,1.166156,"",0.008941,0.638337,"bdl",506.08,110.121,"",508.568,13.799,""
"COMPASS: Synoptic","CB",2022,9,18,"MSM","TR","MSM_202209_TR_RHZ_2","Rhizon Sampler","2",587.3986,18.3219,"",5309.9778,149.7878,"",9.5952,NA,NA,"",0.274696,19.611757,"",0.019048,1.359921,"",0.00466,0.332698,"bdl",1043.096,64.554,"",576.368,18.319,""
"COMPASS: Synoptic","CB",2022,9,18,"MSM","TR","MSM_202209_TR_RHZ_3","Rhizon Sampler","3",399.1534,12.4502,"",4808.3038,135.6362,"",8.6886,NA,NA,"",0.562686,40.172632,"",0.022397,1.59902,"",0.00402,0.287006,"bdl",1218.969,1.899,"",271.086,0.028,""
"COMPASS: Synoptic","CB",2022,9,18,"MSM","TR","MSM_202209_TR_RHZ_4","Rhizon Sampler","4",657.9776,20.5233,"",5939.777,167.5537,"",10.7332,NA,NA,"",0.250528,17.886297,"",0.02927,2.089714,"",0.022825,1.629577,"bdl",402.704,20.885,"",289.103,88.922,""
"COMPASS: Synoptic","CB",2022,9,18,"MSM","TR","MSM_202209_TR_RHZ_5","Rhizon Sampler","5",682.6143,21.2918,"",6113.2537,172.4472,"",11.0467,NA,NA,"",0.595682,42.528361,"",0.024511,1.749948,"",0.006796,0.485196,"bdl",1560.422,140.354,"",571.228,70.741,""
"COMPASS: Synoptic","CB",2022,9,18,"MSM","TR","MSM_202209_TR_RHZ_6","Rhizon Sampler","6",620.0739,19.341,"",5622.2151,158.5956,"",10.1594,NA,NA,"",0.48577,34.68126,"",0.018342,1.309516,"",0.015204,1.085481,"bdl",840.372,1.899,"",569.313,36.63,""
"COMPASS: Synoptic","CB",2022,9,18,"MSM","TR","MSM_202209_TR_RHZ_7","Rhizon Sampler","7",703.2411,21.9352,"",6168.3469,174.0013,"",11.1462,NA,NA,"",0.391137,27.924993,"",0.015221,1.086694,"",0.004844,0.345834,"bdl",924.952,32.555,"",521.966,61.134,""
"COMPASS: Synoptic","CB",2022,9,18,"MSM","TR","MSM_202209_TR_RHZ_8","Rhizon Sampler","8",616.2565,19.222,"",5910.7788,166.7357,"",10.6808,NA,NA,"",0.662894,47.326922,"",1.143414,81.633361,"",0.019006,1.356922,"bdl",767.428,41.626,"",501.497,42.498,""
"COMPASS: Synoptic","CB",2022,9,18,"MSM","WC","MSM_202209_WC_RHZ_1","Rhizon Sampler","1",814.5606,25.4074,"",8310.2277,234.4211,"",15.0166,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,""
"COMPASS: Synoptic","CB",2022,9,18,"MSM","WC","MSM_202209_WC_RHZ_2","Rhizon Sampler","2",975.1925,30.4177,"",8635.4482,243.5952,"",15.6043,NA,NA,"",0.180075,12.856347,"",0.055974,3.99623,"",0.023414,1.671629,"bdl",NA,NA,"",NA,NA,""
"COMPASS: Synoptic","CB",2022,9,18,"MSM","WC","MSM_202209_WC_RHZ_3","Rhizon Sampler","3",712.7736,22.2325,"",8521.0228,240.3674,"",15.3975,NA,NA,"",0.242546,17.316427,"",0.032088,2.290904,"",0.00456,0.325558,"bdl",NA,NA,"",NA,NA,""
"COMPASS: Synoptic","CB",2022,9,18,"MSM","WC","MSM_202209_WC_RHZ_4","Rhizon Sampler","4",720.0705,22.4601,"",8645.2841,243.8726,"",15.6221,NA,NA,"",0.27421,19.57706,"",0.052456,3.745065,"",0.023245,1.659563,"bdl",NA,NA,"",NA,NA,""
"COMPASS: Synoptic","CB",2022,9,18,"MSM","WC","MSM_202209_WC_RHZ_5","Rhizon Sampler","5",850.5265,26.5292,"",8807.0564,248.436,"",15.9144,NA,NA,"",0.261865,18.695696,"",0.06273,4.478571,"",0.023611,1.685693,"bdl",NA,NA,"",NA,NA,""
"COMPASS: Synoptic","CB",2022,10,27,"MSM","UP","MSM_202210_UP_RHZ_1","Rhizon Sampler","1",31.3728,0.9786,"",671.7957,18.9505,"",1.214,NA,NA,"",0.104009,7.425661,"",0.007395,0.527962,"",0.010574,0.754924,"bdl",46.749,6.65,"",0.142,0.246,"bdl"
"COMPASS: Synoptic","CB",2022,10,27,"MSM","UP","MSM_202210_UP_RHZ_2","Rhizon Sampler","2",65.5675,2.0451,"",933.5416,26.334,"",1.6869,NA,NA,"",0.061273,4.374549,"",0.004751,0.339195,"",0.01891,1.350068,"bdl",37.883,7.678,"",0.023,0.04,"bdl"
"COMPASS: Synoptic","CB",2022,10,27,"MSM","UP","MSM_202210_UP_RHZ_3","Rhizon Sampler","3",105.7117,3.2973,"",1230.2357,34.7034,"",2.2231,NA,NA,"",0.096165,6.865643,"",0.00652,0.465492,"",0.009098,0.649546,"bdl",37.144,3.386,"",11.007,10.678,""
"COMPASS: Synoptic","CB",2022,10,27,"MSM","UP","MSM_202210_UP_RHZ_4","Rhizon Sampler","4",54.7246,1.7069,"",1060.996,29.9294,"",1.9172,NA,NA,"",0.092368,6.594558,"",-0.001191,-0.085031,"bdl",0.004856,0.346691,"bdl",474.017,30.615,"",125.758,6.166,""
"COMPASS: Synoptic","CB",2022,10,27,"MSM","UP","MSM_202210_UP_RHZ_5","Rhizon Sampler","5",52.7278,1.6447,"",1211.676,34.1799,"",2.1895,NA,NA,"",0.155361,11.091906,"",0.007083,0.505687,"",0.012067,0.861516,"bdl",82.952,7.125,"",6.477,5.739,""
"COMPASS: Synoptic","CB",2022,10,27,"MSM","UP","MSM_202210_UP_RHZ_6","Rhizon Sampler","6",73.0305,2.2779,"",1284.8183,36.2431,"",2.3217,NA,NA,"",0.240263,17.153434,"",0.008651,0.617633,"",NA,NA,"",244.018,32.651,"",37.678,31.124,""
