"","Year","Site","Zone_1","Depth","min_mV","max_mV","mean_mV"
"151",2025,"GCW","Upland",20,-48.3,-0.34,-24.32
"152",2025,"GCW","Upland",35,-81,-81,-81
"153",2025,"GCW","Transition",10,-38.96,327.74,70.225
"154",2025,"GCW","Transition",20,-55.68,293.04,54.59
"155",2025,"GCW","Transition",35,-74.46,13.3,-30.58
"156",2025,"GCW","Wetland",10,-240.2,-104.2,-167.515
"157",2025,"GCW","Wetland",20,-270.06,-36.82,-196.69
"158",2025,"GCW","Wetland",35,-285.58,-71.42,-216.02
"159",2025,"MSM","Upland",10,29.92,146.64,70.12
"160",2025,"MSM","Upland",20,-178.84,85.66,-46.59
"161",2025,"MSM","Upland",25,208.94,208.94,208.94
"162",2025,"MSM","Upland",30,271.5,271.5,271.5
"163",2025,"MSM","Upland",35,-197,76.66,-60.17
"164",2025,"MSM","Transition",10,-36.62,44.8,-9.4333
"165",2025,"MSM","Transition",20,-73.88,-41.76,-57.82
"166",2025,"MSM","Transition",25,43,43,43
"167",2025,"MSM","Transition",30,-12.84,-12.84,-12.84
"168",2025,"MSM","Transition",35,-357.48,-46.88,-202.18
"169",2025,"MSM","Wetland",10,-88.28,27.56,-40.3733
"170",2025,"MSM","Wetland",20,-127.44,-60.62,-94.03
"171",2025,"MSM","Wetland",25,-160.06,-160.06,-160.06
"172",2025,"MSM","Wetland",30,-95.22,-95.22,-95.22
"173",2025,"MSM","Wetland",35,-111.1,-76.84,-93.97
"174",2025,"GWI","Upland",10,-218.92,297.76,65.2867
"175",2025,"GWI","Upland",20,-334.08,334.04,-0.02
"176",2025,"GWI","Upland",25,82.76,82.76,82.76
"177",2025,"GWI","Upland",30,315.92,315.92,315.92
"178",2025,"GWI","Upland",35,-343.38,244.7,-49.34
"179",2025,"GWI","Transition",10,-449.12,46.98,-150.4467
"180",2025,"GWI","Transition",20,-454.86,-48.3,-251.58
"181",2025,"GWI","Transition",25,49.24,49.24,49.24
"182",2025,"GWI","Transition",30,19.16,19.16,19.16
"183",2025,"GWI","Transition",35,-420.22,-184.38,-302.3
"184",2025,"GWI","Wetland",10,-304.84,75,-102.6933
"185",2025,"GWI","Wetland",20,-306.82,9.3,-148.76
"186",2025,"GWI","Wetland",25,6.54,6.54,6.54
"187",2025,"GWI","Wetland",30,-62.44,-62.44,-62.44
"188",2025,"GWI","Wetland",35,-264,-76.36,-170.18
