"","Analysis_No","Site","Zone","Replicate","Depth","Date","Sample_ID","Cl_Area","SO4_mM","Cl_mM","salinity"
"29","36","GWI","UP","LysC","45cm",202206,"36_GWI_UP_LysC_45cm","48.6693 ",26.6308671241422,182.883289139633,11.7151911682
"30","37","GWI","TR","LysA","10cm",202206,"37_GWI_TR_LysA_10cm","64.7012 ",36.379915782907,243.125777150917,15.5742135016
"31","38","GWI","TR","LysB","10cm",202206,"38_GWI_TR_LysB_10cm","59.2764 ",32.9058452900811,222.741139633286,14.2684113338
"32","39","GWI","TR","LysC","10cm",202206,"39_GWI_TR_LysC_10cm","55.4010 ",29.3132532751092,208.178640338505,13.3355645696
"33","4","MSM","UP","LysA","20cm",202206,"4_MSM_UP_LysA_20cm","30.4972 ",5.64301933873986,57.2993229901269,3.670514627
"34","40","GWI","TR","LysA","20cm",202206,"40_GWI_TR_LysA_20cm","56.2115 ",32.6919463505926,211.224389280677,13.5306696122
"35","41","GWI","TR","LysB","20cm",202206,"41_GWI_TR_LysB_20cm","66.6508 ",35.7390299438553,250.451686882934,16.0434977261
"36","42","GWI","TR","LysC","20cm",202206,"42_GWI_TR_LysC_20cm","61.7743 ",32.1834591391142,232.12776022567,14.8697008837
"37","43","GWI","TR","LysA","45cm",202206,"43_GWI_TR_LysA_45cm","39.9983 ",19.7551559575795,150.300671368124,9.6280089516
"38","44","GWI","TR","LysB","45cm",202206,"44_GWI_TR_LysB_45cm","59.3164 ",33.2337679351216,222.891424541608,14.278038307
"39","45","GWI","TR","LysC","45cm",202206,"45_GWI_TR_LysC_45cm","55.0860 ",27.5742701185278,206.99528067701,13.2597607389
"40","46","GWI","WC","SipA","20cm",202206,"46_GWI_WC_SipA_20cm","31.5662 ",28.8100655021834,237.231026798307,15.1966066993
"41","47","GWI","WC","SipC","20cm",202206,"47_GWI_WC_SipC_20cm","34.2136 ",36.0780630068621,257.126928067701,16.4711013272
"42","48","GWI","WC","SipA","45cm",202206,"48_GWI_WC_SipA_45cm","34.9813 ",40.0796818465377,262.896377997179,16.8406816162
"43","49","GWI","WC","SipB","45cm",202206,"49_GWI_WC_SipB_45cm","27.7031 ",24.4962913287586,208.198403385049,13.3368305538
"44","5","MSM","UP","LysB","20cm",202206,"5_MSM_UP_LysB_20cm","18.5813 ",3.77170929507174,34.9111622002821,2.2363704649
"45","50","GWI","WC","SipC","45cm",202206,"50_GWI_WC_SipC_45cm","1.8928 ",0.68938864628821,14.2253229901269,0.9112738739
"46","51","GCrew","UP","LysA","10cm",202206,"51_GCrew_UP_LysA_10cm","n.a.",0.11333437305053,NA,NA
"47","52","GCrew","UP","LysB","10cm",202206,"52_GCrew_UP_LysB_10cm","0.0904 ",0.0438615096693699,0.169867418899859,0.0109073926
"48","53","GCrew","UP","LysC","10cm",202206,"53_GCrew_UP_LysC_10cm","0.1614 ",0.0813568309419838,0.303289139633286,0.0194541412
"49","54","GCrew","UP","LysA","20cm",202206,"54_GCrew_UP_LysA_20cm","0.1124 ",0.197202121023082,0.211148095909732,0.0135517564
"50","55","GCrew","UP","LysB","20cm",202206,"55_GCrew_UP_LysB_20cm","0.0823 ",0.0456238303181535,0.154716502115656,0.0099368529
"51","56","GCrew","UP","LysA","45cm",202206,"56_GCrew_UP_LysA_45cm","0.1294 ",0.043646288209607,0.243060648801128,0.0155960155
"52","57","GCrew","TR","LysA","10cm",202206,"57_GCrew_TR_LysA_10cm","0.0871 ",0.137298814722395,0.163667136812412,0.010510214
"53","58","GCrew","TR","LysB","10cm",202206,"58_GCrew_TR_LysB_10cm","0.4461 ",NA,0.838231311706629,0.0537215471
"54","59","GCrew","TR","LysC","10cm",202206,"59_GCrew_TR_LysC_10cm","0.3329 ",0.383970679975047,0.625433004231312,0.0400900812
"55","6","MSM","UP","LysC","20cm",202206,"6_MSM_UP_LysC_20cm","28.7564 ",5.32009669369931,54.028581100141,3.4609969524
"56","60","GCrew","TR","LysA","20cm",202206,"60_GCrew_TR_LysA_20cm","0.0570 ",0.295233936369308,0.10711706629055,0.0068877211
"57","61","GCrew","TR","LysB","20cm",202206,"61_GCrew_TR_LysB_20cm","0.0876 ",NA,0.164504936530324,0.0105638819
"58","62","GCrew","TR","LysC","20cm",202206,"62_GCrew_TR_LysC_20cm","0.5199 ",1.03748908296943,0.976820874471086,0.0625993381
"59","63","GCrew","TR","LysA","45cm",202206,"63_GCrew_TR_LysA_45cm","0.1680 ",0.0971646912039925,0.315684062059238,0.020248137
"60","64","GCrew","TR","LysB","45cm",202206,"64_GCrew_TR_LysB_45cm","0.1181 ",0.202133499688085,0.221858956276446,0.0142378743
"61","65","GCrew","TR","LysC","45cm",202206,"65_GCrew_TR_LysC_45cm","0.0644 ",0.262545227698066,0.121074753173484,0.0077818247
"62","66","GCrew","WC","SipA","10cm",202206,"66_GCrew_WC_SipA_10cm","23.3748 ",9.31732688708671,87.8350042313117,5.6265738763
"63","67","GCrew","WC","SipB","10cm",202206,"67_GCrew_WC_SipB_10cm","25.8442 ",11.6782189644417,97.1141410437235,6.2209782141
"64","68","GCrew","WC","SipC","10cm",202206,"68_GCrew_WC_SipC_10cm","21.1241 ",5.73007174048659,79.377610719323,5.0848088941
"65","69","GCrew","WC","SipA","20cm",202206,"69_GCrew_WC_SipA_20cm","30.4930 ",11.2244541484716,114.582535966149,7.3399712763
"66","7","MSM","UP","LysA","45cm",202206,"7_MSM_UP_LysA_45cm","35.0436 ",5.94095757953836,65.8412299012694,4.2176933812
"67","70","GCrew","WC","SipB","20cm",202206,"70_GCrew_WC_SipB_20cm","25.2252 ",10.6955552089832,94.7880535966149,6.0719733555
"68","71","GCrew","WC","SipC","20cm",202206,"71_GCrew_WC_SipC_20cm","25.0559 ",10.7424266999376,94.1519689703808,6.0312269511
"69","72","GCrew","WC","SipA","45cm",202206,"72_GCrew_WC_SipA_45cm","40.1811 ",2.85705240174672,150.987562764457,9.6720099437
"70","73","GCrew","WC","SipB","45cm",202206,"73_GCrew_WC_SipB_45cm","31.6024 ",7.64822208359326,118.751633286319,7.6070359378
"71","74","GCrew","WC","SipC","45cm",202206,"74_GCrew_WC_SipC_45cm","31.3273 ",13.1862445414847,117.717771509168,7.540808665
"72","75","GCrew","WC","LysA","10cm",202206,"75_GCrew_WC_LysA_10cm","24.8758 ",8.90086400499064,93.4751593794076,5.9878717808
"73","76","GCrew","WC","LysA","20cm",202206,"76_GCrew_WC_LysA_20cm","31.0743 ",11.877164691204,116.766981664316,7.4799028265
"74","77","GCrew","WC","LysA","45cm",202206,"77_GCrew_WC_LysA_45cm","37.4111 ",4.53844042420462,140.578598025388,9.0052309191
"75","8","MSM","UP","LysB","45cm",202206,"8_MSM_UP_LysB_45cm","33.4785 ",6.712972551466,62.9005557122708,4.0293192329
"76","9","MSM","UP","LysC","45cm",202206,"9_MSM_UP_LysC_45cm","32.9714 ",7.53756082345602,61.9477771509168,3.9682860009
"77","JLee","1","pw","JLee","1",202206,"JLee_1_pw","42.7700 ",11.4282064878353,94.5007672778561,6.0535703254
"78","JLee","2","sw","serum","JLee",202206,"JLee_2_sw_serum","48.3735 ",13.8758140985652,106.881870239774,6.8466808761
