"","Analysis_No","Date","Site","Zone","Replicate","Depth","Tree_ID","Sample_ID","SO4_ppm","Cl_ppm","SO4_mM","Cl_mM","salinity"
"29","32","202207","GWI","UP","LysB","20cm","32","32_202207_GWI_UP_LysB_20cm",430.5717,3177.9449,13.4301840299439,89.6458363892807,5.7425724343
"30","33","202207","GWI","UP","LysC","20cm","33","33_202207_GWI_UP_LysC_20cm",774.4437,5336.3478,24.1560729881472,150.531672778561,9.6428064746
"31","34","202207","GWI","UP","LysA","45cm","34","34_202207_GWI_UP_LysA_45cm",641.5114,4754.7098,20.0097130380536,134.124394922426,8.5917866086
"32","35","202207","GWI","UP","LysB","45cm","35","35_202207_GWI_UP_LysB_45cm",646.2377,4407.1351,20.1571334996881,124.319748942172,7.9637191257
"33","36","202207","GWI","UP","LysA","10cm","36","36_202207_GWI_UP_LysA_10cm",1035.2309,7264.5339,32.2904210854648,204.923382228491,13.1270387573
"34","37","202207","GWI","TR","LysB","10cm","37","37_202207_GWI_TR_LysB_10cm",764.2602,5485.2515,23.8384341859014,154.732059238364,9.9118754605
"35","38","202207","GWI","TR","LysC","10cm","38","38_202207_GWI_TR_LysC_10cm",393.6444,3348.8624,12.2783655645664,94.4672045133991,6.0514203568
"36","39","202207","GWI","TR","LysA","20cm","39","39_202207_GWI_TR_LysA_20cm",788.8762,8414.2701,24.6062445414847,237.355997179125,15.2046120707
"37","4","202207","GCrew","UP","LysB","20cm","4","4_202207_GCrew_UP_LysB_20cm",3.6999,11.977,0.1154054897068,0.337856135401975,0.021668439
"38","40","202207","GWI","TR","LysB","20cm","40","40_202207_GWI_TR_LysB_20cm",386.4381,7630.9817,12.053590143481,215.260414668547,13.7892099319
"39","41","202207","GWI","TR","LysC","20cm","41","41_202207_GWI_TR_LysC_20cm",765.3006,6142.471,23.8708858390518,173.271396332863,11.099471097
"40","42","202207","GWI","TR","LysA","45cm","42","42_202207_GWI_TR_LysA_45cm",925.3642,7369.0268,28.8635121646912,207.870995768688,13.3158574276
"41","43","202207","GWI","TR","LysB","45cm","43","43_202207_GWI_TR_LysB_45cm",1022.4111,8308.1946,31.8905520898316,234.363740479549,15.0129336422
"42","44","202207","GWI","TR","LysC","45cm","44","44_202207_GWI_TR_LysC_45cm",1175.809,8155.5798,36.6752651278852,230.05866854725,14.7371586986
"43","45","202207","GWI","WC","SipA","10cm","45","45_202207_GWI_WC_SipA_10cm",1043.0344,7247.5449,32.5338240798503,204.444143864598,13.0963396343
"44","46","202207","GWI","WC","SipB","10cm","46","46_202207_GWI_WC_SipB_10cm",1180.7728,8532.5495,36.8300935745477,240.692510578279,15.4183429465
"45","47","202207","GWI","WC","SipC","10cm","47","47_202207_GWI_WC_SipC_10cm",1115.3174,8083.0285,34.7884404242046,228.012087447109,14.6060584995
"46","48","202207","GWI","WC","SipA","20cm","48","48_202207_GWI_WC_SipA_20cm",1226.3117,8872.2784,38.2505208983157,250.275836389281,16.0322330688
"47","49","202207","GWI","WC","SipB","20cm","49","49_202207_GWI_WC_SipB_20cm",1324.4669,9408.1336,41.3121303805365,265.391638928068,17.0005234152
"48","5","202207","GCrew","UP","LysC","20cm","5","5_202207_GCrew_UP_LysC_20cm",3.5197,2.7997,0.109784778540237,0.0789760225669958,0.0050850579
"49","50","202207","GWI","WC","SipC","20cm","50","50_202207_GWI_WC_SipC_20cm",1063.0874,7666.9799,33.1593075483468,216.275878702398,13.8542586793
"50","51","202207","GWI","WC","SipA","45cm","51","51_202207_GWI_WC_SipA_45cm",1283.4062,8679.6953,40.0313849033063,244.843308885755,15.6842354071
"51","52","202207","GWI","WC","SipB","45cm","52","52_202207_GWI_WC_SipB_45cm",1399.6069,10991.8124,43.655860885839,310.065229901269,19.8622310068
"52","53","202207","GWI","WC","SipC","45cm","53","53_202207_GWI_WC_SipC_45cm",1635.7937,11154.3742,51.0228852152215,314.650894217207,20.1559801794
"53","54","202207","GWI","TR","RHZ","Tree","1","54_202207_GWI_TR_RHZ_Tree_1",394.7391,3110.589,12.3125109170306,87.7458110014104,5.620860323
"54","55","202207","GWI","TR","RHZ","Tree","2","55_202207_GWI_TR_RHZ_Tree_2",681.8275,4967.3405,21.267233312539,140.122440056417,8.9760102835
"55","56","202207","GWI","TR","RHZ","Tree","3","56_202207_GWI_TR_RHZ_Tree_3",564.5633,4179.0477,17.6095851528384,117.885689703808,7.5515651939
"56","57","202207","GWI","TR","RHZ","Tree","4","57_202207_GWI_TR_RHZ_Tree_4",430.8447,3820.4168,13.4386993137866,107.769162200282,6.9035191576
"57","58","202207","GWI","TR","RHZ","Tree","5","58_202207_GWI_TR_RHZ_Tree_5",530.4613,4194.1518,16.545892077355,118.311757404795,7.5788583026
"58","59","202207","GWI","TR","RHZ","Tree","6","59_202207_GWI_TR_RHZ_Tree_6",479.4035,4318.5662,14.9533218964442,121.82133145275,7.8036751234
"59","6","202207","GCrew","UP","LysB","45cm","6","6_202207_GCrew_UP_LysB_45cm",7.1961,6.8084,0.224457267623206,0.192056417489422,0.0123287788
"60","60","202207","GWI","TR","RHZ","Tree","7","60_202207_GWI_TR_RHZ_Tree_7",659.9456,5156.1324,20.5847036805989,145.448022566996,9.3171572468
"61","61","202207","GWI","TR","RHZ","Tree","8","61_202207_GWI_TR_RHZ_Tree_8",554.713,4314.7657,17.3023393636931,121.714124118477,7.7968076199
"62","62","202207","MSM","UP","LysB","10cm","62","62_202207_MSM_UP_LysB_10cm",119.0623,884.6905,3.71373362445415,24.9560084626234,1.5986617335
"63","63","202207","MSM","UP","LysC","10cm","63","63_202207_MSM_UP_LysC_10cm",119.7154,1018.6301,3.73410480349345,28.7342764456982,1.8406905907
"64","64","202207","MSM","UP","LysA","20cm","64","64_202207_MSM_UP_LysA_20cm",184.9015,2012.9327,5.76735807860262,56.7823046544429,3.6373953889
"65","65","202207","MSM","UP","LysB","20cm","65","65_202207_MSM_UP_LysB_20cm",123.0181,1103.9664,3.83712102308172,31.1415063469676,1.9948932848
"66","66","202207","MSM","UP","LysC","20cm","66","66_202207_MSM_UP_LysC_20cm",166.3247,1670.7735,5.18791952588896,47.1304231311707,3.0191137145
"67","67","202207","MSM","UP","LysA","45cm","67","67_202207_MSM_UP_LysA_45cm",200.5974,2471.6349,6.25693699313787,69.7217179125529,4.4662702643
"68","68","202207","MSM","UP","LysB","45cm","68","68_202207_MSM_UP_LysB_45cm",244.3392,2152.0769,7.62131004366812,60.7073878702398,3.8888289583
"69","69","202207","MSM","UP","LysC","45cm","69","69_202207_MSM_UP_LysC_45cm",295.8905,2639.3236,9.22927323767935,74.4520056417489,4.7692837452
"70","7","202207","GCrew","UP","LysC","45cm","7","7_202207_GCrew_UP_LysC_45cm",8.8104,29.1268,0.274809731752963,0.821630465444288,0.0526581276
"71","70","202207","MSM","TR","LysA","10cm","70","70_202207_MSM_TR_LysA_10cm",327.6731,2362.5675,10.2206207111666,66.6450634696756,4.2691854725
"72","71","202207","MSM","TR","LysB","10cm","71","71_202207_MSM_TR_LysB_10cm",414.8244,3071.4164,12.939001871491,86.6408011283498,5.5500754348
"73","72","202207","MSM","TR","LysC","10cm","72","72_202207_MSM_TR_LysC_10cm",384.2227,3079.0178,11.9844884591391,86.8552270803949,5.5638111646
"74","73","202207","MSM","TR","LysA","20cm","73","73_202207_MSM_TR_LysA_20cm",432.8485,2931.0333,13.5012008733624,82.6807700987306,5.2964031731
"75","74","202207","MSM","TR","LysB","20cm","74","74_202207_MSM_TR_LysB_20cm",249.469,2766.1286,7.7813162819713,78.0290155148096,4.9984203802
"76","75","202207","MSM","TR","LysC","20cm","75","75_202207_MSM_TR_LysC_20cm",279.6787,3079.6877,8.72360262008734,86.8741241184767,5.5650216739
"77","76","202207","MSM","TR","LysA","45cm","76","76_202207_MSM_TR_LysA_45cm",500.9737,3509.2634,15.6261291328759,98.9919153737658,6.3412649638
"78","77","202207","MSM","TR","LysB","45cm","77","77_202207_MSM_TR_LysB_45cm",348.8308,3349.064,10.8805614472863,94.4728913963329,6.051784648
"79","78","202207","MSM","TR","LysC","45cm","78","78_202207_MSM_TR_LysC_45cm",503.2238,3667.0027,15.6963131628197,103.441543018336,6.6262998789
"80","79","202207","MSM","WC","SipA","10cm","79","79_202207_MSM_WC_SipA_10cm",592.5776,4863.3627,18.4833936369308,137.189356840621,8.7881223989
"81","8","202207","GCrew","TR","LysB","10cm","8","8_202207_GCrew_TR_LysB_10cm",6.0239,43.1294,0.187894572676232,1.21662623413258,0.0779608258
"82","80","202207","MSM","WC","SipB","10cm","80","80_202207_MSM_WC_SipB_10cm",1137.1783,7756.7092,35.4703150343107,218.807029619182,14.0163995244
"83","81","202207","MSM","WC","SipC","10cm","81","81_202207_MSM_WC_SipC_10cm",988.5871,7483.3677,30.8355302557704,211.096409026798,13.5224714339
"84","82","202207","MSM","WC","SipA","20cm","82","82_202207_MSM_WC_SipA_20cm",662.1419,5495.5585,20.6532096069869,155.022806770099,9.9305002095
"85","83","202207","MSM","WC","SipB","20cm","83","83_202207_MSM_WC_SipB_20cm",959.8857,8914.4676,29.9402900810979,251.465940761636,16.1084689532
"86","84","202207","MSM","WC","SipC","20cm","84","84_202207_MSM_WC_SipC_20cm",701.8369,6583.3821,21.891356830942,185.708944992948,11.8961974547
"87","86","202207","MSM","WC","SipC","45cm","86","86_202207_MSM_WC_SipC_45cm",203.8927,6870.3118,6.35972239550842,193.802871650212,12.4146794226
"88","87","202207","MSM","UP","RHZ","Tree","1","87_202207_MSM_UP_RHZ_Tree_1",117.7618,1320.8872,3.67316905801622,37.2605698166432,2.3868691704
"89","88","202207","MSM","UP","RHZ","Tree","2","88_202207_MSM_UP_RHZ_Tree_2",71.4786,678.4436,2.2295258889582,19.1380423131171,1.2259735852
"90","89","202207","MSM","UP","RHZ","Tree","3","89_202207_MSM_UP_RHZ_Tree_3",108.3185,1146.0401,3.37861821584529,32.3283526093089,2.0709204607
"91","9","202207","GCrew","TR","LysC","10cm","9","9_202207_GCrew_TR_LysC_10cm",14.4031,31.7915,0.449254522769807,0.896798307475317,0.0574732405
"92","90","202207","MSM","UP","RHZ","Tree","4","90_202207_MSM_UP_RHZ_Tree_4",75.5974,1068.3906,2.35799750467873,30.1379576868829,1.9306078142
"93","91","202207","MSM","UP","RHZ","Tree","5","91_202207_MSM_UP_RHZ_Tree_5",95.9523,1157.6156,2.99289769182782,32.6548829337095,2.0918373892
"94","92","202207","MSM","UP","RHZ","Tree","6","92_202207_MSM_UP_RHZ_Tree_6",137.1408,1131.5675,4.27762944479102,31.9200987306065,2.0447684725
"95","93","202207","MSM","UP","RHZ","Tree","7","93_202207_MSM_UP_RHZ_Tree_7",115.0122,1501.5876,3.58740486587648,42.3579012693935,2.7133947932
"96","94","202207","MSM","UP","RHZ","Tree","8","94_202207_MSM_UP_RHZ_Tree_8",81.6136,1306.9863,2.54565190268247,36.868442877292,2.3617502441
"97","95","202207","MSM","TR","RHZ","Tree","1","95_202207_MSM_TR_RHZ_Tree_1",349.7258,2772.1621,10.9084778540237,78.1992129760226,5.0093229147
"98","96","202207","MSM","TR","RHZ","Tree","2","96_202207_MSM_TR_RHZ_Tree_2",333.6696,2878.1919,10.4076606363069,81.1901805359661,5.2009187633
"99","97","202207","MSM","TR","RHZ","Tree","3","97_202207_MSM_TR_RHZ_Tree_3",342.2743,2747.03,10.6760542732377,77.4902679830748,4.96390921
"100","98","202207","MSM","TR","RHZ","Tree","4","98_202207_MSM_TR_RHZ_Tree_4",429.4559,3330.0223,13.3953805364941,93.9357489421721,6.0173762961
"101","99","202207","MSM","TR","RHZ","Tree","5","99_202207_MSM_TR_RHZ_Tree_5",423.0852,3346.1955,13.1966687461011,94.3919746121297,6.0466012685
