"","ID_full","H2S_mean","H2S_sd","H2S_cv","IDs","Plate","QAQC_flag","Dilution","H2S_cv_flag","H2S_flag"
"53","Plate1_1_4",0,0,0,"4","Plate1","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",1,"Within Range","bdl"
"54","Plate1_1_5",0,0,0,"5","Plate1","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",1,"Within Range","bdl"
"55","Plate1_1_6",8.74642669328438,0.718021682084792,8.2093145837042,"6","Plate1","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",1,"Within Range","Within Range"
"56","Plate1_1_7",0,0,0,"7","Plate1","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",1,"Within Range","bdl"
"57","Plate1_1_8",0,0,0,"8","Plate1","MC 20 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",1,"Within Range","bdl"
"58","Plate2_1_24",95.8019290947694,1.27034605291925,1.32601301969879,"24","Plate2","Std curve r2 low; Spk recovery out of range",1,"Within Range","Within Range"
"59","Plate2_1_25",0,0,0,"25","Plate2","Std curve r2 low; Spk recovery out of range",1,"Within Range","bdl"
"60","Plate2_1_27",109.099417923128,2.42834357767588,2.22580800512327,"27","Plate2","Std curve r2 low; Spk recovery out of range",1,"Within Range","adl"
"61","Plate2_1_28",4.69659196618233,0.452096981978252,9.62606471316995,"28","Plate2","Std curve r2 low; Spk recovery out of range",1,"Within Range","Within Range"
"62","Plate2_1_30",5.43002660179924,0.532642333911266,9.80920302922226,"30","Plate2","Std curve r2 low; Spk recovery out of range",1,"Within Range","Within Range"
"63","Plate2_1_32",0,0,0,"32","Plate2","Std curve r2 low; Spk recovery out of range",1,"Within Range","bdl"
"64","Plate2_1_35",4.21826502991044,0.0552324370834456,1.30936384252315,"35","Plate2","Std curve r2 low; Spk recovery out of range",1,"Within Range","Within Range"
"65","Plate2_1_36",0,0,0,"36","Plate2","Std curve r2 low; Spk recovery out of range",1,"Within Range","bdl"
"66","Plate2_1_37",0,0,0,"37","Plate2","Std curve r2 low; Spk recovery out of range",1,"Within Range","bdl"
"67","Plate2_1_38",0,0,0,"38","Plate2","Std curve r2 low; Spk recovery out of range",1,"Within Range","bdl"
"68","Plate2_1_39",0,0,0,"39","Plate2","Std curve r2 low; Spk recovery out of range",1,"Within Range","bdl"
"69","Plate2_1_40",0,0,0,"40","Plate2","Std curve r2 low; Spk recovery out of range",1,"Within Range","bdl"
"70","Plate2_1_41",0,0,0,"41","Plate2","Std curve r2 low; Spk recovery out of range",1,"Within Range","bdl"
"71","Plate2_1_42",0,0,0,"42","Plate2","Std curve r2 low; Spk recovery out of range",1,"Within Range","bdl"
"72","Plate2_1_43",0,0,0,"43","Plate2","Std curve r2 low; Spk recovery out of range",1,"Within Range","bdl"
"73","Plate3_1_45",0,0,0,"45","Plate3","",1,"Within Range","bdl"
"74","Plate3_1_46",0,0,0,"46","Plate3","",1,"Within Range","bdl"
"75","Plate3_1_47",0,0,0,"47","Plate3","",1,"Within Range","bdl"
"76","Plate3_1_50",0,0,0,"50","Plate3","",1,"Within Range","bdl"
"77","Plate3_1_51",0,0,0,"51","Plate3","",1,"Within Range","bdl"
"78","Plate3_1_54",0,0,0,"54","Plate3","",1,"Within Range","bdl"
"79","Plate3_1_55",0,0,0,"55","Plate3","",1,"Within Range","bdl"
"80","Plate3_1_56",0,0,0,"56","Plate3","",1,"Within Range","bdl"
"81","Plate3_1_57",0,0,0,"57","Plate3","",1,"Within Range","bdl"
"82","Plate3_1_57 Dup",0,0,0,"57 Dup","Plate3","",1,"Within Range","bdl"
"83","Plate3_1_58",0,0,0,"58","Plate3","",1,"Within Range","bdl"
"84","Plate3_1_59",0,0,0,"59","Plate3","",1,"Within Range","bdl"
"85","Plate3_1_60",0,0,0,"60","Plate3","",1,"Within Range","bdl"
"86","Plate3_1_61",0,0,0,"61","Plate3","",1,"Within Range","bdl"
"87","Plate3_1_62",0,0,0,"62","Plate3","",1,"Within Range","bdl"
"88","Plate3_5_21",272.531851316479,8.62316147581956,3.16409309009752,"21","Plate3","",5,"Within Range","Within Range"
"89","Plate3_5_24",197.753406945972,10.9737554028385,5.54921180490036,"24","Plate3","",5,"Within Range","Within Range"
"90","Plate3_5_27",244.788889012709,17.0058512184942,6.94714996545913,"27","Plate3","",5,"Within Range","Within Range"
"91","Plate4_1_TMP 1",0,0,0,"TMP 1","Plate4","Std curve r2 low; MC 10 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",1,"Within Range","bdl"
"92","Plate4_1_TMP 2",0,0,0,"TMP 2","Plate4","Std curve r2 low; MC 10 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",1,"Within Range","bdl"
"93","Plate4_50_10",4511.07240857986,301.927499721088,6.6930315538016,"10","Plate4","Std curve r2 low; MC 10 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",50,"Within Range","Within Range"
"94","Plate4_50_11",3031.4477523788,75.1749788938614,2.47983752432715,"11","Plate4","Std curve r2 low; MC 10 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",50,"Within Range","Within Range"
"95","Plate4_50_14",797.660959989047,29.8715075959802,3.74488775235915,"14","Plate4","Std curve r2 low; MC 10 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",50,"Within Range","Within Range"
"96","Plate4_50_14 Spike",2516.44908432606,172.286253349187,6.84640330783118,"14 Spike","Plate4","Std curve r2 low; MC 10 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",50,"Within Range","Within Range"
"97","Plate4_250_13",6635.04718064972,217.011471503476,3.27068467781755,"13","Plate4","Std curve r2 low; MC 10 out of range; Dup perc diff out of range; Dup perc diff out of range; Spk recovery out of range",250,"Within Range","Within Range"
"98","Plate5_1_1",0,0,0,"1","Plate5","Std curve r2 low; Spk recovery out of range",1,"Within Range","bdl"
"99","Plate5_1_17",0,0,0,"17","Plate5","Std curve r2 low; Spk recovery out of range",1,"Within Range","bdl"
"100","Plate5_1_18",0,0,0,"18","Plate5","Std curve r2 low; Spk recovery out of range",1,"Within Range","bdl"
"101","Plate5_1_19",0,0,0,"19","Plate5","Std curve r2 low; Spk recovery out of range",1,"Within Range","bdl"
"102","Plate5_1_2",0,0,0,"2","Plate5","Std curve r2 low; Spk recovery out of range",1,"Within Range","bdl"
"103","Plate5_1_20",0,0,0,"20","Plate5","Std curve r2 low; Spk recovery out of range",1,"Within Range","bdl"
"104","Plate5_1_21",0,0,0,"21","Plate5","Std curve r2 low; Spk recovery out of range",1,"Within Range","bdl"
"105","Plate5_1_21 Dup",0,0,0,"21 Dup","Plate5","Std curve r2 low; Spk recovery out of range",1,"Within Range","bdl"
"106","Plate5_1_22",0,0,0,"22","Plate5","Std curve r2 low; Spk recovery out of range",1,"Within Range","bdl"
"107","Plate5_1_23",0,0,0,"23","Plate5","Std curve r2 low; Spk recovery out of range",1,"Within Range","bdl"
"108","Plate5_1_24",0,0,0,"24","Plate5","Std curve r2 low; Spk recovery out of range",1,"Within Range","bdl"
"109","Plate5_1_26",0,0,0,"26","Plate5","Std curve r2 low; Spk recovery out of range",1,"Within Range","bdl"
"110","Plate5_1_28",0,0,0,"28","Plate5","Std curve r2 low; Spk recovery out of range",1,"Within Range","bdl"
"111","Plate5_1_29",0,0,0,"29","Plate5","Std curve r2 low; Spk recovery out of range",1,"Within Range","bdl"
"112","Plate5_1_3",0,0,0,"3","Plate5","Std curve r2 low; Spk recovery out of range",1,"Within Range","bdl"
"113","Plate5_1_30",0,0,0,"30","Plate5","Std curve r2 low; Spk recovery out of range",1,"Within Range","bdl"
"114","Plate5_1_4",0,0,0,"4","Plate5","Std curve r2 low; Spk recovery out of range",1,"Within Range","bdl"
"115","Plate5_1_5",0,0,0,"5","Plate5","Std curve r2 low; Spk recovery out of range",1,"Within Range","bdl"
"116","Plate5_1_6",0,0,0,"6","Plate5","Std curve r2 low; Spk recovery out of range",1,"Within Range","bdl"
"117","Plate5_1_7",0,0,0,"7","Plate5","Std curve r2 low; Spk recovery out of range",1,"Within Range","bdl"
"118","Plate6_1_31",4.47337272925545,0.331394622500673,7.40816029778567,"31","Plate6","Spk recovery out of range",1,"Within Range","Within Range"
"119","Plate6_1_34",0,0,0,"34","Plate6","Spk recovery out of range",1,"Within Range","bdl"
"120","Plate6_1_41",0,0,0,"41","Plate6","Spk recovery out of range",1,"Within Range","bdl"
"121","Plate6_1_42",0,0,0,"42","Plate6","Spk recovery out of range",1,"Within Range","bdl"
"122","Plate6_1_42 Dup",0,0,0,"42 Dup","Plate6","Spk recovery out of range",1,"Within Range","bdl"
"123","Plate6_1_43",0,0,0,"43","Plate6","Spk recovery out of range",1,"Within Range","bdl"
"124","Plate6_1_43 Spike",11.7120536981701,0.110464874166892,0.943172538426382,"43 Spike","Plate6","Spk recovery out of range",1,"Within Range","Within Range"
"125","Plate6_250_9",2736.68265003378,83.9914496870594,3.06909716718607,"9","Plate6","Spk recovery out of range",250,"Within Range","Within Range"
